		20代まで初婚率	30代まで初婚率			平均μ	σ	分散σ^2	
		90.00%	97.03%			0	0.5	0.25	
		SUM($E$9:$E$368)	SUM($E$9:$E$488)				SQRT($I$2)		
		婚姻最小	婚姻最大	年齢乗算	生涯婚姻率	妊娠最小	妊娠最大	年齢乗算	
		13	60	0.1183	98.00%	14.17	49.08	0.1183	1550.82%
合計/SUM		1.0140635E+02	1.57E+03	98.00%		1.0120423E+02	8.63E+02	1550.82%	798.94%
		EXP(-1*POW(LN(D9-$G$2),2)/(2*$I$2))/(SQRT(2*PI())*$H$2*D9)	IF(OR($B9-C$5<=0,D$5-$B9<=0),1E-100,($B9-C$5)*E$5)			EXP(-1*POW(LN(H9-$G$2),2)/(2*$I$2))/(SQRT(2*PI())*$H$2*H9)	IF(OR($B9-G$5<=0,H$5-$B9<=0),1E-100,($B9-G$5)*I$5)		
番号	月齢	a	x1	初婚率	初婚率合計	b	x2	出産確率	合計特殊出生率
146	12.17	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
147	12.25	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
148	12.33	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
149	12.42	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
150	12.50	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
151	12.58	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
152	12.67	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
153	12.75	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
154	12.83	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
155	12.92	0	1.00E-100	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
156	13.00	0.00E+00	2.73E-15	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
157	13.08	2.36E-17	9.86E-03	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
158	13.17	1.65E-12	1.97E-02	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
159	13.25	4.61E-10	2.96E-02	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
160	13.33	1.68E-08	3.94E-02	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
161	13.42	2.19E-07	4.93E-02	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
162	13.50	1.53E-06	5.92E-02	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
163	13.58	7.15E-06	6.90E-02	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
164	13.67	2.52E-05	7.89E-02	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
165	13.75	7.21E-05	8.87E-02	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
166	13.83	1.76E-04	9.86E-02	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
167	13.92	3.80E-04	1.08E-01	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
168	14.00	7.44E-04	1.18E-01	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
169	14.08	1.34E-03	1.28E-01	0.00%	0.00%	0E+00	1.00E-100	0.00%	0.00%
170	14.17	2.27E-03	1.38E-01	0.00%	0.00%	0.00E+00	1.00E-100	0.00%	0.00%
171	14.25	3.62E-03	1.48E-01	0.00%	0.01%	2.36E-17	9.86E-03	0.00%	0.00%
172	14.33	5.51E-03	1.58E-01	0.01%	0.01%	1.65E-12	1.97E-02	0.00%	0.00%
173	14.42	8.06E-03	1.68E-01	0.01%	0.02%	4.61E-10	2.96E-02	0.00%	0.00%
174	14.50	1.14E-02	1.77E-01	0.01%	0.03%	1.68E-08	3.94E-02	0.00%	0.00%
175	14.58	1.56E-02	1.87E-01	0.02%	0.05%	2.19E-07	4.93E-02	0.00%	0.00%
176	14.67	2.08E-02	1.97E-01	0.02%	0.07%	1.53E-06	5.92E-02	0.00%	0.00%
177	14.75	2.70E-02	2.07E-01	0.03%	0.09%	7.15E-06	6.90E-02	0.00%	0.00%
178	14.83	3.44E-02	2.17E-01	0.03%	0.13%	2.52E-05	7.89E-02	0.00%	0.00%
179	14.92	4.30E-02	2.27E-01	0.04%	0.17%	7.21E-05	8.87E-02	0.00%	0.00%
180	15.00	5.29E-02	2.37E-01	0.05%	0.22%	1.76E-04	9.86E-02	0.00%	0.00%
181	15.08	6.40E-02	2.46E-01	0.06%	0.28%	3.80E-04	1.08E-01	0.01%	0.00%
182	15.17	7.65E-02	2.56E-01	0.07%	0.36%	7.44E-04	1.18E-01	0.01%	0.00%
183	15.25	9.02E-02	2.66E-01	0.09%	0.44%	1.34E-03	1.28E-01	0.02%	0.00%
