Z	X	Y	String
4	8	5	-485520.997350 00000.000000 -485520.997350 223000.000000
4	8	6	-315707.784057 00000.000000 -315707.784057 223000.000000
4	8	7	-111042.246745 00000.000000 -111042.246745 223000.000000
4	8	8	111042.246745 00000.000000 111042.246745 223000.000000
4	8	9	315707.784057 00000.000000 315707.784057 223000.000000
4	8	10	485520.997350 00000.000000 485520.997350 223000.000000
4	8	11	613623.026937 00000.000000 613623.026937 223000.000000
4	8	12	703645.411257 00000.000000 703645.411257 223000.000000
4	8	13	765026.939092 00000.000000 765026.939092 223000.000000
4	8	14	810535.569869 00000.000000 810535.569869 223000.000000
4	8	15	835845.334196 00000.000000 835845.334196 223000.000000
4	9	0	-835845.334196 223000.000000 -835845.334196 450000.000000
4	9	1	-810535.569869 223000.000000 -810535.569869 450000.000000
4	9	2	-765026.939092 223000.000000 -765026.939092 450000.000000
4	9	3	-703645.411257 223000.000000 -703645.411257 450000.000000
4	9	4	-613623.026937 223000.000000 -613623.026937 450000.000000
4	9	5	-485520.997350 223000.000000 -485520.997350 450000.000000
4	9	6	-315707.784057 223000.000000 -315707.784057 450000.000000
4	9	7	-111042.246745 223000.000000 -111042.246745 450000.000000
4	9	8	111042.246745 223000.000000 111042.246745 450000.000000
4	9	9	315707.784057 223000.000000 315707.784057 450000.000000
4	9	10	485520.997350 223000.000000 485520.997350 450000.000000
4	9	11	613623.026937 223000.000000 613623.026937 450000.000000
4	9	12	703645.411257 223000.000000 703645.411257 450000.000000
4	9	13	765026.939092 223000.000000 765026.939092 450000.000000
4	9	14	810535.569869 223000.000000 810535.569869 450000.000000
4	9	15	835845.334196 223000.000000 835845.334196 450000.000000
4	10	0	-835845.334196 450000.000000 -835845.334196 673000.000000
4	10	1	-810535.569869 450000.000000 -810535.569869 673000.000000
4	10	2	-765026.939092 450000.000000 -765026.939092 673000.000000
4	10	3	-703645.411257 450000.000000 -703645.411257 673000.000000
4	10	4	-613623.026937 450000.000000 -613623.026937 673000.000000
4	10	5	-485520.997350 450000.000000 -485520.997350 673000.000000
4	10	6	-315707.784057 450000.000000 -315707.784057 673000.000000
4	10	7	-111042.246745 450000.000000 -111042.246745 673000.000000
4	10	8	111042.246745 450000.000000 111042.246745 673000.000000
4	10	9	315707.784057 450000.000000 315707.784057 673000.000000
4	10	10	485520.997350 450000.000000 485520.997350 673000.000000
4	10	11	613623.026937 450000.000000 613623.026937 673000.000000
4	10	12	703645.411257 450000.000000 703645.411257 673000.000000
4	10	13	765026.939092 450000.000000 765026.939092 673000.000000
4	10	14	810535.569869 450000.000000 810535.569869 673000.000000
4	10	15	835845.334196 450000.000000 835845.334196 673000.000000
4	11	0	-835845.334196 673000.000000 -835845.334196 900000.000000
4	11	1	-810535.569869 673000.000000 -810535.569869 900000.000000
4	11	2	-765026.939092 673000.000000 -765026.939092 900000.000000
4	11	3	-703645.411257 673000.000000 -703645.411257 900000.000000
4	11	4	-613623.026937 673000.000000 -613623.026937 900000.000000
4	11	5	-485520.997350 673000.000000 -485520.997350 900000.000000
4	11	6	-315707.784057 673000.000000 -315707.784057 900000.000000
4	11	7	-111042.246745 673000.000000 -111042.246745 900000.000000
4	11	8	111042.246745 673000.000000 111042.246745 900000.000000
4	11	9	315707.784057 673000.000000 315707.784057 900000.000000
4	11	10	485520.997350 673000.000000 485520.997350 900000.000000
4	11	11	613623.026937 673000.000000 613623.026937 900000.000000
4	11	12	703645.411257 673000.000000 703645.411257 900000.000000
4	11	13	765026.939092 673000.000000 765026.939092 900000.000000
4	11	14	810535.569869 673000.000000 810535.569869 900000.000000
4	11	15	835845.334196 673000.000000 835845.334196 900000.000000
4	12	0	-835845.334196 900000.000000 -835845.334196 1123000.000000
4	12	1	-810535.569869 900000.000000 -810535.569869 1123000.000000
4	12	2	-765026.939092 900000.000000 -765026.939092 1123000.000000
4	12	3	-703645.411257 900000.000000 -703645.411257 1123000.000000
4	12	4	-613623.026937 900000.000000 -613623.026937 1123000.000000
4	12	5	-485520.997350 900000.000000 -485520.997350 1123000.000000
4	12	6	-315707.784057 900000.000000 -315707.784057 1123000.000000
4	12	7	-111042.246745 900000.000000 -111042.246745 1123000.000000
4	12	8	111042.246745 900000.000000 111042.246745 1123000.000000
4	12	9	315707.784057 900000.000000 315707.784057 1123000.000000
4	12	10	485520.997350 900000.000000 485520.997350 1123000.000000
4	12	11	613623.026937 900000.000000 613623.026937 1123000.000000
4	12	12	703645.411257 900000.000000 703645.411257 1123000.000000
4	12	13	765026.939092 900000.000000 765026.939092 1123000.000000
4	12	14	810535.569869 900000.000000 810535.569869 1123000.000000
4	12	15	835845.334196 900000.000000 835845.334196 1123000.000000
4	13	0	-835845.334196 1123000.000000 -835845.334196 1350000.000000
4	13	1	-810535.569869 1123000.000000 -810535.569869 1350000.000000
4	13	2	-765026.939092 1123000.000000 -765026.939092 1350000.000000
4	13	3	-703645.411257 1123000.000000 -703645.411257 1350000.000000
4	13	4	-613623.026937 1123000.000000 -613623.026937 1350000.000000
4	13	5	-485520.997350 1123000.000000 -485520.997350 1350000.000000
4	13	6	-315707.784057 1123000.000000 -315707.784057 1350000.000000
4	13	7	-111042.246745 1123000.000000 -111042.246745 1350000.000000
4	13	8	111042.246745 1123000.000000 111042.246745 1350000.000000
4	13	9	315707.784057 1123000.000000 315707.784057 1350000.000000
4	13	10	485520.997350 1123000.000000 485520.997350 1350000.000000
4	13	11	613623.026937 1123000.000000 613623.026937 1350000.000000
4	13	12	703645.411257 1123000.000000 703645.411257 1350000.000000
4	13	13	765026.939092 1123000.000000 765026.939092 1350000.000000
4	13	14	810535.569869 1123000.000000 810535.569869 1350000.000000
4	13	15	835845.334196 1123000.000000 835845.334196 1350000.000000
4	14	0	-835845.334196 1350000.000000 -835845.334196 1573000.000000
4	14	1	-810535.569869 1350000.000000 -810535.569869 1573000.000000
4	14	2	-765026.939092 1350000.000000 -765026.939092 1573000.000000
4	14	3	-703645.411257 1350000.000000 -703645.411257 1573000.000000
4	14	4	-613623.026937 1350000.000000 -613623.026937 1573000.000000
4	14	5	-485520.997350 1350000.000000 -485520.997350 1573000.000000
4	14	6	-315707.784057 1350000.000000 -315707.784057 1573000.000000
4	14	7	-111042.246745 1350000.000000 -111042.246745 1573000.000000
4	14	8	111042.246745 1350000.000000 111042.246745 1573000.000000
4	14	9	315707.784057 1350000.000000 315707.784057 1573000.000000
4	14	10	485520.997350 1350000.000000 485520.997350 1573000.000000
4	14	11	613623.026937 1350000.000000 613623.026937 1573000.000000
4	14	12	703645.411257 1350000.000000 703645.411257 1573000.000000
4	14	13	765026.939092 1350000.000000 765026.939092 1573000.000000
4	14	14	810535.569869 1350000.000000 810535.569869 1573000.000000
4	14	15	835845.334196 1350000.000000 835845.334196 1573000.000000
4	15	0	-835845.334196 1573000.000000 -835845.334196 1800000.000000
4	15	1	-810535.569869 1573000.000000 -810535.569869 1800000.000000
4	15	2	-765026.939092 1573000.000000 -765026.939092 1800000.000000
4	15	3	-703645.411257 1573000.000000 -703645.411257 1800000.000000
4	15	4	-613623.026937 1573000.000000 -613623.026937 1800000.000000
4	15	5	-485520.997350 1573000.000000 -485520.997350 1800000.000000
4	15	6	-315707.784057 1573000.000000 -315707.784057 1800000.000000
4	15	7	-111042.246745 1573000.000000 -111042.246745 1800000.000000
4	15	8	111042.246745 1573000.000000 111042.246745 1800000.000000
4	15	9	315707.784057 1573000.000000 315707.784057 1800000.000000
4	15	10	485520.997350 1573000.000000 485520.997350 1800000.000000
4	15	11	613623.026937 1573000.000000 613623.026937 1800000.000000
4	15	12	703645.411257 1573000.000000 703645.411257 1800000.000000
4	15	13	765026.939092 1573000.000000 765026.939092 1800000.000000
4	15	14	810535.569869 1573000.000000 810535.569869 1800000.000000
4	15	15	835845.334196 1573000.000000 835845.334196 1800000.000000
