key	en-US	longitude	latitude	first_julian_day	last_julian_day	min_size	max_size
Roma138	VINDOBONA	16.370278	48.210833	1753933	2100000	1	32
Roma139	BIRICIANA	10.971944	49.030556	1754298	2100000	1	32
Roma140	CANNSTATT CASTRUM	9.18	48.7775	1754298	2100000	1	32
Roma141	COLONIA NERVIA GLEVENSIUM	-2.249	51.867	1756855	2100000	1	32
Roma142	SUMELOCENNA	8.934444	48.477222	1757220	2100000	1	32
Roma143	TRAIECTUM AD NICREM	8.716667	49.416667	1757220	2100000	1	32
Roma144	CASTRA BATAVAR	13.464722	48.574444	1739688	2100000	1	32
Roma145	NIDA	8.682222	50.110556	1739688	2100000	1	32
Roma146	LACTODURUM	-0.989	52.131	1739688	2100000	1	32
Roma147	BOVIUM	-3.4473	51.4617	1739688	2100000	1	32
Roma148	BURGODUNUM	-1.543611	53.7975	1739688	2100000	1	32
Roma149	LENTIA	14.286389	48.305833	1739688	2100000	1	32
Roma150	AQUAE GRANNI	6.083611	50.775556	1739688	2100000	1	32
Roma151	PORTUS VICTORIAE IULIOBRIGENSIUM	-3.805	43.462778	1739688	2100000	1	32
Roma152	COMPLUTUM	-3.366667	40.466667	1739688	2100000	1	32
Roma153	AEMINIUM	-8.425698	40.208639	1739688	2100000	1	32
Roma154	TRAIECTUM AD MOSAM	5.683333	50.85	1739688	2100000	1	32
Roma155	CORIOVALLUM	5.983333	50.883333	1739688	2100000	1	32
Roma156	PORTUS LEMANIS	1.0207	51.06827	1739688	2100000	1	32
Roma157	COLONIA PIETAS IULIA POLA POLLENTIA HERCULANEA	13.845556	44.870278	1739688	2100000	1	32
Roma158	ANDAUTONIA	16.116861	45.773556	1739688	2100000	1	32
Roma159	SALONA	16.483056	43.539444	1739688	2100000	1	32
Roma160	CIBALAE	18.801111	45.291111	1739688	2100000	1	32
Roma161	AQUAE HELVETICAE	8.31227	47.480448	1739688	2100000	1	32
Roma162	GESORIACUM	1.6147	50.7264	1739688	2100000	1	32
Roma163	STORGOSIA	24.616667	43.416667	1739688	2100000	1	32
Roma164	COMAGENIS	16.05	48.333333	1739688	2100000	1	32
Roma165	SOSTRA	24.673132	42.984871	1757950	2100000	1	32
