key	ja-JP	en-US	longitude	latitude	min_size	max_size	first_julian_day	last_julian_day
SamgukSagi839	奴斯只縣	Nosaji	127.3251979	36.35128965	0.1	2	1721424	1997930
SamgukSagi840	儒城縣	Yuseong	127.3251979	36.35128965	0.1	2	1997931	9999999
SamgukSagi841	所比浦縣	Sobipo	127.2491011	36.45633647	0.1	2	1721424	1997930
SamgukSagi842	赤鳥縣	Jeokjo	127.2491011	36.45633647	0.1	2	1997931	2064499
SamgukSagi843	德津縣	Deokjin	127.2491011	36.45633647	0.1	2	2064500	9999999
SamgukSagi844	結己郡	Gyeolgi	126.5086208	36.52870205	0.1	4	1721424	1997930
SamgukSagi845	潔城郡	Gyeolseong	126.5086208	36.52870205	0.1	4	1997931	9999999
SamgukSagi846	新村縣	Sinchon	126.5730104	36.39564275	0.1	2	1721424	1997930
SamgukSagi847	新邑縣	Sineup	126.5730104	36.39564275	0.1	2	1997931	2064499
SamgukSagi848	保寧縣	Bonyeong	126.5730104	36.39564275	0.1	2	2064500	9999999
SamgukSagi849	沙尸良縣	Sasiryang	126.6637412	36.51469581	0.1	2	1721424	1997930
SamgukSagi850	新良縣	Sinryang	126.6637412	36.51469581	0.1	2	1997931	2064499
SamgukSagi851	黎陽縣	Ryeoyang	126.6637412	36.51469581	0.1	2	2064500	9999999
SamgukSagi852	一牟山郡	Ilmosan	127.4773914	36.45867084	0.1	4	1721424	1997930
SamgukSagi853	燕山郡	Yeonsan	127.4773914	36.45867084	0.1	4	1997931	9999999
SamgukSagi854	豆仍只縣	Duingji	127.2344671	36.52870205	0.1	2	1721424	1997930
SamgukSagi855	燕岐縣	Yeongi	127.2344671	36.52870205	0.1	2	1997931	9999999
SamgukSagi856	未谷縣	Migok	127.5915366	36.46567396	0.1	2	1721424	1997930
SamgukSagi857	昧谷縣	Maegok	127.5915366	36.46567396	0.1	2	1997931	2064499
SamgukSagi858	懷仁縣	Pumin	127.5915366	36.46567396	0.1	2	2064500	9999999
SamgukSagi859	基郡	Gi	126.4354508	36.78081442	0.1	4	1721424	1997930
SamgukSagi860	富城郡	Buseong	126.4354508	36.78081442	0.1	4	1997931	9999999
SamgukSagi861	省大兮縣	Saengdaehye	126.2598429	36.74813319	0.1	2	1721424	1997930
SamgukSagi862	蘇泰縣	Sotae	126.2598429	36.74813319	0.1	2	1997931	9999999
SamgukSagi863	知六縣	Jiryuk	126.388622	36.83917376	0.1	2	1721424	1997930
SamgukSagi864	地育縣	Jiyuk	126.388622	36.83917376	0.1	2	1997931	2064499
SamgukSagi865	北谷縣	Baegok	126.388622	36.83917376	0.1	2	2064500	9999999
SamgukSagi866	湯井郡	Tangjeong	127.0061767	36.73879569	0.1	4	1721424	1997930
SamgukSagi867	湯井郡	Tangjeong	127.0061767	36.73879569	0.1	4	1997931	2064499
SamgukSagi868	溫水郡	Onsu	127.0061767	36.73879569	0.1	4	2064500	9999999
SamgukSagi869	平澤縣	Pyeongtaek	126.9769087	36.90453623	0.1	2	1721424	9999999
SamgukSagi870	牙述縣	Asul	126.9359335	36.83917376	0.1	2	1721424	1997930
SamgukSagi871	陰峯縣(陰岑縣)	Eumbong(Eumjam)	126.9359335	36.83917376	0.1	2	1997931	2064499
SamgukSagi872	牙州	A	126.9359335	36.83917376	0.1	2	2064500	9999999
SamgukSagi873	屈直縣	Guljik	126.8744707	36.78314879	0.1	2	1721424	1997930
SamgukSagi874	祁梁縣	Giryang	126.8744707	36.78314879	0.1	2	1997931	2064499
SamgukSagi875	新昌縣	Sinchang	126.8744707	36.78314879	0.1	2	2064500	9999999
SamgukSagi876	比斯伐	Wansan	127.1203219	35.80971494	0.1	10	1721424	1971435
SamgukSagi877	完山州	Wansan	127.1203219	35.80971494	0.1	24	1971436	1997733
SamgukSagi878	全州	Jeon	127.1203219	35.80971494	0.1	24	1997734	9999999
SamgukSagi879	豆伊縣(往武縣)	Dui	126.9886159	35.82605555	0.1	2	1721424	1997930
SamgukSagi880	杜城縣	Duseong	126.9886159	35.82605555	0.1	2	1997931	2064499
SamgukSagi881	伊城縣	Iseong	126.9886159	35.82605555	0.1	2	2064500	9999999
SamgukSagi882	仇知只山縣	Gujijisan	126.9710551	35.77703371	0.1	2	1721424	1997930
SamgukSagi883	金溝縣	Geumgu	126.9710551	35.77703371	0.1	2	1997931	9999999
SamgukSagi884	高山縣	Gosan	127.1993455	35.97778985	0.1	2	1721424	1997930
SamgukSagi885	高山縣	Gosan	127.1993455	35.97778985	0.1	2	1997931	9999999
SamgukSagi886	古龍郡	Goryong	127.3573927	35.40353391	0.1	5	1721424	1997930
SamgukSagi887	南原小京	Namwonsogyeong	127.3573927	35.40353391	0.1	5	1997931	2064499
SamgukSagi888	南原府	Namwon	127.3573927	35.40353391	0.1	5	2064500	9999999
SamgukSagi889	大尸山郡	Daesisan	126.9212995	35.66264939	0.1	4	1721424	1997930
SamgukSagi890	大山郡	Daesan	126.9212995	35.66264939	0.1	4	1997931	2064499
SamgukSagi891	泰山郡	Taesan	126.9212995	35.66264939	0.1	4	2064500	9999999
SamgukSagi892	井村	Jeongchon	126.8305688	35.57160882	0.1	2	1721424	1997930
SamgukSagi893	井邑縣	Jeongeup	126.8305688	35.57160882	0.1	2	1997931	9999999
SamgukSagi894	賓屈縣	Bingul	126.8891047	35.697665	0.1	2	1721424	1997930
SamgukSagi895	斌城縣	Binseong	126.8891047	35.697665	0.1	2	1997931	2064499
SamgukSagi896	仁義縣	Inui	126.8891047	35.697665	0.1	2	2064500	9999999
SamgukSagi897	也西伊縣	Yaseoi	126.9710551	35.73501498	0.1	2	1721424	1997930
SamgukSagi898	野西縣	Yaseo	126.9710551	35.73501498	0.1	2	1997931	2064499
SamgukSagi899	巨野縣	Geoya	126.9710551	35.73501498	0.1	2	2064500	9999999
SamgukSagi900	古眇夫里郡(古沙夫里郡)	Gomyoburi	126.7427648	35.62529941	0.1	4	1721424	1997930
SamgukSagi901	古阜郡	Gobu	126.7427648	35.62529941	0.1	4	1997931	9999999
SamgukSagi902	皆火縣	Gaehwa	126.7017896	35.73968373	0.1	2	1721424	1997930
SamgukSagi903	扶寧縣	Bunyeong	126.7017896	35.73968373	0.1	2	1997931	9999999
SamgukSagi904	欣良買縣	Heunryangmae	126.6315464	35.62763379	0.1	2	1721424	1997930
SamgukSagi905	喜安縣	Huian	126.6315464	35.62763379	0.1	2	1997931	2064499
SamgukSagi906	保安縣	Boan	126.6315464	35.62763379	0.1	2	2064500	9999999
SamgukSagi907	上漆縣	Sangchil	126.6637412	35.52725571	0.1	2	1721424	1997930
SamgukSagi908	尙質縣	Sangjil	126.6637412	35.52725571	0.1	2	1997931	9999999
