latitude	longitude	overall_length	texture	x_size
35.01383307	134.4126139	148	DokenChuCB	1
34.80273063	134.935595	148	DokenChuCB	1
35.4709674	134.2356303	148	DokenChuCB	1
35.38419831	133.4268693	148	DokenChuCB	1
35.18610213	133.1031963	179	DokenChuCB	1
36.09728947	133.096734	148	DokenChuCB	1
35.1349176	133.8958394	179	DokenChuCB	1
34.46415318	132.5469277	148	DokenChuCB	1
34.32061696	132.5355004	148	DokenChuCB	1
34.29543369	134.0734779	148	DokenChuCB	1
33.91141313	133.0653919	148	DokenChuCB	1
33.4391051	133.2145968	179	DokenChuCB	1
33.47989908	133.4115815	148	DokenChuCB	1
33.5434881	133.4280536	148	DokenChuCB	1
33.57359493	133.7198855	148	DokenChuCB	1
33.53815023	130.4506051	148	DokenChuCB	1
33.5295655	130.4687094	148	DokenChuCB	1
33.49835679	130.5182969	148	DokenChuCB	1
33.87163361	130.532766	148	DokenChuCB	1
33.57370479	130.4647219	148	DokenChuCB	1
33.11651543	130.5188605	148	DokenChuCB	1
33.32033169	130.3850493	148	DokenChuCB	1
34.46386461	129.2795844	148	DokenChuCB	1
34.46065288	129.3754865	148	DokenChuCB	1
36.48989058	138.1326601	123	DokenChuCY	1
35.24517332	137.0186241	123	DokenChuCY	1
34.92052595	135.6984955	123	DokenChuCY	1
34.68956176	134.9810429	123	DokenChuCY	1
34.51716774	135.8257004	123	DokenChuCY	1
35.43851855	133.1157899	123	DokenChuCY	1
35.40203096	132.6854639	123	DokenChuCY	1
34.58719633	133.9770256	123	DokenChuCY	1
34.67473501	133.9244077	123	DokenChuCY	1
34.90464234	133.920641	123	DokenChuCY	1
34.69808274	133.7938271	123	DokenChuCY	1
34.4480596	133.4083636	123	DokenChuCY	1
34.15554708	130.9175419	123	DokenChuCY	1
34.41267868	130.9707149	123	DokenChuCY	1
34.24036421	131.2037853	123	DokenChuCY	1
34.04975377	133.9780512	123	DokenChuCY	1
34.3307799	134.1365501	123	DokenChuCY	1
34.26599004	133.7837515	123	DokenChuCY	1
34.02289034	132.9898632	123	DokenChuCY	1
33.41316823	133.2788879	123	DokenChuCY	1
33.5210994	133.4405867	123	DokenChuCY	1
33.5336415	130.2472974	123	DokenChuCY	1
33.55921912	130.3473261	123	DokenChuCY	1
