key	ja-JP	longitude	latitude	texture	first_year	last_year	overall_length
YayoiDogu183	石偶	141.149178	41.415208	GreenCircle	300	350	6.86
YayoiDogu184	土偶	134.037014	34.314836	BlueCircle	-100	100	6.85
YayoiDogu185	分銅形土製品	132.797849	33.858636	BlueCircle	-300	-200	6.8
YayoiDogu186	プロト分銅形土製品	132.970164	34.064417	BlueCircle	0	0	6.8
YayoiDogu187	台式土偶	135.554086	34.651454	BlueCircle	-1000	-900	6.8
YayoiDogu188	人面付土器B	138.412146	34.974255	BlueCircle	-300	-100	6.8
YayoiDogu189	人面付土器C	138.267193	36.611653	BlueCircle	-100	100	6.8
YayoiDogu190	土偶	137.989919	36.154589	BlueCircle	-550	-400	6.76
YayoiDogu191	土偶形容器	137.418475	34.780857	RedCircle	-550	-400	6.7
YayoiDogu192	土偶	137.989919	36.154589	BlueCircle	-550	-400	6.64
YayoiDogu193	土偶	130.10747	33.572146	BlueCircle	-100	100	6.6
YayoiDogu194	土偶	130.10747	33.572146	BlueCircle	-100	100	6.6
YayoiDogu195	土偶	130.10747	33.572146	BlueCircle	-100	100	6.6
YayoiDogu196	土偶	130.10747	33.572146	BlueCircle	-100	100	6.6
YayoiDogu197	分銅形土製品	132.721948	33.819454	BlueCircle	-500	-300	6.6
YayoiDogu198	後頭部結髪土偶	137.340673	34.785774	BlueCircle	-1000	-400	6.6
YayoiDogu199	黥面土偶	140.165299	35.678181	BlueCircle	-1000	-400	6.6
YayoiDogu200	黥面土偶	137.98188	36.101966	BlueCircle	-550	-400	6.6
YayoiDogu201	土偶形容器	138.144599	36.502111	RedCircle	-500	-300	6.6
YayoiDogu202	人面付土器A	138.197486	36.551811	BlueCircle	-300	-100	6.6
YayoiDogu203	台式土偶	140.571658	39.394739	BlueCircle	-1000	-400	6.6
YayoiDogu204	刺突文土偶	140.403633	40.690715	BlueCircle	-1000	-400	6.6
YayoiDogu205	刺突文土偶	140.403633	40.690715	BlueCircle	-1000	-400	6.6
YayoiDogu206	分銅形土製品	132.772842	33.81204	BlueCircle	-300	-100	6.5
YayoiDogu207	分銅形土製品	132.797849	33.858636	BlueCircle	-100	100	6.5
YayoiDogu208	人面付土器C	138.873021	36.569599	BlueCircle	-100	0	6.5
YayoiDogu209	台式土偶	141.098313	39.248207	BlueCircle	-1000	-400	6.5
YayoiDogu210	結髪土偶	140.403633	40.690715	BlueCircle	-1000	-400	6.5
YayoiDogu211	板状土偶	141.149178	41.415208	BlueCircle	300	350	6.5
YayoiDogu212	土偶	137.412122	34.842617	BlueCircle	-1000	-400	6.45
YayoiDogu213	黥面土偶	137.989919	36.154589	BlueCircle	-550	-400	6.45
YayoiDogu214	分銅形土製品	132.042673	33.954746	BlueCircle	0	0	6.4
YayoiDogu215	プロト分銅形土製品	132.970164	34.064417	BlueCircle	0	0	6.4
YayoiDogu216	台式土偶	134.59229	34.815787	BlueCircle	-500	-300	6.4
YayoiDogu217	分銅形土製品	134.067271	35.057945	BlueCircle	-300	-100	6.4
YayoiDogu218	黥面土偶	138.359856	36.22539	BlueCircle	-1000	-400	6.4
YayoiDogu219	人面付土器C	138.167244	36.463129	BlueCircle	-100	100	6.4
YayoiDogu220	結髪土偶	141.01091	38.729471	BlueCircle	0	0	6.4
YayoiDogu221	台式土偶	141.150465	39.041713	BlueCircle	-1000	-400	6.4
YayoiDogu222	刺突文土偶	139.925391	39.883695	BlueCircle	0	0	6.4
YayoiDogu223	刺突文土偶	141.449602	40.305489	BlueCircle	-1000	-400	6.4
YayoiDogu224	分銅形土製品	135.59024	34.598444	BlueCircle	-50	200	6.3
YayoiDogu225	分銅形土製品	133.794498	34.653374	BlueCircle	-400	-200	6.3
YayoiDogu226	土偶	133.978116	34.680071	BlueCircle	-100	100	6.3
YayoiDogu227	黥面土偶	138.144599	36.502111	BlueCircle	-1000	-400	6.3
YayoiDogu228	黥面土偶	138.093011	36.524453	BlueCircle	-300	-100	6.3
YayoiDogu229	人面付土器A	138.267193	36.611653	BlueCircle	-100	100	6.3
YayoiDogu230	台式土偶	141.157248	39.235338	BlueCircle	0	0	6.3
YayoiDogu231	台式土偶	135.408332	34.746797	BlueCircle	-1000	-900	6.2
YayoiDogu232	土偶形容器	135.962077	35.047791	RedCircle	-300	-100	6.2
YayoiDogu233	後頭部結髪土偶	137.989919	36.154589	BlueCircle	-550	-400	6.19
YayoiDogu234	土偶	137.019717	35.412556	BlueCircle	-400	-200	6.1
YayoiDogu235	分銅形土製品	133.96085	35.107652	BlueCircle	-100	100	6.05
YayoiDogu236	土偶	133.662073	33.536424	BlueCircle	50	200	6
YayoiDogu237	土偶	130.10747	33.572146	BlueCircle	-100	100	6
YayoiDogu238	土偶	130.10747	33.572146	BlueCircle	-100	100	6
YayoiDogu239	分銅形土製品	132.78354	33.825447	BlueCircle	-300	-100	6
YayoiDogu240	分銅形土製品	132.78354	33.825447	BlueCircle	0	0	6
YayoiDogu241	分銅形土製品	132.797849	33.858636	BlueCircle	-300	-200	6
YayoiDogu242	土偶	135.797724	34.555036	BlueCircle	-300	-100	6
YayoiDogu243	土偶形容器	135.017247	34.638086	RedCircle	0	0	6
YayoiDogu244	台式土偶	135.165732	34.663132	BlueCircle	-1000	-900	6
YayoiDogu245	黥面土偶	136.863696	35.200266	BlueCircle	-400	-250	6
YayoiDogu246	土偶形容器	138.013204	35.868206	RedCircle	-1000	-400	6
YayoiDogu247	黥面土偶	137.925209	36.078326	BlueCircle	-400	-250	6
YayoiDogu248	後頭部結髪土偶	138.364111	36.304073	BlueCircle	-550	-400	6
YayoiDogu249	人面付土器J	138.364111	36.304073	BlueCircle	-550	-400	6
YayoiDogu250	黥面土偶	137.823151	36.457305	BlueCircle	-550	-400	6
YayoiDogu251	土偶	141.162069	39.072345	BlueCircle	-300	-100	6
