key	ja-JP	latitude	longitude	overall_length	texture	first_julian_day	last_julian_day	x_size
Doken512	中広形？	34.17518496	129.1931332	197	Dohoko	1693667	1719234	1
Doken513	広形Ⅰ	34.26773427	129.202558	253	Dohoko	1713755	1724712	1
Doken514	広形	34.18512196	129.2804501	253	Dohoko	1713755	1750279	1
Doken515	広形	34.54294811	129.3302212	253	Dohoko	1713755	1750279	1
Doken516	広形か中広形	34.36932282	129.2757548	253	Dohoko	1693667	1724712	1
Doken517	中広形	34.39206675	129.2826607	197	Dohoko	1693667	1719234	1
Doken518	中広形	34.39260845	129.3184172	197	Dohoko	1693667	1719234	1
Doken519	広形	34.39260845	129.3184172	253	Dohoko	1713755	1750279	1
Doken520	中広形？	34.3890245	129.317337	197	Dohoko	1693667	1719234	1
Doken521	中広形	33.79972359	129.6849456	197	Dohoko	1693667	1719234	1
Doken522	細形Ⅰa	33.76617971	129.7466122	123	Doka	1637054	1651664	1
Doken523	細形	32.83644948	130.0592162	123	DokenChuC	1637054	1651664	1
Doken524	細形	32.78795634	130.3691798	123	DokenChuC	1637054	1651664	1
Doken525	中細形a	32.78795634	130.3691798	148	Dohoko	1666274	1675405	1
Doken526	中細形c	32.78795634	130.3691798	148	Dohoko	1684536	1693667	1
Doken527	細形	32.78915495	130.366232	123	DokenChuC	1637054	1651664	1
Doken528	細形	34.46993164	129.3144167	123	DokenChuC	1637054	1651664	1
Doken529	広形	33.29996733	129.618838	253	Dohoko	1713755	1750279	1
Doken530	細形Ⅱc	34.48591312	129.3966355	123	DokenChuC	1637054	1651664	1
Doken531	細形	33.28680289	129.4419878	123	DokenChuC	1637054	1651664	1
Doken532	中広形	34.4483098	129.3172399	197	Doka	1713755	1724712	1
Doken533	中広形	33.76096298	129.7516219	197	Dohoko	1693667	1719234	1
Doken534	広形	33.01409966	130.5540076	253	Dohoko	1713755	1750279	1
Doken535	細形	32.92236161	130.522167	123	Dohoko	1637054	1651664	1
Doken536	細形Ⅱa	33.02085245	130.7344527	123	Doka	1637054	1651664	1
Doken537	中細形a	32.9900082	130.8069868	148	Dohoko	1666274	1675405	1
Doken538	広形Ⅰ	32.86553433	130.8797263	253	Dohoko	1713755	1724712	1
Doken539	中広形	32.92011584	130.8330393	197	Dohoko	1693667	1719234	1
Doken540	中広形	32.85337548	130.6884207	197	Doka	1713755	1724712	1
Doken541	中広形	33.001862	130.7299791	197	Dohoko	1693667	1719234	1
Doken542	中広形	33.01115969	130.766701	197	Dohoko	1693667	1719234	1
Doken543	細形Ⅰ	32.26303974	130.9434674	123	DokenChuC	1637054	1651664	1
Doken544	中細形aかb	32.93419666	131.0403883	148	Doka	1666274	1702798	1
Doken545	中細形c	33.14866929	131.0519207	148	Doka	1702798	1713755	1
Doken546	中広形	33.12093949	131.0732911	197	Dohoko	1693667	1719234	1
Doken547	中広形？	32.87339118	130.8614395	197	Dohoko	1693667	1719234	1
Doken548	中広形	32.95285685	131.014591	197	Dohoko	1693667	1719234	1
Doken549	細形	32.80893495	130.7259303	123	DokenChuC	1637054	1651664	1
Doken550	中広形	33.31404537	130.9084287	197	Dohoko	1693667	1719234	1
Doken551	中広形	33.33593831	130.9711652	197	Dohoko	1693667	1719234	1
Doken552	中広形	33.24113298	130.9741413	197	Dohoko	1693667	1719234	1
Doken553	細形Ⅱc	33.31179378	131.1877431	123	DokenChuC	1637054	1651664	1
Doken554	中広形	33.3459937	131.1454439	197	Dohoko	1693667	1719234	1
Doken555	中細形A	32.96178401	131.3721577	148	Doka	1666274	1684536	1
Doken556	広形	33.52411517	131.3510075	253	Dohoko	1713755	1750279	1
Doken557	中広形	33.53171869	131.3778574	197	Doka	1713755	1724712	1
Doken558	中細形か？	33.44921578	131.5389403	148	Doka	1666274	1713755	1
Doken559	細形	33.391468	131.3401828	123	DokenChuC	1637054	1651664	1
Doken560	細形Ⅰ？	33.56142043	131.4774466	123	Doka	1637054	1651664	1
Doken561	細形？	33.39673731	131.6007542	123	DokenChuC	1637054	1651664	1
Doken562	広形？	33.41213551	131.5331239	253	Dohoko	1713755	1750279	1
Doken563	細形Ⅰa？	33.24822478	131.7318603	123	Doka	1637054	1651664	1
Doken564	平形Ⅰa	33.22101476	131.7109508	157	Doken	1702798	1713755	1
Doken565	細形Ⅰ	33.23890759	131.7622407	123	Doka	1637054	1651664	1
Doken566	細形Ⅱb1	33.21774823	131.6317067	123	Doka	1637054	1651664	1
Doken567	中広形	33.2442128	131.8858832	197	Dohoko	1693667	1719234	1
Doken568	中細形A	33.13205933	131.7974969	148	Doka	1666274	1684536	1
Doken569	広形Ⅰ	33.51552632	131.3606231	253	Dohoko	1713755	1724712	1
Doken570	広形Ⅱ	33.51552632	131.3606231	253	Dohoko	1735670	1750279	1
Doken571	細形	33.54671644	131.3555563	123	DokenChuC	1637054	1651664	1
Doken572	細形	33.55285365	131.1962453	123	DokenChuC	1637054	1651664	1
Doken573	中細形	33.33179179	130.9282884	148	Doka	1666274	1713755	1
Doken574	細形	33.33179179	130.9282884	123	Doka	1637054	1651664	1
Doken575	細形Ⅱb	33.33179179	130.9282884	123	DokenChuC	1637054	1651664	1
Doken576	中広形	31.91107231	131.4238761	197	Doka	1713755	1724712	1
Doken577	中広形	31.4668151	131.055476	197	Dohoko	1693667	1719234	1
Doken578	中広形	30.7373092	131.0004256	197	Dohoko	1693667	1719234	1
Doken579	細形	26.41841294	127.7258939	123	DokenChuC	1637054	1651664	1
