key	ja-JP	longitude	latitude	first_year	last_year	texture	overall_length
Kofun105	ヒエ塚古墳	135.846011	34.574015	240	280	ZKoenFunFSgt	150
Kofun106	神宮寺山古墳	133.930739	34.683958	320	360	ZKoenFunF	150
Kofun107	湊茶臼山古墳	133.954094	34.647789	320	360	ZKoenFun	150
Kofun108	佐古田堂山古墳	133.831	34.695009	360	380	ZKoenFunF2	150
Kofun109	恵解山古墳	135.697589	34.914647	380	420	ZKoenFunFSgt	148.8
Kofun110	朝子塚古墳	139.361553	36.260759	320	360	ZKoenFunFSgt2	148.2
Kofun111	琵琶塚古墳	139.80685	36.374934	520	560	ZKoenFunSgt3	147.6
Kofun112	大鶴巻古墳	139.038703	36.294915	360	380	ZKoenFunFSgt2	147.6
Kofun113	三之分目大塚山古墳	140.582022	35.878755	380	420	ZKoenFunSgt2	147.6
Kofun114	青塚茶臼山古墳	136.928969	35.326635	360	380	ZKoenFunFSgt	147.6
Kofun115	郡山新木山古墳	135.774875	34.642647	480	520	ZKoenFunSgt	147
Kofun116	三条塚古墳	139.862	35.321643	590	620	ZKoenFunSgt	146.4
Kofun117	野中ボケ山古墳	135.596411	34.556693	520	560	ZKoenFunSgt2	146.4
Kofun118	高屋築山古墳	135.609536	34.549003	520	560	ZKoenFunSgt	146.4
Kofun119	上並榎稲荷山古墳	138.986311	36.345978	480	520	ZKoenFunSgt	146.04
Kofun120	蛭子山1号墳	135.104367	35.507515	320	360	ZKoenFunF3	145
Kofun121	摩利支天塚古墳	139.805836	36.372745	480	520	ZKoenFunFSgt	144.66
Kofun122	稲荷山古墳	139.480772	36.129413	480	520	ZKoenFunFSgt	144
Kofun123	高柳銚子塚古墳	139.929094	35.402946	420	440	ZKoenFunSgt	144
Kofun124	坊の塚古墳	136.925475	35.403224	360	380	ZKoenFunFSgt	144
Kofun125	膳所茶臼山古墳	135.883603	34.990583	360	380	ZKoenFunFSgt	144
Kofun126	御勝山古墳	135.535983	34.654734	320	360	ZKoenFunFSgt	144
Kofun127	帝塚山古墳	135.496175	34.621351	320	360	ZKoenFunFSgt2	144
Kofun128	中山大塚古墳	135.848056	34.566223	240	280	ZKoenFunFSgt3	144
Kofun129	白鳥古墳	132.079825	33.897026	380	420	ZKoenFunFSgt3	144
Kofun130	石人山古墳	130.517514	33.237338	480	520	ZKoenFunFSgt	144
Kofun131	亀塚古墳	131.739489	33.235013	380	420	ZKoenFunFSgt3	144
Kofun132	西乗鞍古墳	135.845853	34.585898	480	520	ZKoenFunSgt	141.6
Kofun133	宿寺山古墳	133.782911	34.662233	440	480	ZKoenFunFSgt	141.6
Kofun134	御所山古墳	130.980781	33.75839	420	440	ZKoenFunFSgt3	141.6
Kofun135	芦間山古墳	139.998611	36.289101	320	360	ZKoenFun	141
Kofun136	吾妻古墳	139.811169	36.404326	560	600	ZKoenFunFSgt2	140.4
Kofun137	生目22号墳	131.386011	31.946195	360	380	ZKoenFunFSgt	140.4
Kofun138	秋常山1号墳	136.519169	36.449898	320	360	ZKoenFunF	140
Kofun139	六呂瀬山1号墳	136.315389	36.117852	360	380	ZKoenFunF2	140
Kofun140	黄金塚2号墳	135.789203	34.935897	360	380	ZKoenFun	140
Kofun141	東大寺山古墳	135.837872	34.62237	320	360	ZKoenFunF	140
Kofun142	藤本観音山古墳	139.436564	36.300998	280	320	ZKohoFunSgt	139.8
Kofun143	松林山古墳	137.888233	34.719705	320	360	ZKoenFunFSgt2	139.2
Kofun144	黒姫山古墳	135.557564	34.545686	440	480	ZKoenFunFSgt2	139.2
Kofun145	岩鼻二子山古墳	139.079642	36.302137	440	480	ZKoenFunSgt	138
Kofun146	大堤権現塚古墳	140.449094	35.634475	590	620	ZKoenFunSgt	138
Kofun147	琴塚古墳	136.814594	35.418243	420	440	ZKoenFunFSgt2	138
Kofun148	八幡西車塚古墳	135.701786	34.864827	360	380	ZKoenFunFSgt	138
Kofun149	白髪山古墳	135.600161	34.548976	520	560	ZKoenFunFSgt2	138
Kofun150	ウワナリ塚古墳	135.8495	34.614345	520	560	ZKoenFunFSgt2	138
Kofun151	別所大塚古墳	135.838314	34.610857	520	560	ZKoenFunFSgt	138
Kofun152	下池山古墳	135.846325	34.568771	999999	999999	ZKohoFunFSgt	138
Kofun153	浦間茶臼山古墳	134.067014	34.710261	240	280	ZKoenFunF	138
Kofun154	新山古墳	135.735883	34.532898	320	360	ZKohoFun	137
Kofun155	会津大塚山	139.944111	37.51308	320	360	ZKoenFunFSgt2	136.8
Kofun156	上侍塚古墳	140.124797	36.805803	360	380	ZKohoFunFSgt	136.8
Kofun157	西山塚古墳	135.848667	34.570534	480	520	ZKoenFunFSgt3	136.8
Kofun158	船塚古墳	130.241383	33.313557	440	480	ZKoenFunFSgt3	136.8
Kofun159	川南39号墳	131.485544	32.168425	380	420	ZKoenFunFSgt	136.8
Kofun160	屋敷山古墳	135.713808	34.486947	420	440	ZKoenFun	136.5
Kofun161	富塚丸山古墳	136.363889	36.327537	999999	999999	ZKoenFunSgt	136.2
Kofun162	堂山古墳	137.877358	34.713998	380	420	ZKoenFunFSgt2	135.6
Kofun163	奥城古墳	135.635622	34.512049	480	520	ZKoenFunSgt2	135.6
Kofun164	大和天神山古墳	135.84565	34.557279	999999	999999	ZKoenFunSgt	135.6
Kofun165	尾上車山古墳	133.864833	34.659039	280	320	ZKoenFunF3	135
Kofun166	宇治二子塚古墳	135.798011	34.918255	480	520	ZKoenFunFSgt3	134.4
Kofun167	安土瓢箪山古墳	136.148442	35.142513	320	360	ZKoenFunF	134
Kofun168	石名塚古墳	135.840592	34.554607	240	280	ZKoenFunFSgt	133.2
Kofun169	遠見塚古墳	140.914514	38.238287	360	380	ZKoenFunSgt	132
Kofun170	今富塚山古墳	140.089425	35.474177	280	320	ZKoenFunSgt	132
Kofun171	芭蕉塚古墳	135.777656	34.867842	440	480	ZKoenFunFSgt	132
Kofun172	大鳥塚古墳	135.609117	34.566857	380	420	ZKoenFunFSgt3	132
Kofun173	二ツ塚古墳	135.611444	34.56394	360	380	ZKoenFunFSgt	132
Kofun174	西求女塚古墳	135.226456	34.705625	360	380	ZKoenFunFSgt	132
Kofun175	木取山古墳	135.80555	34.694567	420	440	ZKoenFunFSgt	132
Kofun176	馬口山古墳	135.840775	34.571576	320	360	ZKoenFunFSgt	132
Kofun177	フサギ塚古墳	135.842142	34.570032	999999	999999	ZKohoFunSgt	132
Kofun178	北山古墳	133.884692	35.464334	380	420	ZKoenFunFSgt	132
Kofun179	稲荷山古墳	130.558353	32.92743	999999	999999	ZKoenFunFSgt	132
Kofun180	寺谷銚子塚古墳	137.839228	34.780187	320	360	ZKoenFunFSgt	131.244
