language_ja_jp	language_en_us	longitude	latitude	min_size	max_size	first_julian_day	last_julian_day
吉同郡	Gildong	127.746657	36.15053351	0.1	4	1721424	1997930
永同郡	Yeongdong	127.746657	36.15053351	0.1	4	1997931	9999999
助比川縣	Jobicheon	127.6383654	36.11785227	0.1	2	1721424	1997930
陽山縣	Yangsan	127.6383654	36.11785227	0.1	2	1997931	9999999
召羅縣	Sona	127.8959237	36.21589597	0.1	2	1721424	1997930
黃澗縣	Hwanggan	127.8959237	36.21589597	0.1	2	1997931	9999999
尸山郡	Sisan	127.5330006	36.28826156	0.1	4	1721424	1997930
管城郡	Gwanseong	127.5330006	36.28826156	0.1	4	1997931	9999999
所利山縣	Sorisan	127.585683	36.23690534	0.1	2	1721424	1997930
利山縣	Risan	127.585683	36.23690534	0.1	2	1997931	9999999
阿冬號縣(阿冬兮縣)	Adongho	127.6383654	36.37930213	0.1	2	1721424	1997930
縣眞縣	Hyeonjin	127.6383654	36.37930213	0.1	2	1997931	2064499
安邑縣	Aneup	127.6383654	36.37930213	0.1	2	2064500	9999999
三年山郡	Samnyeonsan	127.6910478	36.47267708	0.1	4	1721424	1997930
三年郡	Samnyeon	127.6910478	36.47267708	0.1	4	1997931	2064499
保齡郡	Bonai	127.6910478	36.47267708	0.1	4	2064500	9999999
薩買縣	Salmae	127.7203158	36.64542074	0.1	2	1721424	1997930
淸川縣	Cheongcheon	127.7203158	36.64542074	0.1	2	1997931	9999999
屈縣	Gul	127.7642178	36.33494903	0.1	2	1721424	1997930
耆山縣	Gisan	127.7642178	36.33494903	0.1	2	1997931	2064499
靑山縣	Cheongsan	127.7642178	36.33494903	0.1	2	2064500	9999999
古寧加耶國/古冬攬郡(古陵縣)	Gonyeonggaya	128.1388481	36.54971142	0.1	4	1721424	1997930
古寧郡	Gonyeong	128.1388481	36.54971142	0.1	4	1997931	2064499
咸寧郡	Hamnyeong	128.1388481	36.54971142	0.1	4	2064500	9999999
加害縣	Gahae	128.0510441	36.62908013	0.1	2	1721424	1997930
嘉善縣	Gaseon	128.0510441	36.62908013	0.1	2	1997931	2064499
加恩縣	Gaeun	128.0510441	36.62908013	0.1	2	2064500	9999999
冠縣(冠文縣)	Gwan	128.0949461	36.72478945	0.1	2	1721424	1997930
冠山縣	Gwansan	128.0949461	36.72478945	0.1	2	1997931	2064499
聞慶縣	Mungyeong	128.0949461	36.72478945	0.1	2	2064500	9999999
虎側縣	Hocheuk	128.1681161	36.62674575	0.1	2	1721424	1997930
虎溪縣	Hogye	128.1681161	36.62674575	0.1	2	1997931	9999999
荅達匕郡(杳達郡)	Dapdalbi	127.9398257	36.40264587	0.1	4	1721424	1997930
化寧郡	Hwanyeong	127.9398257	36.40264587	0.1	4	1997931	9999999
刀良縣	Doryang	127.9486061	36.3466209	0.1	2	1721424	1997930
道安縣	Doan	127.9486061	36.3466209	0.1	2	1997931	2064499
中牟縣	Jungmo	127.9486061	36.3466209	0.1	2	2064500	9999999
絲州	Sa	129.0490827	35.3591808	0.1	16	1721424	1923953
下州	Ha	129.0490827	35.3591808	0.1	24	1923954	1972166
歃良州	Sapryang	129.0490827	35.3591808	0.1	24	1972167	1997733
良州	Ryang	129.0490827	35.3591808	0.1	24	1997734	2064499
梁州	Ryang	129.0490827	35.3591808	0.1	24	2064500	9999999
居知火縣	Geojihwa	129.1251795	35.57394319	0.1	2	1721424	1997930
劭陽縣	Soyang	129.1251795	35.57394319	0.1	2	1997931	9999999
金官國(伽落國、伽耶國)	Geumgwan	128.8764015	35.235459	0.1	5	1721424	1997930
金海小京	Geumhae	128.8764015	35.235459	0.1	5	1997931	2064499
金州	Geum	128.8764015	35.235459	0.1	5	2064500	9999999
屈自郡	Gulja	128.6393308	35.26113711	0.1	4	1721424	1997930
義安郡	Uian	128.6393308	35.26113711	0.1	4	1997931	9999999
漆吐縣	Chilto	128.533966	35.32883395	0.1	2	1721424	1997930
漆箸縣	Chiljeo	128.533966	35.32883395	0.1	2	1997931	2064499
漆園縣	Chilwon	128.533966	35.32883395	0.1	2	2064500	9999999
骨浦縣	Golpo	128.5398196	35.19110589	0.1	2	1721424	1997930
合浦縣	Happo	128.5398196	35.19110589	0.1	2	1997931	9999999
熊只縣	Ungji	128.738842	35.12340906	0.1	2	1721424	1997930
熊神縣	Ungsin	128.738842	35.12340906	0.1	2	1997931	9999999
推火郡	Chuhwa	128.738842	35.48290261	0.1	4	1721424	1997930
密城郡	Milseong	128.738842	35.48290261	0.1	4	1997931	9999999
西火縣	Seohwa	128.5076248	35.44555263	0.1	2	1721424	1997930
尙藥縣	Sangyak	128.5076248	35.44555263	0.1	2	1997931	2064499
靈山縣	Yeongsan	128.5076248	35.44555263	0.1	2	2064500	9999999
推浦縣(一云竹山)	Chupo	128.5076248	35.40353391	0.1	2	1721424	1997930
密津縣	Miljin	128.5076248	35.40353391	0.1	2	1997931	9999999
烏也山縣(仇道縣/烏禮山縣)	Oyasan	128.7446956	35.55760257	0.1	2	1721424	1997930
烏丘山縣	Ogusan	128.7446956	35.55760257	0.1	2	1997931	2064499
淸道郡	Cheongdo	128.7446956	35.55760257	0.1	2	2064500	9999999
驚山縣	Gyeongsan	128.753476	35.63463691	0.1	2	1721424	1997930
荊山縣	Hyeongsan	128.753476	35.63463691	0.1	2	1997931	2064499
淸道郡	Cheongdo	128.753476	35.63463691	0.1	2	2064500	9999999
率已山縣	Ryulisan	128.8646943	35.68132438	0.1	2	1721424	1997930
蘇山縣	Sosan	128.8646943	35.68132438	0.1	2	1997931	2064499
淸道郡	Cheongdo	128.8646943	35.68132438	0.1	2	2064500	9999999
比自火郡(比斯伐郡)	Bijahwa	128.4959176	35.54359633	0.1	4	1721424	1997930
火王郡	Hwawang	128.4959176	35.54359633	0.1	4	1997931	2064499
昌寧郡	Changnyeong	128.4959176	35.54359633	0.1	4	2064500	9999999
推良火縣(三良火縣)	Churyanghwa	128.4286012	35.69999937	0.1	2	1721424	1997930
玄驍縣	Hyeonhyo	128.4286012	35.69999937	0.1	2	1997931	2064499
玄豐縣	Hyeonpung	128.4286012	35.69999937	0.1	2	2064500	9999999
喟火郡	Wihwa	128.6129896	35.82138681	0.1	4	1721424	1997930
壽昌郡(嘉昌郡)	Suchang(Gachang)	128.6129896	35.82138681	0.1	4	1997931	2064499
壽城郡	Suseong	128.6129896	35.82138681	0.1	4	2064500	9999999
達句火縣	Dalguhwa	128.577868	35.8750774	0.1	2	1721424	1997930
大丘縣	Daegu	128.577868	35.8750774	0.1	2	1997931	9999999
八居里縣(北耻長里縣/仁里縣)	Palgeori	128.5456732	35.94277424	0.1	2	1721424	1997930
八里縣	Palri	128.5456732	35.94277424	0.1	2	1997931	2064499
八居縣	Palgeo	128.5456732	35.94277424	0.1	2	2064500	9999999
多斯只縣(沓只縣)	Dasaji	128.416894	35.87974615	0.1	2	1721424	1997930
河濱縣	Habin	128.416894	35.87974615	0.1	2	1997931	9999999
舌火縣	Seolhwa	128.4959176	35.81204931	0.1	2	1721424	1997930
花園縣	Hwawon	128.4959176	35.81204931	0.1	2	1997931	9999999
押梁小國(押督小國)	Apryangso	128.7359152	35.85173367	0.1	4	1721424	1997930
捶山郡	Chusan	128.7359152	35.85173367	0.1	4	1997931	2064499
章山郡	Jangsan	128.7359152	35.85173367	0.1	4	2064500	9999999
(河陽)縣	(Hayang)	128.7622564	35.95911486	0.1	2	1721424	9999999
雉省火縣(美里)	Chisaenghwa	128.651038	35.9194305	0.1	2	1721424	1997930
解顏縣	Haean	128.651038	35.9194305	0.1	2	1997931	9999999
麻珍良縣(麻彌良縣)	Majinryang	128.7915244	35.89842114	0.1	2	1721424	1997930
餘粮縣	Yeoryang	128.7915244	35.89842114	0.1	2	1997931	2064499
仇史部曲	Gusa	128.7915244	35.89842114	0.1	2	2064500	9999999
奴斯火縣	Nosahwa	128.7944512	35.8750774	0.1	2	1721424	1997930
慈仁縣	Jain	128.7944512	35.8750774	0.1	2	1997931	9999999
切也火郡	Jeolyahwa	128.9759127	36.0268117	0.1	4	1721424	1997930
臨皐郡	Rimgo	128.9759127	36.0268117	0.1	4	1997931	2064499
永州	Yeong	128.9759127	36.0268117	0.1	4	2064500	9999999
長鎭縣	Jangjin	129.0842043	36.1692085	0.1	2	1721424	2064499
竹長伊部曲	Jukjangi	129.0842043	36.1692085	0.1	2	2064500	9999999
骨火小國	Golhwaso	128.9320107	35.97078673	0.1	2	1721424	1997930
臨川縣	RimCheon	128.9320107	35.97078673	0.1	2	1997931	2064499
永州	Yeong	128.9320107	35.97078673	0.1	2	2064500	9999999
刀冬火縣	Dodonghwa	128.9173767	35.94043987	0.1	2	1721424	1997930
道同縣	Dodong	128.9173767	35.94043987	0.1	2	1997931	2064499
永州	Yeong	128.9173767	35.94043987	0.1	2	2064500	9999999
史丁火縣	Sajeonghwa	128.8998159	36.06649605	0.1	2	1721424	1997930
新寧縣	Sinnyeong	128.8998159	36.06649605	0.1	2	1997931	9999999
買熱次縣	Maeyeolcha	128.9085963	36.12018665	0.1	2	1721424	1997930
黽白縣	Minbaek	128.9085963	36.12018665	0.1	2	1997931	2064499
新寧縣	Sinnyeong	128.9085963	36.12018665	0.1	2	2064500	9999999
居漆山郡	Geochilsan	129.1281063	35.23312462	0.1	4	1721424	1997930
東萊郡	Dongrae	129.1281063	35.23312462	0.1	4	1997931	9999999
大甑縣	Daejeung	129.1661547	35.17476528	0.1	2	1721424	1997930
東平縣	Dongpyeong	129.1661547	35.17476528	0.1	2	1997931	9999999
甲火良谷縣	Gaphwaryanggok	129.2129835	35.26113711	0.1	2	1721424	1997930
機張縣	Gijang	129.2129835	35.26113711	0.1	2	1997931	9999999
生西良郡	Saengseoryang	129.3388358	35.43854951	0.1	4	1721424	1997930
東安郡	Dongan	129.3388358	35.43854951	0.1	4	1997931	2064499
慶州	Gyeong	129.3388358	35.43854951	0.1	4	2064500	9999999
于火縣	Uhwa	129.2071299	35.46889637	0.1	2	1721424	1997930
虞風縣	Upung	129.2071299	35.46889637	0.1	2	1997931	2064499
蔚州	Ul	129.2071299	35.46889637	0.1	2	2064500	9999999
毛火郡(蚊化郡)	Mohwa	129.3388358	35.69066188	0.1	4	1721424	1997930
臨關郡	RimGwan	129.3388358	35.69066188	0.1	4	1997931	2064499
慶州	Gyeong	129.3388358	35.69066188	0.1	4	2064500	9999999
栗浦縣	Ryulpo	129.4002986	35.53192446	0.1	2	1721424	1997930
東津縣	Dongjin	129.4002986	35.53192446	0.1	2	1997931	2064499
蔚州	Ul	129.4002986	35.53192446	0.1	2	2064500	9999999
屈阿火村	Gulahwachon	129.3417626	35.56227132	0.1	2	1721424	1997930
河曲縣(河西縣)	Hagok(Haseo)	129.3417626	35.56227132	0.1	2	1997931	2064499
蔚州	Ul	129.3417626	35.56227132	0.1	2	2064500	9999999
退火郡	Toehwa	129.3388358	36.11785227	0.1	4	1721424	1997930
義昌郡	Uichang	129.3388358	36.11785227	0.1	4	1997931	2064499
興海郡	Heunghae	129.3388358	36.11785227	0.1	4	2064500	9999999
比火縣	Bihwa	129.2363979	36.01513983	0.1	2	1721424	1997930
安康縣	Angang	129.2363979	36.01513983	0.1	2	1997931	9999999
只沓縣	Jidap	129.482249	35.90542426	0.1	2	1721424	1997930
看立縣	Ganrip	129.482249	35.90542426	0.1	2	1997931	2064499
長看縣	Janggan	129.482249	35.90542426	0.1	2	2064500	9999999
東仍音縣	Dongingeum	129.2451783	36.13886164	0.1	2	1721424	1997930
神光縣	Singwang	129.2451783	36.13886164	0.1	2	1997931	9999999
斤烏支縣	Geunoji	129.3329823	35.99179609	0.1	2	1721424	1997930
臨汀縣	Rimjeong	129.3329823	35.99179609	0.1	2	1997931	2064499
迎日縣	Yeongil	129.3329823	35.99179609	0.1	2	2064500	9999999
覲兮縣(化鷄縣)	Geunhye	129.1895691	36.07583355	0.1	2	1721424	1997930
杞溪縣	Gigye	129.1895691	36.07583355	0.1	2	1997931	9999999
音汁伐國	Eumjeupbeol	129.2188371	35.96611798	0.1	2	1721424	1997930
音汁火縣	Eumjeuphwa	129.2188371	35.96611798	0.1	2	1997931	2064499
安康縣	Angang	129.2188371	35.96611798	0.1	2	2064500	9999999
仇刀城境內	Gudoseonggyeongnae	128.6012824	35.64630878	0.1	4	1721424	1997930
大城郡	Daeseong	128.6012824	35.64630878	0.1	4	1997931	2064499
率伊山城	Ryulisanseong	128.6012824	35.64630878	0.1	4	2064500	9999999
惡支縣	Agji	129.4617614	35.79103995	0.1	2	1721424	1997930
約章縣	Yakjang	129.4617614	35.79103995	0.1	2	1997931	2064499
慶州	Gyeong	129.4617614	35.79103995	0.1	2	2064500	9999999
西兄山郡	Seohyeongsan	129.1632279	35.82838993	0.1	4	1721424	1997930
商城郡	Sangseong	129.1632279	35.82838993	0.1	4	1997931	2064499
慶州	Gyeong	129.1632279	35.82838993	0.1	4	2064500	9999999
居烈州	Georyeol	129.0490827	35.3591808	0.1	24	1971436	1971435
菁州	Cheong	128.0949461	35.17943403	0.1	24	1971436	1997733
康州	Gang	128.0949461	35.17943403	0.1	24	1997734	2064499
晉州	Jin	128.0949461	35.17943403	0.1	24	2064500	9999999
班城縣	Banseong	128.3086025	35.16542778	0.1	2	1721424	9999999
加主火縣	Gajuhwa	128.1300677	35.42687764	0.1	2	1721424	1997930
嘉壽縣	Gasu	128.1300677	35.42687764	0.1	2	1997931	9999999
轉也山郡	Jeonyasan	127.8842165	34.83161234	0.1	4	1721424	1997930
南海郡	Namhae	127.8842165	34.83161234	0.1	4	1997931	9999999
內浦縣	Naepo	127.9456793	34.79426236	0.1	2	1721424	1997930
蘭浦縣	Nanpo	127.9456793	34.79426236	0.1	2	1997931	9999999
平西山縣(西平)	Pyeongseosan	127.8520218	34.78025611	0.1	2	1721424	1997930
平山縣	Pyeongsan	127.8520218	34.78025611	0.1	2	1997931	9999999
韓多沙郡	Handasa	127.7290962	35.07905595	0.1	4	1721424	1997930
河東郡	Hadong	127.7290962	35.07905595	0.1	4	1997931	9999999
陜浦縣	Happo	127.5886098	35.27514335	0.1	2	1721424	9999999
省良縣	Saengryang	127.8432414	34.96000289	0.1	2	1721424	2064499
金良部曲	Geumryang	127.8432414	34.96000289	0.1	2	2064500	9999999
小多沙縣	Sodasa	127.6705602	35.17709965	0.1	2	1721424	1997930
嶽陽縣	Akyang	127.6705602	35.17709965	0.1	2	1997931	9999999
浦村縣	Pochon	127.9690937	35.05337784	0.1	2	1721424	1997930
川邑縣	Cheoneup	127.9690937	35.05337784	0.1	2	1997931	9999999
古自郡	Goja	128.2998221	34.98101226	0.1	4	1721424	1997930
固城郡	Goseong	128.2998221	34.98101226	0.1	4	1997931	9999999
文和縣	Munhwa	128.1798233	35.09773094	0.1	2	1721424	9999999
蚊火良縣	Munhwaryang	128.1768965	34.99968725	0.1	2	1721424	9999999
史勿縣	Samul	128.0686049	35.07905595	0.1	2	1721424	1997930
泗水縣	Sasu	128.0686049	35.07905595	0.1	2	1997931	2064499
泗州	Sa	128.0686049	35.07905595	0.1	2	2064500	9999999
一善縣	Ilseon	128.2500665	35.09539657	0.1	2	1721424	1997930
尙善縣	Sangseon	128.2500665	35.09539657	0.1	2	1997931	2064499
永善縣	Yeongseon	128.2500665	35.09539657	0.1	2	2064500	9999999
阿尸良國(阿那加耶)	Asiryang	128.40226	35.27280898	0.1	4	1721424	1997930
咸安郡	Haman	128.40226	35.27280898	0.1	4	1997931	9999999
宜寧縣	Uinyeong	128.2471397	35.32183082	0.1	2	1721424	9999999
召彡縣	Soshan	128.3086025	35.27280898	0.1	2	1721424	1997930
玄武縣	Hyeonmu	128.3086025	35.27280898	0.1	2	1997931	2064499
召彡部曲	Soshan	128.3086025	35.27280898	0.1	2	2064500	9999999
裳郡	Sang	128.577868	34.86896232	0.1	4	1721424	1997930
巨濟郡	Geoje	128.577868	34.86896232	0.1	4	1997931	9999999
巨老縣	Geono	128.6890864	34.89930918	0.1	2	1721424	1997930
鵞州縣	Aju	128.6890864	34.89930918	0.1	2	1997931	9999999
買珍伊縣	Maejini	128.6012824	34.83394671	0.1	2	1721424	1997930
溟珍縣	Myeongjin	128.6012824	34.83394671	0.1	2	1997931	9999999
松邊縣	Songbyeon	128.6159164	34.73590301	0.1	2	1721424	1997930
南垂縣	Namsu	128.6159164	34.73590301	0.1	2	1997931	2064499
松邊縣	Songbyeon	128.6159164	34.73590301	0.1	2	2064500	9999999
闕支部	Gwoljibu	127.9544597	35.29381834	0.1	4	1721424	1997930
闕城郡	Gwolseong	127.9544597	35.29381834	0.1	4	1997931	2064499
江城縣	Gangseong	127.9544597	35.29381834	0.1	4	2064500	9999999
薩川縣	Salcheon	127.8081198	35.29848709	0.1	2	1721424	9999999
赤村縣	Jeokchon	127.9983617	35.37318705	0.1	2	1721424	1997930
丹邑縣	Daneup	127.9983617	35.37318705	0.1	2	1997931	2064499
丹溪縣	Dangyegog	127.9983617	35.37318705	0.1	2	2064500	9999999
知品川縣	Jipumcheon	127.8608021	35.41987452	0.1	2	1721424	1997930
山陰縣	Saneum	127.8608021	35.41987452	0.1	2	1997931	9999999
速含郡	Sokham	127.7203158	35.52492134	0.1	4	1721424	1997930
天嶺郡	Cheonryeong	127.7203158	35.52492134	0.1	4	1997931	2064499
咸陽郡	Hamyang	127.7203158	35.52492134	0.1	4	2064500	9999999
母山縣(阿英城)	Mosan	127.512513	35.43154639	0.1	2	1721424	1997930
雲峯縣	Unbong	127.512513	35.43154639	0.1	2	1997931	9999999
馬利縣	Mari	127.7993394	35.62763379	0.1	2	1721424	1997930
利安縣	Rian	127.7993394	35.62763379	0.1	2	1997931	9999999
居烈郡(居噸郡)	Georyeol	127.8900701	35.68365876	0.1	4	1721424	1997930
居昌郡	Geochang	127.8900701	35.68365876	0.1	4	1997931	9999999
南內縣	Namnae	127.790559	35.77703371	0.1	2	1721424	1997930
餘善縣	Yeoseon	127.790559	35.77703371	0.1	2	1997931	2064499
感陰縣	Gameum	127.790559	35.77703371	0.1	2	2064500	9999999
加召縣	Gaso	127.9837277	35.71633999	0.1	2	1721424	1997930
咸陰縣	Hameum	127.9837277	35.71633999	0.1	2	1997931	2064499
加召縣	Gaso	127.9837277	35.71633999	0.1	2	2064500	9999999
大加耶國	Daegaya	128.2529933	35.72100874	0.1	4	1721424	1997930
高靈郡	Goryeong	128.2529933	35.72100874	0.1	4	1997931	9999999
赤火縣	Jeokhwa	128.0744585	35.73734935	0.1	2	1721424	1997930
冶爐縣	Yano	128.0744585	35.73734935	0.1	2	1997931	9999999
加尸兮縣	Gasihye	128.3437241	35.67432126	0.1	2	1721424	1997930
新復縣	Sinbok	128.3437241	35.67432126	0.1	2	1997931	9999999
大良州郡	Daeryangju	128.1359213	35.56694007	0.1	4	1721424	1997930
江陽郡	Gangyang	128.1359213	35.56694007	0.1	4	1997931	2064499
陜州	Hap	128.1359213	35.56694007	0.1	4	2064500	9999999
三支縣(麻杖縣)	Samji	127.9749473	35.52725571	0.1	2	1721424	1997930
三岐縣	Samgi	127.9749473	35.52725571	0.1	2	1997931	9999999
草八兮縣	Chopalhye	128.2559201	35.54359633	0.1	2	1721424	1997930
八谿縣	Palgye	128.2559201	35.54359633	0.1	2	1997931	2064499
草谿縣	Chogye	128.2559201	35.54359633	0.1	2	2064500	9999999
辛洸縣(朱烏縣)	Singwang	128.2676273	35.46889637	0.1	2	1721424	1997930
宜桑縣	Uisang	128.2676273	35.46889637	0.1	2	1997931	2064499
新繁縣	Sinbeon	128.2676273	35.46889637	0.1	2	2064500	9999999
一利縣(里山郡)	Ilri	128.3407973	35.81204931	0.1	4	1721424	1997930
星山郡	Seongsan	128.3407973	35.81204931	0.1	4	1997931	2064499
加利縣	Gari	128.3407973	35.81204931	0.1	4	2064500	9999999
斯同火縣	Sadonghwa	128.4051868	36.1248554	0.1	2	1721424	1997930
壽同縣	Sudong	128.4051868	36.1248554	0.1	2	1997931	9999999
大木縣	Daemok	128.3993332	36.03381482	0.1	2	1721424	1997930
谿子縣	Gyeja	128.3993332	36.03381482	0.1	2	1997931	2064499
若木縣	Yamok	128.3993332	36.03381482	0.1	2	2064500	9999999
本彼縣	Bonpi	128.2676273	35.93577112	0.1	2	1721424	1997930
新安縣	Sinan	128.2676273	35.93577112	0.1	2	1997931	2064499
京山府	Gyeongsan	128.2676273	35.93577112	0.1	2	2064500	9999999
狄山縣	Jeoksan	128.1681161	35.89608677	0.1	2	1721424	1997930
都山縣	Dosan	128.1681161	35.89608677	0.1	2	1997931	9999999
漢山郡	Hansan	127.0939807	37.49513279	0.1	16	1721424	1923222
新州	Sin	127.0939807	37.49513279	0.1	24	1923223	1972166
漢山州	Hansan	127.0939807	37.49513279	0.1	24	1972167	1997733
漢州	Han	127.0939807	37.49513279	0.1	24	1997734	2064499
廣州	Gwang	127.0939807	37.49513279	0.1	24	2064500	9999999
南川縣	Namcheon	127.4159286	37.27103291	0.1	2	1721424	1997930
黃武縣	Hwangmu	127.4159286	37.27103291	0.1	2	1997931	2064499
利川郡	Richeon	127.4159286	37.27103291	0.1	2	2064500	9999999
駒城郡	Guseong	127.1027611	37.29904539	0.1	2	1721424	1997930
巨黍縣	Geoseo	127.1027611	37.29904539	0.1	2	1997931	2064499
龍駒縣	Ryonggu	127.1027611	37.29904539	0.1	2	2064500	9999999
國原城	Wonseong	127.9105577	36.95589245	0.1	5	1721424	1997930
中原京	Jungwongyeong	127.9105577	36.95589245	0.1	5	1997931	2064499
忠州	Chung	127.9105577	36.95589245	0.1	5	2064500	9999999
鰹斤內郡	Gyeongeunnae	127.7642178	36.79948941	0.1	4	1721424	1997930
檗壤郡	Byeokyang	127.7642178	36.79948941	0.1	4	1997931	2064499
檗州	Byeok	127.7642178	36.79948941	0.1	4	2064500	9999999
上芼縣	Sangmo	127.9720205	36.7644738	0.1	2	1721424	9999999
長風縣	Jangpung	127.8578754	36.79015191	0.1	2	1721424	9999999
淸淵縣	Cheongyeon	127.6032438	36.77848005	0.1	2	1721424	9999999
述川郡	Sulcheon	127.4949522	37.37141098	0.1	4	1721424	1997930
泝川郡(沂川郡)	Socheon(Gicheon)	127.4949522	37.37141098	0.1	4	1997931	2064499
川寧郡	Cheonnyeong	127.4949522	37.37141098	0.1	4	2064500	9999999
骨乃斤縣	Golnaegeun	127.6061706	37.27570165	0.1	2	1721424	1997930
黃驍縣	Hwanghyo	127.6061706	37.27570165	0.1	2	1997931	9999999
