key	longitude	latitude
NRCT551	140.559235	36.166637
NRCT552	140.574371	36.159828
NRCT553	140.52739	36.148151
NRCT554	140.52739	36.148151
NRCT555	140.738937	41.797916
NRCT556	141.489792	40.508072
NRCT557	140.526581	36.136868
NRCT558	140.457947	36.177132
NRCT559	140.467926	36.158497
NRCT560	140.487213	36.147148
NRCT561	140.505753	36.137329
NRCT562	140.517151	36.126717
NRCT563	140.465607	36.135639
NRCT564	140.582932	36.136204
NRCT565	140.561584	36.133423
NRCT566	140.541901	36.128773
NRCT567	141.487625	40.506935
NRCT568	140.586578	36.121391
NRCT569	140.534195	36.11013
NRCT570	140.563004	36.093876
NRCT571	140.539017	36.096394
NRCT572	140.589355	36.087334
NRCT573	140.547836	36.083214
NRCT574	140.565796	36.079021
NRCT575	140.551804	36.072491
NRCT576	140.564316	36.069317
NRCT577	140.605942	36.073643
NRCT578	141.491425	40.5079
NRCT579	140.605942	36.073643
NRCT580	140.585419	36.067535
NRCT581	140.607437	36.063358
NRCT582	140.610779	36.057911
NRCT583	140.616608	36.052456
NRCT584	140.62117	36.044506
NRCT585	140.580322	36.049091
NRCT586	140.601166	36.038673
NRCT587	140.601166	36.038673
NRCT588	140.601166	36.038673
NRCT589	141.491882	40.507114
NRCT590	140.601166	36.038673
NRCT591	140.58287	36.04134
NRCT592	140.602112	36.027302
NRCT593	140.625839	36.032921
NRCT594	140.632004	36.021164
NRCT595	140.632034	36.010639
NRCT596	140.616333	36.014862
NRCT597	140.594711	36.01685
NRCT598	140.591843	36.008774
NRCT599	140.641174	36.005356
NRCT600	141.493546	40.505295
NRCT601	140.649292	35.995953
NRCT602	140.65715	35.988869
NRCT603	140.661102	35.979912
NRCT604	140.64299	35.989033
NRCT605	140.623642	35.995186
NRCT606	140.614014	35.999798
NRCT607	140.601974	35.99921
NRCT608	140.632416	35.98859
NRCT609	140.622345	35.983845
NRCT610	140.610138	35.985733
NRCT611	141.487871	40.513841
NRCT612	140.640121	35.974564
NRCT613	140.627594	35.945232
NRCT614	140.6035	35.976658
NRCT615	140.617294	35.957443
NRCT616	140.669296	35.964485
NRCT617	140.653519	35.958584
NRCT618	140.654297	35.947193
NRCT619	140.647339	35.945225
NRCT620	140.640518	35.950253
NRCT621	140.636398	35.946644
NRCT622	141.493137	40.516008
NRCT623	140.639633	35.938332
NRCT624	140.684479	35.941673
NRCT625	140.654602	35.933128
NRCT626	140.642853	35.933159
NRCT627	140.6521	35.924156
NRCT628	140.646103	35.91695
NRCT629	140.635056	35.910645
NRCT630	140.622192	35.917599
NRCT631	140.62886	35.90506
NRCT632	140.617935	35.901192
NRCT633	141.492484	40.528651
NRCT634	140.6259	35.881714
NRCT635	140.709	35.899384
NRCT636	140.664078	35.881531
NRCT637	140.657349	35.890221
NRCT638	140.650497	35.878311
NRCT639	140.685074	35.872711
NRCT640	140.690033	35.857101
NRCT641	140.667709	35.860199
NRCT642	140.656784	35.866013
NRCT643	140.649673	35.863785
NRCT644	141.511665	40.520982
NRCT645	140.640976	35.86821
NRCT646	140.743225	35.861172
NRCT647	140.750443	35.828671
NRCT648	140.728699	35.827972
NRCT649	140.736862	35.801983
NRCT650	140.817965	35.754359
NRCT651	140.500412	36.122906
NRCT652	140.518295	36.11013
NRCT653	140.518295	36.11013
NRCT654	140.518295	36.11013
NRCT655	141.510086	40.509107
NRCT656	140.512894	36.103115
NRCT657	140.50531	36.099739
NRCT658	140.495651	36.105976
NRCT659	140.487686	36.109257
NRCT660	140.465378	36.112343
NRCT661	140.517548	36.082626
NRCT662	140.506088	36.060986
NRCT663	140.522919	36.06094
NRCT664	140.539734	36.059494
NRCT665	140.500473	36.077431
NRCT666	140.746063	41.797829
NRCT667	141.482371	40.498658
NRCT668	140.494202	36.06374
NRCT669	140.481476	36.074577
NRCT670	140.465042	36.085968
NRCT671	140.4384	36.145626
NRCT672	140.4384	36.145626
NRCT673	140.413345	36.132812
NRCT674	140.428406	36.124733
NRCT675	140.408401	36.116035
NRCT676	140.374512	36.149971
NRCT677	140.390686	36.144356
NRCT678	141.501465	40.493099
NRCT679	140.395447	36.129555
NRCT680	140.40239	36.113712
NRCT681	140.426605	36.110926
NRCT682	140.433228	36.107803
NRCT683	140.433228	36.107803
NRCT684	140.434464	36.086613
NRCT685	140.437881	36.074188
NRCT686	140.437881	36.074188
NRCT687	140.440811	36.06625
NRCT688	140.4505	36.0597
NRCT689	141.505432	40.493912
NRCT690	140.440079	36.052944
NRCT691	140.545883	36.049099
NRCT692	140.527939	36.051266
NRCT693	140.545334	36.04295
NRCT694	140.528351	36.043407
NRCT695	140.520981	36.042282
NRCT696	140.512573	36.045162
NRCT697	140.502136	36.040909
NRCT698	140.529099	36.033531
NRCT699	140.514404	36.028023
NRCT700	141.501663	40.483101
NRCT701	140.54985	36.030281
NRCT702	140.531921	36.026608
NRCT703	140.548035	36.017807
NRCT704	140.528122	36.020859
NRCT705	140.517639	36.013931
NRCT706	140.517639	36.013931
NRCT707	140.534927	36.003281
NRCT708	140.460754	36.052067
NRCT709	140.451797	36.046131
NRCT710	140.444031	36.047749
NRCT711	141.619247	40.47765
NRCT712	140.465637	36.04213
NRCT713	140.481659	36.043747
NRCT714	140.490128	36.032631
NRCT715	140.45874	36.02343
NRCT716	140.472946	36.022015
NRCT717	140.480438	36.013699
NRCT718	140.490814	36.001427
NRCT719	140.496552	35.986244
NRCT720	140.506927	35.98877
NRCT721	140.519547	35.992195
NRCT722	141.555112	40.511348
NRCT723	140.529449	35.988056
NRCT724	140.523697	35.973026
NRCT725	140.510117	35.968929
NRCT726	140.516174	35.96125
NRCT727	140.537766	35.976822
NRCT728	140.537766	35.976822
NRCT729	140.532654	35.95311
NRCT730	140.563431	35.992645
NRCT731	140.551163	35.991199
NRCT732	140.545731	35.998081
NRCT733	141.589569	40.515266
NRCT734	140.575714	35.98193
NRCT735	140.591843	35.941391
NRCT736	140.591843	35.941391
NRCT737	140.591843	35.941391
NRCT738	140.558975	35.970592
NRCT739	140.553299	35.956169
NRCT740	140.580688	35.924648
NRCT741	140.580688	35.924648
NRCT742	140.573883	35.943897
NRCT743	140.326736	36.180408
NRCT744	141.552818	40.518399
NRCT745	140.34761	36.170551
NRCT746	140.335083	36.166321
NRCT747	140.316849	36.161469
NRCT748	140.342896	36.151165
NRCT749	140.351913	36.158215
NRCT750	140.352478	36.114883
NRCT751	140.372009	36.10503
NRCT752	140.359375	36.098629
NRCT753	140.344147	36.103195
NRCT754	140.294724	36.119965
NRCT755	141.531983	40.523477
NRCT756	140.33075	36.107147
NRCT757	140.32399	36.103561
NRCT758	140.377823	36.085114
NRCT759	140.363617	36.078297
NRCT760	140.344604	36.081409
NRCT761	140.339859	36.085255
NRCT762	140.331619	36.087559
NRCT763	140.327621	36.093906
NRCT764	140.309433	36.101055
NRCT765	140.299316	36.108227
NRCT766	141.574783	40.490923
NRCT767	140.288956	36.108856
NRCT768	140.306915	36.091076
NRCT769	140.357803	36.064587
NRCT770	140.329575	36.073601
NRCT771	140.295654	36.07613
NRCT772	140.269241	36.082348
NRCT773	140.246384	36.271858
NRCT774	140.279861	36.261192
NRCT775	140.253098	36.25473
NRCT776	140.265152	36.249207
NRCT777	140.745544	41.793392
NRCT778	141.537155	40.465694
NRCT779	140.230362	36.259895
NRCT780	140.197296	36.28125
NRCT781	140.221725	36.277725
NRCT782	140.225708	36.26685
NRCT783	140.19368	36.274021
NRCT784	140.207901	36.259422
NRCT785	140.200348	36.261929
NRCT786	140.168396	36.30864
NRCT787	140.197281	36.307327
NRCT788	140.210938	36.30196
NRCT789	141.545944	40.482586
NRCT790	140.192413	36.289627
NRCT791	140.167679	36.291706
NRCT792	140.162476	36.280918
NRCT793	140.167938	36.273998
NRCT794	140.181976	36.26791
NRCT795	140.170151	36.263988
NRCT796	140.149796	36.259125
NRCT797	140.175385	36.240303
NRCT798	140.153076	36.237835
NRCT799	140.191849	36.243397
NRCT800	141.513214	40.477757
NRCT801	140.191849	36.243397
NRCT802	140.198532	36.229702
NRCT803	140.197006	36.219517
NRCT804	140.228302	36.252186
NRCT805	140.213409	36.252136
NRCT806	140.208832	36.244846
NRCT807	140.20993	36.236805
NRCT808	140.230438	36.236107
NRCT809	140.223801	36.216137
NRCT810	140.196732	36.209026
NRCT811	141.535482	40.497175
NRCT812	140.206406	36.196465
NRCT813	140.182648	36.202602
NRCT814	140.188644	36.188568
NRCT815	140.173111	36.19809
NRCT816	140.173111	36.19809
NRCT817	140.175018	36.184292
NRCT818	140.169907	36.189644
NRCT819	140.164154	36.187172
NRCT820	140.155701	36.185806
NRCT821	140.140945	36.18404
NRCT822	141.523163	40.514507
NRCT823	140.176498	36.222794
NRCT824	140.138641	36.216171
NRCT825	140.160034	36.215435
NRCT826	140.184189	36.213718
NRCT827	140.16835	36.206982
NRCT828	140.153687	36.203812
NRCT829	140.221893	36.202
NRCT830	140.235535	36.200729
NRCT831	140.216339	36.187702
NRCT832	140.233932	36.188412
NRCT833	141.498873	40.464553
NRCT834	140.242416	36.179451
NRCT835	140.221954	36.179264
NRCT836	140.231873	36.171158
NRCT837	140.222107	36.169552
NRCT838	140.270538	36.168293
NRCT839	140.261169	36.177296
NRCT840	140.248703	36.162865
NRCT841	140.235718	36.154228
NRCT842	140.23407	36.164017
NRCT843	140.256302	36.146839
NRCT844	141.410004	40.477283
NRCT845	140.188004	36.171249
NRCT846	140.204407	36.157547
NRCT847	140.208511	36.171814
NRCT848	140.211624	36.155518
NRCT849	140.22374	36.151447
NRCT850	140.211273	36.134167
NRCT851	140.237976	36.142078
NRCT852	140.18808	36.150814
NRCT853	140.176819	36.15332
NRCT854	140.166367	36.153488
NRCT855	141.433426	40.476593
NRCT856	140.164124	36.165787
NRCT857	140.144089	36.16338
NRCT858	140.14621	36.147842
NRCT859	140.157791	36.146671
NRCT860	140.143936	36.137276
NRCT861	140.131271	36.128571
NRCT862	140.140442	36.12484
NRCT863	140.141724	36.116299
NRCT864	140.155579	36.127819
NRCT865	140.169724	36.130604
NRCT866	141.435822	40.489784
NRCT867	140.164352	36.113594
NRCT868	140.170761	36.108482
NRCT869	140.100838	36.11949
NRCT870	140.124313	36.119686
NRCT871	140.12912	36.112812
NRCT872	140.136398	36.109219
NRCT873	140.143295	36.108555
