id	name	ja-JP	region	min_pop_placed_per_cell	max_pop_placed_per_cell	init_pop	immigrant	increased_immigration	mtdna_region	ydna_region	language_region	pop_ad725	directions	direction_min_distance	language	hunter_gatherer	farming	snp	agricultural_capable	current_costs	pottery_lineage_initial
60	hitachi	常陸	13	4	20	0	0	0	kanto_jomon	jomon	hitachi	168000	4/10/2/2/2/2/2/2	160	0	255	0	0	1	0.35/0.6/5/4/5/1.2/0.6/0.35	A
61	omi	近江	7	4	20	150	0	0	kinki_jomon	jomon	omi	102100	2/2/2/2/4/4/10/2	160	0	255	0	0	1	1/1/1/1/1/1/1/1	C
62	mino	美濃	9	4	20	1360	0	0	chubu_jomon	jomon	mino	143900	4/10/2/2/4/10/2/2	160	0	255	0	0	1	1/1/1/1/1/1/1/1	A
63	hida	飛騨	10	4	20	1360	0	0	chubu_jomon	jomon	hida	14300	4/4/2/2/2/2/2/4	160	0	255	0	0	1	1/1/1/1/1/1/1/1	A
64	shinano	信濃	10	4	20	0	0	0	chubu_jomon	jomon	shinano	73600	1/1/1/1/1/1/1/1	160	0	255	0	0	1	1/1/1/1/1/1/1/1	A
65	kozuke	上野	13	4	20	0	0	0	kanto_jomon	jomon	kozuke	112000	4/4/1/1/2/2/2/4	160	0	255	0	0	1	1/1/1/1/1/1/1/1	A
66	shimotsuke	下野	13	4	20	0	0	0	kanto_jomon	jomon	shimotsuke	76900	4/4/2/2/2/4/2/4	160	0	255	0	0	1	1/1/1/1/1/1/1/1	A
67	fukushima	福島	15	4	20	0	0	0	tohoku_jomon	jomon	fukushima	206500	2/2/4/4/10/2/2/4	160	2	255	0	0	1	5.5/4/0.35/0.35/0.6/4/5.5/5.5	A
68	yamagata	山形	14	4	20	0	0	0	tohoku_jomon	jomon	yamagata	78000	2/2/2/2/10/4/4/2	160	2	255	0	0	1	0.6/1.2/3.5/4/5/1.2/0.6/0.35	A
69	akita	秋田	15	4	20	0	0	0	tohoku_jomon	jomon	akita	0	1/1/1/1/10/1/1/1	160	2	255	0	0	1	0.6/1.2/3.5/4/5/1.2/0.6/0.35	A
70	miyagi	宮城	16	4	20	0	0	0	hokkaido_jomon	jomon	miyagi	0	1/1/1/1/10/1/1/1	160	2	255	0	0	1	5.5/4/0.35/0.35/0.6/4/5.5/5.5	A
