ja-JP	latitude	longitude	overall_length	first_julian_day	last_julian_day	texture	texture
西裏田古墳	35.4232337	136.9263243	212	99999999	99999999	IeSekkan	IeSekkan
日吉垣の内古墳	35.50171868	133.0708496	211	1925596	1947510	IeSekkanRedPurple	IeSekkan
（北川）	32.56561511	130.7040716	210	1874462	1881767	FunaSekkanRed	FunaSekkan
（御祖神社）	32.98824562	131.3290997	210	1859852	1874462	FunaSekkanRed	FunaSekkan
玉造築山古墳	35.41409992	133.0115061	210	1881767	1910986	FunaSekkanYellow	FunaSekkan
野神古墳	34.668318	135.819336	210	99999999	99999999	FunaSekkanRed	FunaSekkan
大念寺古墳	35.363074	132.764564	210	1925596	1947510	IeSekkan	IeSekkan
論田2号横穴墓	35.45727911	133.0694924	210	1947510	1962120	IeSekkanYellow	IeSekkan
穴神１号墳横穴墓	35.40415088	133.3131051	210	1937649	1951893	IeSekkanRedPurple	IeSekkan
（南方神社）	34.3987583	132.9666996	210	99999999	99999999	IeSekkanBrown	IeSekkan
王墓山古墳	34.64980875	133.8279163	210	1925596	1947510	IeSekkan	IeSekkan
二見谷4号墳	35.58732352	134.7983183	210	1925596	1947510	IeSekkan	IeSekkan
御輿塚古墳	34.86928325	134.6963413	210	99999999	99999999	IeSekkanBrown	IeSekkan
姫路城天守の庭	34.83954146	134.693902	210	99999999	99999999	IeSekkanBrown	IeSekkan
六ツ塚河原城	34.54827676	135.5769186	210	99999999	99999999	IeSekkan	IeSekkan
奉献塔山2号墳	34.53439971	135.6413163	210	1925596	1947510	IeSekkanYellowGreen	IeSekkan
駿河丸山古墳	34.95777477	138.4341951	210	1925596	1947510	IeSekkanBlue	IeSekkan
庚申塚古墳	36.342406	139.383111	210	1925596	1947510	IeSekkan	IeSekkan
（小山谷）	36.05403467	136.1993861	209	99999999	99999999	FunaSekkanLightBlue	FunaSekkan
持松	32.96213536	130.684638	209	1859852	1874462	IeSekkanRed	IeSekkan
福西13号墳	34.96698174	135.6798961	209	1937649	1951893	IeSekkanBrown	IeSekkan
（善勝寺）	34.99872021	136.0219382	209	99999999	99999999	IeSekkan	IeSekkan
カロウト山古墳	36.37940231	139.0835331	209	99999999	99999999	IeSekkan	IeSekkan
吉野6号墳	32.56722213	131.6171527	208	99999999	99999999	IeSekkan	IeSekkan
二名留2号墳	35.4373209	133.0442649	208	1896376	1910986	IeSekkanYellow	IeSekkan
矢田Ⅰ群3号横穴墓	35.38683458	133.212311	208	1925596	1947510	IeSekkanRedPurple	IeSekkan
高広Ⅳ区１号横穴墓	35.42609816	133.269639	208	1925596	1947510	IeSekkanRedPurple	IeSekkan
（照円寺）	34.86316999	134.5180989	208	99999999	99999999	IeSekkanBrown	IeSekkan
姫路城天守の庭	34.83954146	134.693902	208	99999999	99999999	IeSekkanBrown	IeSekkan
村東山古墳	35.07527418	134.9157063	208	1916099	1927787	IeSekkanBrown	IeSekkan
大久保2号墳	32.95961468	131.4501027	207	1874462	1896376	FunaSekkanRed	FunaSekkan
福西古墳群	34.96698174	135.6798961	207	99999999	99999999	IeSekkan	IeSekkan
平原古墳	32.55132891	131.6740646	206	1874462	1881767	FunaSekkanRed	FunaSekkan
西谷山2号墳	36.04156091	136.2019903	206	1874462	1881767	FunaSekkanLightBlue	FunaSekkan
持松	32.96213536	130.684638	206	99999999	99999999	IeSekkanRed	IeSekkan
元鷺の湯病院跡横穴墓	35.38705695	133.1971053	206	1925596	1947510	IeSekkanRedPurple	IeSekkan
新井2号墳	35.44633475	134.3204819	205	1925596	1951893	IeSekkan	IeSekkan
（正連寺）	34.79157617	134.7969884	205	99999999	99999999	IeSekkanBrown	IeSekkan
