ja-JP	latitude	longitude	first_julian_day	last_julian_day	texture	overall_length
北谷西古墳	34.53571186	135.9664949	1922309	1940206	ZKoenFun	70
晒山10号墳(背見山)	34.26408018	135.17496	1910986	1921578	ZKoenFun	70
禁裡塚古墳	35.39786238	134.7995834	1925596	1936188	Enpun	68
牧正一古墳第1石室	35.33770739	135.0986063	1925596	1936188	ZKoenFun	68
牧正一古墳第2石室	35.33770739	135.0986063	1925596	1936188	ZKoenFun	68
寛弘寺古墳群45号墳	34.48845094	135.6184264	1936553	1958102	Enpun	66
井辺1号墳	34.222389	135.221417	1936553	1947145	Hofun	66
赤塚古墳	35.15002263	136.2380819	1922309	1940206	Enpun	64
小八木塚本古墳	35.15216916	136.2575376	1933266	1940206	Enpun	64
花山33号墳	34.23867952	135.2212209	1903681	1910621	ZKoenFun	64
七ノ坪古墳	34.69375	135.50211	1892724	1903316	ZKoenFun	62
塚山古墳	35.3981326	134.8042679	1936553	1947145	Enpun	60
西の岡古墳	35.39803831	134.7964432	1936553	1947145	Enpun	60
舞子東石ヶ谷2号墳	34.69017	135.19544	1925596	1936188	ZKoenFun	60
開山塚古墳	34.62018232	135.6474915	1925596	1936188	Enpun	60
五条古墳	34.66525783	135.6498386	1925596	1947145	Hofun	60
芝山古墳	34.68751756	135.6551936	1903681	1910621	ZKoenFun	60
小口山古墳	34.55191323	135.5947055	1936553	1976365	Enpun	60
葉室石塚古墳	34.51102081	135.6427463	1936553	1958102	Enpun	60
一須賀古墳群WA1号墳	34.50176472	135.6438379	1925596	1936188	Enpun	60
白雉塚古墳	34.81436	135.65064	1925596	1936188	Enpun	60
聖神社1号墳	34.50090634	135.4459794	1925596	1936188	Enpun	60
白峠山古墳	34.32423675	135.1644282	1936553	1947145	Enpun	60
小谷古墳	34.474731	135.784867	1940571	1976730	Enpun	60
中尾山古墳	34.46430556	135.8060476	1977095	2013254		60
束明神古墳	34.45573356	135.7863283	1958833	1976730		60
ヲギタ1号墳	34.46302831	135.7790352	1940571	1958468	Enpun	60
南阿田大塚山古墳	34.37085233	135.7555105	1910986	1921578	ZKoenFun	60
熊ヶ谷1号墳(桐畑古墳)	35.04541689	135.8527227	1904046	1921943	Enpun	60
甲山古墳	35.07474627	136.0403072	1910986	1921578	Enpun	60
冑山1号墳	34.83821514	135.7994906	1903681	1910621	ZKoenFun	60
隼上り2号墳	34.90463286	135.8086633	1925596	1936188	Enpun	60
御堂ヶ池1号墳	35.03477151	135.694801	1925596	1936188	Enpun	60
妙見山1号墳	35.45538296	135.3984722	1925596	1936188	Enpun	60
楯縫古墳	35.46545049	134.7968953	1925596	1936188	Enpun	56
コウモリ塚古墳	35.39776063	134.8041818	1947510	1965407	Hofun	56
緑ヶ丘2号墳	34.82128717	134.4538456	1914639	1925231	Enpun	56
山畑古墳群2号墳	34.66104752	135.6528958	1925596	1947145		56
都塚古墳	34.46374306	135.8276412	1947510	1965407	Hofun	56
大岩4号墳	34.41926528	135.7653289	1922309	1940206	Enpun	56
高塚1号墳	35.12319474	136.2279488	1933266	1964312	Enpun	56
円山古墳	35.07421117	136.0412229	1903681	1910621	Enpun	56
万久里マシバ4号墳	35.3837	134.6747	1936553	1947145	Enpun	54
上野ヶ原古墳主体部1	34.88997	135.22544	1925596	1936188	ZKoenFun	54
上野ヶ原古墳主体部2	34.88997	135.22544	1936553	1947145	ZKoenFun	54
御嶺山古墳	34.52661009	135.6327359	1936553	1976365	Enpun	54
上狛天竺堂1号墳	34.75388303	135.823721	1892724	1903316	ZKoenFun	54
大覚寺2号墳	35.02551652	135.6801626	1936553	1947145	Hofun	54
山東22号墳	34.2	135.1939	1925596	1936188	Enpun	54
はっちょう塚07号墳	34.89643787	134.5370994	1954815	1965407	Hofun	52
平野大県古墳群20-3号墳	34.59241348	135.6387577	1936553	1947145	Enpun	52
三日市古墳群13号墳	34.43157229	135.5759717	1936553	1947145	Enpun	52
トノヲク1号墳	34.46748246	135.9743155	1925596	1936188	ZKoenFun	52
平野1号墳(車塚古墳)	34.56711226	135.6947347	1940571	1958468	Enpun	52
平野2号墳	34.56770419	135.6975778	1952624	1964312	Enpun	52
首子4号墳	34.51898219	135.6988501	1940571	1958468	Hofun	52
大岡高塚古墳	35.22292592	136.3038584	1922309	1947510	Enpun	52
那波野古墳	34.80358	134.46811	1936553	1958102	Enpun	50
池尻08号墳	34.79867179	134.8502404	1936553	1947145	Enpun	50
東山01号墳	35.07544319	134.9170058	1936553	1947145	Enpun	50
東山15号墳	35.07544319	134.9170058	1963946	1969060	Enpun	50
仁川旭ヶ丘1号墳	34.8	135.36031	1936553	1947145	Enpun	50
一須賀古墳群Ｂ5(9)号墳	34.50176472	135.6438379	1925596	1936188	Hofun	50
一須賀古墳群Ｄ4号墳	34.50176472	135.6438379	1936553	1947145	Enpun	50
梶原D-1号墳	34.846	135.61725	1925596	1936188	Enpun	50
将軍塚古墳	34.84444853	135.5578331	1910986	1921578	Enpun	50
新沢509号墳	34.47191053	135.7659382	1933266	1940206	Hofun	50
ヲギタ2号墳	34.46302831	135.7790352	1936553	1947145	Enpun	50
北今市1号墳	34.54915961	135.7005378	1922309	1940206	Enpun	50
芝塚2号墳	34.50264209	135.6952246	1903681	1910621	Enpun	50
笛吹46号墳(笛吹神社古墳)	34.47204018	135.7025878	1922309	1940206	Enpun	50
巨勢山708号墳(新宮山古墳)	34.43576908	135.750375	1922309	1940206	Enpun	50
西山1号墳	34.59070881	135.8448206	1936553	1947145	Enpun	50
西山2号墳	34.59070881	135.8448206	1936553	1947145	Enpun	50
醍醐1号墳	34.96341041	135.822859	1933266	1940206	Enpun	50
正知浦2号墳	34.85569	136.45161	1914639	1925231	Enpun	50
寺山15号墳北石室	34.25243524	135.2921344	1936553	1947145	Hofun	50
大谷6号墳	34.22491294	135.2203994	1892724	1903316	ZKoenFun	50
園部円山古墳	34.27027866	135.1920574	1925596	1936188	Enpun	50
高安古墳群80号墳	34.62228208	135.6473763	1925596	1947145	Enpun	48
寛弘寺古墳群18号墳	34.48845094	135.6184264	1925596	1936188	Enpun	48
巨勢山421号墳	34.43747538	135.7261644	1936553	1947145	Enpun	48
越部1号墳	34.39240906	135.8059935	1925596	1936188	Enpun	48
山際1号墳	34.78480971	135.816921	1903681	1910621	Enpun	48
君ヶ口古墳	34.71844	136.50578	1903681	1910621	HotateFun	48
和坂南垣内1号墳	34.23461544	135.2484364	1925596	1936188	Enpun	48
観音塚古墳	35.3765	134.81633	1892724	1903316	Enpun	46
入野大谷2号墳	34.80358	134.46811	1925596	1936188	Enpun	46
塚山第1-6号墳	34.75	134.39	1936553	1947145	Enpun	46
安堂古墳群6-3号墳	34.57928	135.62861	1963946	1969060	Enpun	46
妙見寺境内3号墳	34.62692	135.60083	1910986	1921578	Enpun	46
河内愛宕塚古墳	34.62692	135.60083	1925596	1936188	Enpun	46
耳原古墳	34.81636	135.56858	1936553	1947145	Enpun	46
真弓鑵子塚古墳	34.46134367	135.790388	1922309	1940206	Enpun	46
石神古墳	34.41931071	135.7654079	1947510	1965407	Enpun	46
剣上塚古墳	34.62371587	135.6965584	1885784	1903681	Enpun	46
大通寺C-1号墳	35.04506792	135.8571949	1903681	1921578	Enpun	46
福西4号墳	34.96723443	135.6792737	1922309	1940206	Enpun	46
医王谷1号墳	35.00311141	135.5691096	1933266	1940206	Enpun	46
長者森1号墳	35.34252328	134.9322131	1922309	1940206	Enpun	46
久米山44号墳	34.76883	136.12992	1925596	1936188	Enpun	46
東山12号墳	35.07544319	134.9170058	1936553	1958102	Enpun	44
入角113号墳	35.05031	134.92336	1936553	1947145	Enpun	44
高井田山古墳	34.57928	135.62861	1889072	1899664	Enpun	44
高安古墳群105号墳	34.62228208	135.6473763	1936553	1947145	Enpun	44
大石古墳	34.62692	135.60083	1936553	1947145	Enpun	44
藤の森古墳	34.55792	135.60631	1879575	1891263	Enpun	44
一須賀古墳群WA12号墳	34.50176472	135.6438379	1925596	1936188	Enpun	44
寝屋古墳	34.76608	135.62808	1922309	1940206	Enpun	44
楢崎69号墳	35.19469713	136.2914201	1936553	1947145	Enpun	44
堀切1号墳	34.81968094	135.7545741	1936553	1947145	Enpun	44
天満1号墳	34.06116639	135.2035436	1936553	1947145	Enpun	44
安堂古墳群5-16号墳	34.57928	135.62861	1936553	1958102	Enpun	42
山畑古墳群22号墳	34.66104752	135.6528958	1925596	1936188		42
一須賀古墳群Q1号墳	34.50199518	135.6438434	1925596	1936188	Enpun	42
下代古墳群6号墳	34.48358	135.42358	1925596	1936188	Enpun	42
沼山古墳	34.47132881	135.7909653	1925596	1936188	Enpun	42
塚穴1号墳	34.7362217	135.8631045	1922309	1940206	Hofun	42
堀切11号墳	34.81968094	135.7545741	1940571	1958468	Enpun	42
西谷6号墳	35.31656167	135.1235377	1936553	1947145	Enpun	42
丸尾山1号墳	34.62758	136.10839	1903681	1910621	Enpun	42
大名塚1号墳	34.75956	136.44697	1925596	1936188	Enpun	42
ケゴヤ古墳	35.62589	134.80742	1936553	1947145	Enpun	40
二見谷1号墳	35.62589	134.80742	1925596	1936188	Enpun	40
スクモ塚1号墳	35.62589	134.80742	1936553	1947145	Enpun	40
米里7号墳	35.40464	134.76767	1892724	1903316	Enpun	40
舞子・毘沙門1号墳	34.69017	135.19544	1903681	1910621	Enpun	40
中井1号墳	34.857847	134.545397	1936553	1947145	Enpun	40
中井2号墳	34.857847	134.545397	1936553	1947145	Enpun	40
池尻06号墳	34.79927088	134.8419148	1936553	1947145	Enpun	40
剣坂古墳	34.92783	134.84189	1903681	1910621	Enpun	40
東山10号墳	35.07544319	134.9170058	1936553	1958102	Enpun	40
東奥1号墳	35.12964	135.07936	1936553	1947145	Enpun	40
見長大歳神社	35.12964	135.07936	1925596	1936188	Enpun	40
八十塚古墳群岩ヶ平支群第03号	34.748918	135.3129574	1936553	1958102	Enpun	40
平野大県古墳群13-9号墳	34.59258811	135.6389079	1910986	1925231	Enpun	40
平野大県古墳群13-10号墳	34.59258811	135.6389079	1925596	1936188	Enpun	40
高安古墳群86号墳	34.62228208	135.6473763	1914639	1936188	Enpun	40
芝塚古墳	34.62692	135.60083	1925596	1936188	Enpun	40
出雲井古墳群8号墳(松本塚)	34.67936	135.60089	1925596	1947145	Enpun	40
大谷古墳群2号墳	34.54610227	135.6321256	1925596	1936188	Enpun	40
鉢伏山西峰古墳	34.55792	135.60631	1954815	1965407	Hofun	40
一須賀古墳群Ａ1号墳	34.50199518	135.6438434	1936553	1947145	Enpun	40
一須賀古墳群Ａ9号墳	34.50199518	135.6438434	1936553	1947145	Enpun	40
一須賀古墳群O4号墳	34.50199518	135.6438434	1925596	1936188	Enpun	40
一須賀古墳群O6号墳	34.50199518	135.6438434	1925596	1936188	Enpun	40
一須賀古墳群WA11号墳	34.50176472	135.6438379	1903681	1910621	Enpun	40
一須賀古墳群WA15号墳	34.50176472	135.6438379	1925596	1936188	Enpun	40
寛弘寺古墳群3号墳	34.48845094	135.6184264	1925596	1936188	Enpun	40
宮谷古墳群1号墳	34.712	135.62342	1922309	1940206	Enpun	40
塚脇12号墳	34.846	135.61725	1936553	1958102	Hofun	40
塚脇F-1号墳	34.846	135.61725	1925596	1936188	Enpun	40
檜尾塚原古墳群6号墳	34.57333	135.483	1936553	1947145	Enpun	40
青松塚古墳	34.81636	135.56858	1910986	1921578	Enpun	40
粟原カタソバ1号墳	34.49877503	135.8786872	1936553	1947145	Enpun	40
櫟山古墳(首子1号墳)第2主体	34.51480767	135.6955997	1925596	1936188	Enpun	40
大通寺C-2号墳	35.04506792	135.8571949	1910986	1925231	Enpun	40
斉頼塚古墳	35.4832558	136.0355217	1910986	1921578	HotateFun	40
楢崎65号墳	35.19469713	136.2914201	1936553	1947145	Enpun	40
オウゴ古墳	35.06730882	136.0983916	1922309	1940206	Hofun	40
天狗前7号墳	35.06749371	136.1553176	1922309	1940206	Enpun	40
前椚2号墳	34.74204095	135.8767868	1936553	1947145	Enpun	40
蓮池3号墳	34.75304579	135.8316316	1922309	1940206	Enpun	40
隼上り1号墳	34.90432392	135.8068251	1925596	1936188	Enpun	40
常盤東ノ町3号墳	35.01924127	135.7099156	1940571	1958468	Enpun	40
塔村1号墳	35.18019045	135.6572852	1940571	1976730	Enpun	40
小金岐1号墳	35.02948107	135.5568011	1936553	1947145	Enpun	40
坊田5号墳	35.10902376	135.5216353	1936553	1947145	Enpun	40
ジンド古墳	35.38564251	135.2490164	1922309	1940206	Enpun	40
高龍塚古墳	35.32803023	135.176236	1928152	1940206	Enpun	40
滝岡田古墳	35.4813162	135.0857999	1936553	1947145	Enpun	40
鼻下り古墳	35.73735827	135.0946172	1936553	1947145	Enpun	40
中村2号墳	34.62758	136.10839	1925596	1936188	Enpun	40
向山2号墳	34.76394	136.21994	1936553	1947145	Hofun	40
辻堂古墳	34.76394	136.21994	1925596	1936188	Enpun	40
横枕2号墳	34.76394	136.21994	1936553	1947145	Enpun	40
井田川茶臼山古墳	34.85569	136.45161	1903681	1910621	Enpun	40
西野5号墳	34.62322	136.47997	1925596	1936188	Enpun	40
八幡塚古墳	34.2552171	135.3386456	1936553	1947145	Enpun	40
鳴滝1号墳	34.26632271	135.1826657	1925596	1936188	Enpun	40
岩内1号墳	33.88868831	135.1741214	1947510	1965407	Hofun	40
祓井戸10号墳	33.84001866	135.1843316	1925596	1936188	Enpun	40
大塚古墳	34.75	134.39	1914639	1925231	Enpun	38
馬立01号墳	34.91858	134.54933	1903681	1910621	Enpun	38
志方町二子塚古墳	34.75692	134.84128	1936553	1947145	Enpun	38
ヤクチ4号墳	34.92783	134.84189	1925596	1936188	Enpun	38
寺内7号墳	34.98292	134.97953	1936553	1947145	Enpun	38
箱塚4号墳	35.09281	135.17375	1914639	1925231	Enpun	38
中野駅北4号墳	34.69017	135.19544	1925596	1936188	Enpun	38
南所3号墳	34.69017	135.19544	1925596	1936188	Enpun	38
高安古墳群87号墳	34.62228208	135.6473763	1925596	1947145	Enpun	38
一須賀古墳群Ｄ12号墳	34.50176472	135.6438379	1910986	1921578	Enpun	38
ハカナベ古墳	34.42563291	135.7130498	1936553	1947145	Hofun	38
友田東山古墳	34.57339145	135.9641934	1922309	1940206	Hofun	38
金剛寺野3号墳	35.15671881	136.2756444	1925596	1936188	Enpun	38
宮川1号墳	35.0388583	135.4797135	1936553	1947145	Enpun	38
小金岐71号墳	35.04109561	135.5438144	1933266	1958468	Enpun	38
道勘山1号墳	35.33228486	135.0959782	1933266	1947510	Enpun	38
陵神社12号墳	35.59713642	134.9312653	1910986	1921578	Enpun	38
久米山1号墳	34.76883	136.12992	1916099	1927787	Enpun	38
岡3号墳	35.11572	136.56139	1925596	1936188	Enpun	38
入田古墳	34.67486	136.46992	1925596	1947145	Enpun	38
船戸箱山古墳1号石室	34.24912481	135.3120438	1925596	1936188	Hofun	38
船戸箱山古墳5号石室	34.24912481	135.3120438	1925596	1936188	Hofun	38
二見谷4号墳	35.62589	134.80742	1936553	1947145	Enpun	36
竹ノ内3号墳	35.40464	134.76767	1936553	1947145	Enpun	36
舞子西石ヶ谷1号墳	34.69017	135.19544	1925596	1936188	Enpun	36
天神山1号墳	34.91858	134.54933	1925596	1936188	Enpun	36
小丸山1号墳	34.91736	134.97333	1914639	1925231	Enpun	36
小丸山1号墳	34.91736	134.97333	1925596	1936188	Enpun	36
東山09号墳	35.07544319	134.9170058	1954815	1965407	Enpun	36
東山11号墳	35.07544319	134.9170058	1963946	1969060	Enpun	36
東山14号墳	35.07544319	134.9170058	1963946	1969060	Enpun	36
坂2号墳	35.16883	135.10119	1936553	1947145	ZKoenFun	36
川ノ上1号墳	34.88997	135.22544	1925596	1936188	Enpun	36
双子塚2号墳第1主体(AN-203)	34.88997	135.22544	1925596	1936188	Enpun	36
双子塚2号墳第2主体(AN-203)	34.88997	135.22544	1936553	1958102	Enpun	36
大蔵谷1号墳	34.88997	135.22544	1914639	1925231	Enpun	36
関西学院構内古墳	34.73764	135.34175	1925596	1936188	Enpun	36
雲雀山東尾根C-2号墳	34.82941377	135.3952086	1936553	1947145	Enpun	36
高安古墳群102号墳	34.62228208	135.6473763	1936553	1947145	Enpun	36
イノラムキ古墳	34.67936	135.60089	1940571	1976730	Hofun	36
一須賀古墳群Ｄ8号墳	34.50176472	135.6438379	1936553	1947145	Enpun	36
一須賀古墳群L4号墳	34.50176472	135.6438379	1936553	1947145	Enpun	36
一須賀古墳群O5号墳	34.50199518	135.6438434	1925596	1936188	Enpun	36
一須賀古墳群WA14号墳	34.50176472	135.6438379	1925596	1936188	Enpun	36
寛弘寺古墳群80号墳	34.48845094	135.6184264	1925596	1936188	Enpun	36
奥山1号墳	34.76608	135.62808	1925596	1936188	Enpun	36
堂山古墳群2号墳	34.712	135.62342	1925596	1936188	Enpun	36
塚原B33号墳	34.8541687	135.5692665	1936553	1958102	Enpun	36
明神原古墳	34.48358	135.42358	1925596	1936188	Enpun	36
三田古墳	34.46053	135.37092	1914639	1925231	Enpun	36
龍王山C-3号墳	34.55103114	135.8487628	1925596	1936188	Enpun	36
北谷東古墳	34.53313459	135.9640438	1922309	1940206	Enpun	36
高松塚古墳	34.4626452	135.8061519	1977095	2013254	Enpun	36
北今市2号墳	34.54915961	135.7005378	1922309	1940206	Hofun	36
巨勢山458号墳(境谷10号墳)	34.43869735	135.7359138	1936553	1947145	Enpun	36
峯の阪古墳	34.60213114	135.6883051	1904046	1921943	Enpun	36
太鼓塚9号墳	35.04151431	135.85124	1925596	1936188	Enpun	36
太鼓塚32号墳	35.04151431	135.85124	1936553	1947145	Enpun	36
四郷崎古墳	35.44484728	136.2525551	1903681	1921578	Enpun	36
宮山1号墳	35.07449651	136.0447609	1925596	1947145	Enpun	36
車谷2号墳	34.7877768	135.8223719	1903681	1910621	Enpun	36
宮ノ口2号墳	34.7854537	135.7806247	1940571	1947510	Enpun	36
音戸山4号墳	35.0290528	135.7001112	1940571	1949337	Enpun	36
細谷4号墳	35.32284781	135.239882	1922309	1940206	Enpun	36
高谷3号墳	35.32774861	135.21639	1910986	1921578	Enpun	36
西谷5号墳	35.31656167	135.1235377	1936553	1947145	Enpun	36
西谷7号墳	35.31656167	135.1235377	1936553	1947145	Enpun	36
池の奥4号墳	35.30652468	135.1341799	1916099	1927787	Enpun	36
千原2号墳	35.56928247	135.1524537	1936553	1958102	Hofun	36
湯舟坂2号墳	35.56598497	134.9249305	1925596	1936188	Enpun	36
高山12号墳	35.70803582	135.0901418	1936553	1947145	Enpun	36
天童山8号墳	34.76883	136.12992	1910986	1921578	Enpun	36
野台3号墳	34.76394	136.21994	1903681	1910621	Enpun	36
平林2号墳	34.76394	136.21994	1936553	1947145	Enpun	36
宇賀新田3号墳	35.09456	136.53833	1936553	1958102	Enpun	36
平田17号墳	34.75956	136.44697	1903681	1910621	Enpun	36
ガガフタ1号墳	34.63944	136.3395	1936553	1947145	Enpun	36
天神山3号墳	34.57794	136.52758	1936553	1947145	Enpun	36
塚穴古墳	34.33119	136.83119	1936553	1947145	Enpun	36
大谷4号墳	34.22491294	135.2203994	1925596	1936188	Enpun	36
大日山58号墳	34.22322533	135.2207435	1925596	1936188	Enpun	36
室山1号墳	34.16509512	135.2070239	1925596	1936188	Enpun	36
万久里マシバ3号墳	35.37544	134.64492	1936553	1947145	Enpun	34
宿南びくに古墳	35.40464	134.76767	1910986	1921578	Enpun	34
高塚山8号墳	34.67593811	135.0630798	1936553	1947145	Enpun	34
舞子東石ヶ谷1号墳	34.69017	135.19544	1936553	1947145	Enpun	34
黒石山10号墳	34.93778	134.94511	1954815	1965407	Enpun	34
入角103号墳	35.05031	134.92336	1936553	1958102	Hofun	34
灰高1号墳	35.06661	135.18497	1903681	1910621	Enpun	34
稲荷神社裏山1号墳	34.69017	135.19544	1910986	1921578	Enpun	34
北神ニュータウン内遺跡2地点古墳	34.69017	135.19544	1925596	1936188	Enpun	34
八十塚古墳群岩ヶ平支群第01号	34.748918	135.3129574	1936553	1947145	Enpun	34
具足塚古墳	34.73764	135.34175	1914639	1925231	Enpun	34
平尾山古墳群15-5号墳	34.59209538	135.6389557	1936553	1947145	Enpun	34
高安古墳群88号墳	34.62228208	135.6473763	1914639	1936188	Enpun	34
みかん山古墳群10号墳	34.67936	135.60089	1925596	1936188	Enpun	34
神並古墳群5号墳(夫婦塚東石室)	34.67936	135.60089	1910986	1921578		34
神並古墳群5号墳(夫婦塚西石室)	34.67936	135.60089	1910986	1921578		34
一須賀古墳群Ａ3号墳	34.50199518	135.6438434	1936553	1947145	Enpun	34
一須賀古墳群K9号墳	34.50176472	135.6438379	1936553	1947145	Enpun	34
梶原B-2号墳	34.846	135.61725	1936553	1947145	Enpun	34
安満山B1号墳	34.86638816	135.6310546	1936553	1958102	Enpun	34
塚原T10号墳	34.8541687	135.5692665	1936553	1947145	Enpun	34
檜尾塚原古墳群9号墳第3主体	34.57333	135.483	1914639	1925231	ZKoenFun	34
向代古墳群4号墳	34.48358	135.42358	1925596	1936188	Enpun	34
名古山古墳	34.46053	135.37092	1936553	1947145	ZKoenFun	34
弁天塚古墳	34.6325152	135.8541618	1922309	1940206	Enpun	34
シントク1号墳	34.57339145	135.9641934	1936553	1947145	Enpun	34
南山古墳	34.53313459	135.9640438	1952624	1964312	Hofun	34
不動塚2号墳	34.46748246	135.9743155	1922309	1940206	Enpun	34
上5号墳	34.46389123	135.8477705	1925596	1936188	Enpun	34
ナシタニ2号墳	34.46302831	135.7790352	1933266	1940206	Enpun	34
寺口忍海D-27号墳	34.47595108	135.7022074	1904046	1910986	Enpun	34
石光山31号墳	34.47226216	135.7284251	1922309	1940206	Enpun	34
勘定山古墳	34.37676626	135.7038985	1952624	1964312	Enpun	34
上ノ山1号墳	35.52540663	136.2158744	1936553	1947145	Enpun	34
北落古墳群X1	35.20153922	136.2653916	1910986	1921578	Enpun	34
北落古墳群SX9209	35.20153922	136.2653916	1910986	1921578	Enpun	34
楢崎4号墳	35.19469713	136.2914201	1936553	1947145	Enpun	34
楢崎64号墳	35.19469713	136.2914201	1936553	1947145	Enpun	34
平柳A-1号墳	35.080835	136.1887351	1922309	1940206	Enpun	34
八之塚3号墳	35.1191328	136.2554462	1940571	1958468	Enpun	34
猪子山14号墳	35.17659396	136.1659987	1925596	1947145	Enpun	34
三ツ山7号墳	35.07271289	136.090489	1933266	1940206	Enpun	34
竜王山3号墳	35.03477321	136.0674813	1925596	1947145	Enpun	34
常磐御池古墳	35.02349299	135.7106728	1910986	1921578	Enpun	34
小金岐8号墳	35.02948107	135.5568011	1940571	1958468	Enpun	34
休場古墳	35.53954263	135.109916	1925596	1936188	Enpun	34
崩谷1号墳	35.57376558	134.9270325	1925596	1936188	Enpun	34
遠所2号墳	35.67053568	135.0746466	1925596	1936188	Enpun	34
