language_ja_jp	language_en_us	longitude	latitude	min_size	max_size	first_julian_day	last_julian_day	texture
ヤナイサク	Yanaisaku	140.535	37.31194444	1	4	1721424	9999999	None
イセホナイ	Isehonai	140.4605556	37.80638889	1	4	1721424	9999999	None
キナイ	Kinai	141.0113889	37.49416667	1	4	1721424	9999999	None
ゴショウナイ	Goshōnai	140.4747222	37.73111111	1	4	1721424	9999999	None
山土内	Yamadōchi	140.8761111	37.08277778	1	4	1721424	9999999	None
ウツチナイ	Utsuchinai	140.5369444	37.24638889	1	4	1721424	9999999	None
ヘイナイ	Heinai	140.2947222	37.40944444	1	4	1721424	9999999	None
イツチナイ	Itsuchinai	140.5611111	37.58333333	1	4	1721424	9999999	None
ウナイ/ウツナイ	Unai/Utsunai	139.8088889	37.59944444	1	4	1721424	9999999	None
ハンナイ	Hannai	140.3511111	37.71277778	1	4	1721424	9999999	None
