ja-JP	latitude	longitude	first_year	last_year	overall_length	texture
宮尾	35.3661549	133.3673693	-350	-220	20.5	Kango2
神手	33.66210387	130.9292654	-490	-160	20	Kango2
前立山	34.34603773	131.950084	-350	30	20	Kango2
河田山	36.4181979	136.5121638	80	240	19.5	Kango2
清水谷	35.36244993	133.3418259	-380	-320	19	Kango2
西ノ迫	33.41853199	130.6664457	80	240	17.5	Kango2
伝法寺野田	35.26319243	136.8426093	-200	30	17.5	Kango2
比恵	33.58535682	130.4293684	80	240	15.5	Kango3
助平２号	34.41794894	132.7317525	-320	-200	15.5	Kango2
石走山	33.96171205	132.0230267	80	240	12.5	Kango2
八ツ並金丸	33.40940397	130.5207111	-780	-320	10	Kango2
