key	ja-JP	en-US	longitude	latitude	min_size	max_size	first_year	last_year	texture	所在地	種別	時代	立地	標高	出土遺物
HokkaidoSite786	浜大樹1遺跡		143.4652055	42.52087143	0	0.5	650	1300	PitHouse	大樹町字浜大樹84-1～9	集落跡	擦文	当縁川左岸 台地上	20～30 m	
HokkaidoSite787	萠和1遺跡		143.3343679	42.50673881	0	0.5	-3500	-2000	BlueCircle	大樹町字萠和129	遺物包含地	縄文(中期)	メム川左岸段丘上	60 m	土器片、石器
HokkaidoSite788	当縁遺跡		143.4516879	42.50347501	0	0.5	650	1300	PitHouse	大樹町字浜大樹80	集落跡	擦文	当縁川右岸 低位段丘	7 m	
HokkaidoSite789	芽武2遺跡		143.3354062	42.49160105	0	0.5	-1000	-300	BlueCircle	大樹町字芽武508-1,510-1･2,532-4,533-1,及び同地先河川敷,十四号道路敷	遺物包含地	縄文(晩期)	メム川左岸、2本の無名沢に挟まれた段丘面上	55 m	土器片、黒曜石製剥片、焼礫片
HokkaidoSite790	相保島2遺跡		143.422347	42.47800273	0	0.5	650	1300	PitHouse	大樹町字美成1,11	集落跡	擦文	アイボシマ川右岸段丘上	15 m	
HokkaidoSite791	カムメロベツ遺跡		143.1971654	42.40321062	0	0.5	-8000	-5000	PitHouse	広尾町字下豊似9-6,10-2・3,11-3,12-1・3・4・7,14-1～4,16-3・4	集落跡	縄文(早期)	カタメロベツ川左岸の高位段丘上	155～170 m	土器片、石鏃、掻器、フレイク
HokkaidoSite792	花春1遺跡		143.2503873	42.39358846	0	0.5	-8000	-5000	BlueCircle	広尾町字カシュウンナイ3線11-1･2,12-1	遺物包含地	縄文(早期)	花春内川右岸段丘上	100 m	土器片、石鏃、掻器、石核
HokkaidoSite793	野塚遺跡		143.2850418	42.34710178	0	0.5	-3500	-2000	BlueCircle	広尾町字野塚11線44-1･3,45-2･3,46	遺物包含地	縄文(中期)	新生川右岸		土器、剥片
HokkaidoSite794	弘和2遺跡		143.2877755	42.6478489	0	0.5	-5000	-3500	BlueCircle	幕別町字弘和198	遺物包含地	縄文(前期)	第一弘成川上流域 右岸	180 m	土器、石鏃、剥片
HokkaidoSite795	プタンユート遺跡		143.5619925	42.6119741	0	0.5	650	1300	PitHouse	豊頃町長節761	集落跡	擦文	太平洋に注ぐプタンユート川西岸の台地	30 m	
HokkaidoSite796	湧洞沼岸1遺跡		143.5488399	42.60845835	0	0.5	650	1300	PitHouse	豊頃町長節761	集落跡	擦文	湧洞沼北東岸の台地縁辺	20 m	
HokkaidoSite797	湧洞沼岸2遺跡		143.5526256	42.60380878	0	0.5	650	1300	PitHouse	豊頃町長節761	集落跡	擦文	湧洞沼東岸の台地縁辺	30 m	
HokkaidoSite798	湧洞沼岸3遺跡		143.552948	42.60305097	0	0.5	650	1300	PitHouse	豊頃町長節761	集落跡	擦文	湧洞沼岸の台地南縁	30 m	
HokkaidoSite799	ピタルシナイ2遺跡		142.0908241	42.61689248	0	0.5	-8000	-5000	BlueCircle	むかわ町有明47-1	遺物包含地	縄文(早期)	鵡川左岸アリアケ川右岸	50 m	
HokkaidoSite800	ピタルシナイ1遺跡		142.0916943	42.61360315	0	0.5	-3500	-2000	BlueCircle	むかわ町有明87	遺物包含地	縄文(中期)	鵡川左岸、オブスケ川とアリアケ川の間	60 m	
HokkaidoSite801	ネプシマコツ遺跡		142.137114	42.49253043	0	0.5	-300	700	BlueCircle	日高町字豊郷129-7	遺物包含地	続縄文	ネプシマコツ沢右岸のテラス	30m	土器、石器
HokkaidoSite802	ペンケメップ遺跡		142.1341808	42.49111925	0	0.5	-5000	-3500	BlueCircle	日高町字豊郷129-1	遺物包含地	縄文(前期)	波恵川右岸、ペンケメップ沢左岸段丘	60 m	土器、石器、剥片
HokkaidoSite803	ポロメム遺跡		142.190789	42.47852469	0	0.5	-1000	-300	BlueCircle	日高町字清畠237-20,238-1,316-1,317-2,337-9	遺物包含地	縄文(晩期)	ウシベツ川右岸、段丘西端部南縁	30 m	土器
HokkaidoSite804	ライコマナイ遺跡		142.0846032	42.47727379	0	0.5	-3500	-2000	PitHouse	日高町字旭町11-1,門別本町252-1,260-1,261	集落跡	縄文(中期)	門別川とライコマナイ川合流点東の段丘	30～45 m	土器、石鏃、ナイフ、石斧、石皿、
HokkaidoSite805	イヨチ遺跡		142.1123216	42.47048409	0	0.5	-5000	-3500	BlueCircle	日高町字旭町5-64･99･104･280,7-1･2,国有林	遺物包含地	縄文(前期)	波恵川河口右岸の段丘、太平洋を眼下に見下ろす。	30～35 m	土器、剥片
HokkaidoSite806	東川2遺跡		142.3096904	42.47691956	0	0.5	-5000	-3500	BlueCircle	新冠町字東川6-1～7,243-1･2,国有林	遺物包含地	縄文(前期)	厚別川左岸段丘	40 m	土器、石鏃・掻器・石斧
HokkaidoSite807	明和2遺跡		142.4192357	42.45762895	0	0.5	-5000	-3500	BlueCircle	新冠町字明和35-1･3･4	遺物包含地	縄文(前期)	新冠川左岸段丘、小流右岸	90 m	土器、石鏃・石冠
