key	ja-JP	latitude	longitude	first_julian_day	last_julian_day	texture	overall_length
YokoSekishitsu1906	森尾大内谷1号墳	35.5445	134.82019	1936553	1958102	Hofun	14
YokoSekishitsu1907	箕谷4号墳	35.4005016	134.7537481	1936553	1958102	Enpun	14
YokoSekishitsu1908	西脇A-26号墳	34.86538095	134.5964747	1947510	1965407	Enpun	14
YokoSekishitsu1909	西脇A-31号墳	34.86538095	134.5964747	1947510	1965407	Enpun	14
YokoSekishitsu1910	西脇B-52号墳	34.86538095	134.5964747	1947510	1965407	Enpun	14
YokoSekishitsu1911	西脇E-075号墳	34.86538095	134.5964747	1892724	1903316	Enpun	14
YokoSekishitsu1912	状覚山05号墳	34.85239314	134.881432	1963946	1969060	Enpun	14
YokoSekishitsu1913	状覚山07号墳	34.85239314	134.881432	1965772	1976365	Enpun	14
YokoSekishitsu1914	入角076号墳	35.05031	134.92336	1954815	1965407	Enpun	14
YokoSekishitsu1915	入角111号墳	35.05031	134.92336	1954815	1965407	Enpun	14
YokoSekishitsu1916	年ノ神3号墳	34.811	134.9589	1954815	1965407	Hofun	14
YokoSekishitsu1917	応相寺7号墳	35.24875	135.00239	1936553	1958102	Enpun	14
YokoSekishitsu1918	沖ノ島1号墳	34.32503	134.73475	1936553	1947145	Enpun	14
YokoSekishitsu1919	沖ノ島2号墳	34.32503	134.73475	1936553	1947145	Enpun	14
YokoSekishitsu1920	奈カリ与古墳	34.88997	135.22544	1954815	1965407	Enpun	14
YokoSekishitsu1921	八十塚古墳群岩ヶ平支群第19号	34.748918	135.3129574	1936553	1947145	Enpun	14
YokoSekishitsu1922	八十塚古墳群岩ヶ平支群第23号	34.748918	135.3129574	1936553	1947145	Enpun	14
YokoSekishitsu1923	八十塚古墳群岩ヶ平支群第24号	34.748918	135.3129574	1936553	1947145	Hofun	14
YokoSekishitsu1924	八十塚古墳群岩ヶ平支群第52号	34.748918	135.3129574	1954815	1965407	Hofun	14
YokoSekishitsu1925	八十塚古墳群岩ヶ平支群第53号	34.748918	135.3129574	1954815	1965407	Enpun	14
YokoSekishitsu1926	野寄01号墳	34.69017	135.19544	1925596	1936188	Enpun	14
YokoSekishitsu1927	野寄02号墳	34.69017	135.19544	1936553	1947145	Enpun	14
YokoSekishitsu1928	野寄04号墳	34.69017	135.19544	1936553	1958102	Enpun	14
YokoSekishitsu1929	雲雀山東尾根B-23号墳	34.82941377	135.3952086	1963946	1969060	Enpun	14
YokoSekishitsu1930	山本奥C02号墳	34.8327086	135.3758452	1947510	1965407	Enpun	14
YokoSekishitsu1931	平尾山古墳群8-18号墳	34.59209538	135.6389557	1936553	1947145	Enpun	14
YokoSekishitsu1932	三日市古墳群9号墳	34.43157229	135.5759717	1925596	1936188	Enpun	14
YokoSekishitsu1933	栗栖山南5号墳	34.862777	135.548333	1954815	1965407	Hofun	14
YokoSekishitsu1934	和爾小倉谷3号墳	34.62805401	135.8425759	1958833	1976730	Hofun	14
YokoSekishitsu1935	能峠南山4号墳	34.53313459	135.9640438	1936553	1947145	Enpun	14
YokoSekishitsu1936	忍坂1号墳	34.51450639	135.8707586	1922309	1940206	Enpun	14
YokoSekishitsu1937	三ツ塚5号墳	34.50814405	135.6869265	1963946	1969060	Hofun	14
YokoSekishitsu1938	寺口千塚1号墳	34.47595108	135.7022074	1903681	1910621	Enpun	14
YokoSekishitsu1939	寺口千塚3号墳第1石室	34.47595108	135.7022074	1925596	1936188	Enpun	14
YokoSekishitsu1940	寺口千塚12号墳	34.47595108	135.7022074	1936553	1947145	Enpun	14
YokoSekishitsu1941	太鼓塚33号墳	35.04151431	135.85124	1914639	1925231	Enpun	14
YokoSekishitsu1942	穴太野添7号墳	35.07036533	135.8681658	1903681	1921578	Enpun	14
YokoSekishitsu1943	横尾山4号墳	34.95712104	135.9189486	1947510	1956276	Hofun	14
YokoSekishitsu1944	横尾山8号墳	34.95712104	135.9189486	1956641	1965407	Enpun	14
YokoSekishitsu1945	平谷4号墳	34.78069386	135.7855151	1940571	1958468	Enpun	14
YokoSekishitsu1946	宮ノ口4号墳	34.7854537	135.7806247	1940571	1958468	Enpun	14
YokoSekishitsu1947	音戸山西支群1号墳	35.0290528	135.7001112	1940571	1976730	Enpun	14
YokoSekishitsu1948	中西山1号墳	34.97899413	135.5332491	1933266	1940206	Enpun	14
YokoSekishitsu1949	霧ヶ鼻8号墳	35.5472903	135.1560728	1910986	1921578	Enpun	14
YokoSekishitsu1950	奈具岡南5号墳	35.66947477	135.0964347	1936553	1958102	Enpun	14
YokoSekishitsu1951	西野8号墳	34.96503	136.62442	1936553	1947145	Enpun	14
YokoSekishitsu1952	西野22号墳	34.96503	136.62442	1936553	1958102	Hofun	14
YokoSekishitsu1953	平田20号墳	34.75956	136.44697	1963946	1969060	Enpun	14
YokoSekishitsu1954	平田21号墳	34.75956	136.44697	1963946	1969060	Enpun	14
YokoSekishitsu1955	平田48号墳	34.75956	136.44697	1965772	1976365	Enpun	14
YokoSekishitsu1956	天神山5号墳	34.57794	136.52758	1954815	1965407	Enpun	14
YokoSekishitsu1957	箕谷5号墳	35.4005016	134.7537481	1954815	1965407	Enpun	12
YokoSekishitsu1958	西脇A-28号墳	34.86538095	134.5964747	1947510	1965407	Enpun	12
YokoSekishitsu1959	西脇A-34号墳	34.86538095	134.5964747	1947510	1965407	Enpun	12
YokoSekishitsu1960	西脇B-03号墳	34.86538095	134.5964747	1947510	1965407	Enpun	12
YokoSekishitsu1961	西脇B-53号墳	34.86538095	134.5964747	1947510	1965407	Enpun	12
YokoSekishitsu1962	池尻07号墳	34.79927088	134.8419148	1936553	1958102	Enpun	12
YokoSekishitsu1963	中番08号墳	34.85786	134.93981	1936553	1958102	Enpun	12
YokoSekishitsu1964	状覚山13号墳	34.85239314	134.881432	1977095	2013254	Enpun	12
YokoSekishitsu1965	状覚山17号墳	34.85239314	134.881432	1963946	1969060	Enpun	12
YokoSekishitsu1966	入角109号墳	35.05031	134.92336	1963946	1969060	Enpun	12
YokoSekishitsu1967	野坂大谷28号墳	35.087777	135.004166	1954815	1965407	Enpun	12
YokoSekishitsu1968	雲雀丘C南群2号墳	34.82941377	135.3952086	1936553	1947145	Enpun	12
YokoSekishitsu1969	雲雀山東尾根B-10号墳	34.82941377	135.3952086	1954815	1965407	Enpun	12
YokoSekishitsu1970	雲雀山東尾根B-11号墳	34.82941377	135.3952086	1936553	1958102	Enpun	12
YokoSekishitsu1971	山本奥C05号墳	34.8327086	135.3758452	1958833	1976730	Enpun	12
YokoSekishitsu1972	山本奥C06号墳	34.8327086	135.3758452	1947510	1965407	Enpun	12
YokoSekishitsu1973	山本奥C07号墳	34.8327086	135.3758452	1940571	1964312	Enpun	12
YokoSekishitsu1974	山本奥C08号墳	34.8327086	135.3758452	1947510	1965407	Enpun	12
YokoSekishitsu1975	山本奥C09号墳	34.8327086	135.3758452	1940571	1964312	Enpun	12
YokoSekishitsu1976	山本奥C10号墳	34.8327086	135.3758452	1958833	1976730	Enpun	12
YokoSekishitsu1977	雁多尾畑古墳群49-7号墳	34.5957797	135.6495054	1954815	1965407	Hofun	12
YokoSekishitsu1978	田辺古墳群5号墳	34.57928	135.62861	1954815	1965407	Enpun	12
YokoSekishitsu1979	田須谷古墳群2号墳	34.51872	135.64764	1963946	1969060	Hofun	12
YokoSekishitsu1980	一須賀古墳群N10号墳	34.50176472	135.6438379	1936553	1976365	Enpun	12
YokoSekishitsu1981	寛弘寺古墳群33号墳	34.48845094	135.6184264	1963946	1969060	Hofun	12
YokoSekishitsu1982	寛弘寺古墳群41号墳	34.48845094	135.6184264	1963946	1969060	Hofun	12
YokoSekishitsu1983	寛弘寺古墳群44号墳	34.48845094	135.6184264	1936553	1958102	Enpun	12
YokoSekishitsu1984	栗栖山南1号墳	34.862777	135.548333	1954815	1965407	Hofun	12
YokoSekishitsu1985	龍王山A-2号墳	34.55761924	135.8489919	1940571	1976730	Enpun	12
YokoSekishitsu1986	龍王山C-5号墳	34.55103114	135.8487628	1936553	1947145	Enpun	12
YokoSekishitsu1987	鳥羽1号墳	34.53313459	135.9640438	1952624	1964312	Enpun	12
YokoSekishitsu1988	能峠南山9号墳	34.53313459	135.9640438	1954815	1965407	Enpun	12
YokoSekishitsu1989	堂屋敷古墳	34.53313459	135.9640438	1940571	1958468	BrownCircle	12
YokoSekishitsu1990	三ツ塚7号墳	34.50814405	135.6869265	1963946	1969060	Hofun	12
YokoSekishitsu1991	寺口和田5号墳	34.47595108	135.7022074	1885784	1903681	Enpun	12
YokoSekishitsu1992	寺口和田7号墳	34.47595108	135.7022074	1958833	1976730	Hofun	12
YokoSekishitsu1993	火野谷山8号墳	34.47595108	135.7022074	1904046	1921943	Enpun	12
YokoSekishitsu1994	穴太野添1号墳	35.07036533	135.8681658	1947510	1965407	Enpun	12
YokoSekishitsu1995	穴太野添6号墳	35.07036533	135.8681658	1910986	1921578	Enpun	12
YokoSekishitsu1996	横尾山7号墳	34.95712104	135.9189486	1956641	1965407	Enpun	12
YokoSekishitsu1997	小玉岩3号墳	34.80788831	135.824149	1940571	1976730	Hofun	12
YokoSekishitsu1998	旭山D3号墳	34.98666948	135.7909698	1940571	1958468	Hofun	12
YokoSekishitsu1999	小金岐4号墳	35.02948107	135.5568011	1940571	1964312	Enpun	12
YokoSekishitsu2000	西脇A-37号墳	34.86538095	134.5964747	1947510	1965407	Enpun	10
YokoSekishitsu2001	西脇B-51号墳	34.86538095	134.5964747	1947510	1965407	Enpun	10
YokoSekishitsu2002	西脇C-011号墳	34.86538095	134.5964747	1947510	1965407	Enpun	10
YokoSekishitsu2003	西脇C-060号墳	34.86538095	134.5964747	1947510	1965407	Enpun	10
YokoSekishitsu2004	状覚山08号墳	34.85239314	134.881432	1965772	1976365	Enpun	10
YokoSekishitsu2005	火山11号墳	35.16883	135.10119	1947510	1965407	Enpun	10
YokoSekishitsu2006	野坂大谷29号墳	35.087777	135.004166	1954815	1965407	Enpun	10
YokoSekishitsu2007	田辺古墳群9号墳	34.57928	135.62861	1936553	1976365	Hofun	10
YokoSekishitsu2008	一須賀古墳群N8号墳	34.50176472	135.6438379	1936553	1976365	Enpun	10
YokoSekishitsu2009	一須賀古墳群N9号墳	34.50176472	135.6438379	1936553	1976365	Enpun	10
YokoSekishitsu2010	神山丑神古墳群7号墳	34.46456	135.6225	1936553	1947145	Hofun	10
YokoSekishitsu2011	ごんぼう山古墳	34.81436	135.65064	1940571	1958468	Enpun	10
YokoSekishitsu2012	塚脇D-1号墳	34.846	135.61725	1936553	1958102	Hofun	10
YokoSekishitsu2013	塚穴5号墳	34.846	135.61725	1936553	1947145	Hofun	10
YokoSekishitsu2014	奥坂古墳群A5号墳	34.846	135.61725	1963946	1969060	Hofun	10
YokoSekishitsu2015	中野北古墳	34.49964	135.59725	1940571	1976730	Hofun	10
YokoSekishitsu2016	龍王山G-9号墳	34.55761924	135.8489919	1954815	1965407	Hofun	10
YokoSekishitsu2017	寺口忍海H-27号墳	34.47595108	135.7022074	1925596	1936188	Enpun	10
YokoSekishitsu2018	岩才池北古墳	34.59655623	135.7029626	1936553	1947145	Enpun	10
YokoSekishitsu2019	太鼓塚17号墳	35.04151431	135.85124	1940571	1976730	Enpun	10
YokoSekishitsu2020	法華寺1号墳	34.93683662	135.7031007	1940571	1952259	Hofun	10
YokoSekishitsu2021	男山1号墳	34.62758	136.10839	1954815	1965407	Enpun	10
YokoSekishitsu2022	男山4号墳	34.62758	136.10839	1965772	1976365	Enpun	10
YokoSekishitsu2023	公事出2号墳	34.96503	136.62442	1954815	1965407	Enpun	10
YokoSekishitsu2024	八十塚古墳群岩ヶ平支群第55号	34.748918	135.3129574	1954815	1965407	Enpun	8
YokoSekishitsu2025	田辺古墳群6号墳	34.57928	135.62861	1936553	1958102	Enpun	8
YokoSekishitsu2026	田辺古墳群10号墳	34.57928	135.62861	1936553	1976365	Hofun	8
YokoSekishitsu2027	田辺古墳群11号墳	34.57928	135.62861	1936553	1976365	Hofun	8
YokoSekishitsu2028	龍王山E-1号墳	34.55761924	135.8489919	1933266	1940206	Enpun	8
YokoSekishitsu2029	龍王山E-6号墳	34.55761924	135.8489919	1952624	1964312	Hofun	8
YokoSekishitsu2030	楢崎66号墳	35.19469713	136.2914201	1936553	1947145	Enpun	8
YokoSekishitsu2031	横尾山11号墳	34.95712104	135.9189486	1947510	1956276	Enpun	8
YokoSekishitsu2032	状覚山11号墳	34.85239314	134.881432	1965772	1976365	Hofun	6
YokoSekishitsu2033	状覚山12号墳	34.85239314	134.881432	1958833	1984035	Enpun	6
YokoSekishitsu2034	龍王山E-5号墳	34.55761924	135.8489919	1952624	1964312	Hofun	6
YokoSekishitsu2035	西脇C-062号墳	34.86538095	134.5964747	1947510	1965407	Enpun	4
