key	latitude	longitude	first_year	last_year	時代	種別	所在地
mtDNA82	47.167	20.833	-5301	-4940	5301-4940 calBCE (6164±64 BP,OxA-23763)	Alfold_Linear_Pottery	Kompolt-Kigyoser
mtDNA83	47.167	19.833	-5211	-4958	5211-4958 calBCE (6135±33 BP, MAMS-14821)	LBK	Apc-Berekalya
mtDNA84	48.5799	16.46895	-5209	-4998	5209-4998 calBCE (6140±25 BP, PSUAMS-4224)	LBK	Schletz
mtDNA85	18.4	104.48	-6012	-5837	6012-5837 calBCE (7040±38 BP, OxA-X-2732-46)	Laos_HG	Pha Faen
mtDNA86	-17.683333	168.25	-650	-250	[2600–2200 BP]	Vanuatu	Efate, Mele-Taplins
mtDNA87	-17.8049164	168.5180468	1640	1950	310-0 calBP (234 ± 19 BP, MAMS-29695)	Vanuatu	Efate, Banana Bay
mtDNA88	-17.63833675	168.1543534	1460	1640	490-310 calBP (350 ± 20 BP,PSUAMS-6698)	Vanuatu	Eretok
mtDNA89	-17.63833675	168.1543534	1450	1750	[500–200 BP]	Vanuatu	Eretok
mtDNA90	-16.83625	-151.3585722	1508	1654	1508-1654 calCE (318±18 BP, MAMS-30076)	Polynesia_Historical	Ra’iātea
mtDNA91	-16.83625	-151.3585722	1645	1800	1645-1800 calCE (257±19 BP, MAMS-30077)	Polynesia_Historical	Ra’iātea
mtDNA92	-16.83625	-151.3585722	1657	1803	1657-1803 calCE (236±18 BP, MAMS-30075)	Polynesia_Historical	Ra’iātea
mtDNA93	34.75146111	72.40193611	-971	-830	971-830 calBCE (2755±20 BP, PSUAMS-2795)	SPGT	Swat Valley, Loebanr
mtDNA94	42.946667	25.430278	-46790	-44830	46790-44830 calBP	Palaeolithic_Upper	Bacho Kiro Cave
mtDNA95	51.23	39.3	-37426	-34726	37426-34726 calBCE (33250±500 BP, OxA-X-2395-15)	Palaeolithic_Upper	Kostenki
mtDNA96	33.264278	-119.539	-3650	-2200	3650-2200 BCE	America_North_Ancient	San Nicolas Island, CA
mtDNA97	49.639683	102.953085	-300	200	300 BC-200 AD	Xiongnu	Egyin Gol Valley
mtDNA98	47.7984	111.64307	-100	100	100BC-100 AD	Xiongnu	Duurlig Nars 
mtDNA99	52.2877699	104.2807508	-5550	-5050	7500-7000 cal BP	Siberia_Cis_Baikal_EN	Lokomotiv cemetery, Irkutsk
mtDNA100	47.11078	102.078841	744	840		Turkic	Olon Dov, Arkhangai 
mtDNA101	38.5664991	110.3101228	-2250	-1950	2250-1950 BCE 	China_LN	Shengedaliang
mtDNA102	40.7575	113.354	-3550	-3050	3550-3050 BCE 	China_MN	MZG
mtDNA103	40.6213	109.9532	300	500	4th-5th century CE	China_IA	Qilangshan
mtDNA104	42.359722	116.179167	1271	1368	1271-1368 CE	Mongol	Yikeshu
mtDNA105	40.7575	113.354	-3550	-3050	3550-3050 BCE 	China_MN	MZG
mtDNA106	33.5922112	114.0221248	-2137	-1948	2137-1948 calBCE (3660±30 BP,HJTM107 )	China_LN	HaoJiaTai
mtDNA107	39.588	109.727	-1731	-1408	1731-1521 BCE 1599-1427 BCE 1527-1408 BCE 	China_BA	Zhukaigou
mtDNA108	46	126.15	-17637	-17225	19,587–19,175 calBP	Asia_East_HG	Zhaodong, Northern bank of the Songhua River
mtDNA109	-19.47718333	-44.03805556	-8210	-7650	8210-7650 calBCE (8840±60 BP, Beta-271249)	America_South_Ancient	Lapa do Santo
mtDNA110	47.3549	123.9182	-2200	-1800	ca. 4000 BP	Asia_East_LN	Honghe
mtDNA111	45.85	126	-5475	-5218	7,425–7,168 calBP	Asia_East_MN	Zhaodong, Northern bank of the Songhua River
mtDNA112	47.198607	102.806366	1300	1400		Mongol	Baga Artsatyn Am (including NW cemetery), Uvurkhangai 
mtDNA113	45.96	126.23	-8217	-7726	10,167–9,676 calBP	Asia_East_EN	Zhaodong, Northern bank of the Songhua River
mtDNA114	44.5	135.4	-5707	-5483	5707-5483 calBCE (6678±48 BP, UBA-33767)	Asia_East_N	Devil's Gate Cave
mtDNA115	45.85	125.82	-4487	-4251	6,437–6,201 calBP	Asia_East_MN	Zhaodong, Northern bank of the Songhua River
mtDNA116	52.2145	104.3486667	-5373	-5228	5373-5228 calBCE (6796±22 BP)	Siberia_Cis_Baikal_EN	Angara river
mtDNA117	42.78944444	131.2761111	-4935	-4605	4935-4605 calBCE (5890±60 BP, TERRA-b06129733)	Mongolia_MN	Primorsky Krai, Boisman-2
mtDNA118	45.85	126	-9046	-8479	10,996–10,429 calBP	Asia_East_EN	Zhaodong, Northern bank of the Songhua River
mtDNA119	45.93	125.85	-8790	-8352	10,740–10,302 calBP	Asia_East_EN	Zhaodong, Northern bank of the Songhua River
mtDNA120	45.98	125.58	-12982	-12226	14,932–14,176 calBP	Asia_East_HG	Zhaodong, Northern bank of the Songhua River
mtDNA121	46.15	126.23	-5036	-4726	6,986–6,676 calBP	Asia_East_MN	Zhaodong, Northern bank of the Songhua River
mtDNA122	66	-170.1	125	330	125-330 calCE (1822±35 BP, UBA-34061)	Beringia_IA	Ekven
mtDNA123	49.336	88.712	-2857	-2501	2857-2501 calBCE (4095±25 BP, PSUAMS-6942)	Afanasievo	Bayan-Ulgiii aimag, Ulaankhus sum, Kurgak govi barrow 1, infant burial in main grave 
mtDNA124	52.27905556	104.2517778	-2838	-2495	2838-2495 calBCE (4319±22 BP)	Siberia_Cis_Baikal_EBA	Irkutsk city
mtDNA125	42.78944444	131.2761111	-3750	-3600	3750-3600 BCE	Mongolia_MN	Primorsky Krai, Boisman-2
mtDNA126	49.14463	114.877124	1300	1400		Mongol	Tsagaan Chuluut, Dornod 
mtDNA127	48.832683	83.909744	-2196	-2029	2196-2029 calBCE (3705±20 BP, PSUAMS-2916)	Turan_MBA	Northwestern Kazakhstan, Kanai Cemetery
mtDNA128	51.5	100.67	-1255	-1055	1255-1055 calBCE (2950±20 BP, UCIAMS-226549, PSUG-5464)	Mongolia_MLBA	Khuvsgul aimag, Khankh sum, Khavtsal II Tomb 1 (Khirgisuur) 
mtDNA129	49.359	88.713	-2913	-2710	2913-2710 calBCE (4250±25 BP, UCIAMS-226551, PSUG-5466)	Mongolia_EBA	Bayan-Ulgiii aimag, Ulaankhus sum, Kulala Ula barrow 1, secondary burial
mtDNA130	55.66892222	115.8720806	-6564	-6429	6564-6429 calBCE	Siberia_Trans_Baikal_HG	Buryatia
mtDNA131	49.0938	75.8466	-789	-548	789-548 calBC	Tasmola	Taldy II/8
mtDNA132	52.286944	104.249167	-5981	-5723	5981-5723 calBCE (6950±60 BP)	Siberia_Cis_Baikal_EN	Lokomotiv
mtDNA133	53.94944444	105.8901944	-4980	-4841	4980-4841 calBCE (6418±21 BP)	Siberia_Cis_Baikal_EN	Lena river
mtDNA134	50.534142	106.274289	-12100	-11858	12100-11858 calBCE (12065±37 BP) [R_combine: (11505±100 BP); (12136±54 BP); (12151±58 BP)]	Siberia_Kolyma_HG	Eastern Siberia
mtDNA135	52.27905556	104.2517778	-2568	-2350	2568-2350 calBCE (4369±22 BP)	Siberia_Cis_Baikal_EBA	Irkutsk city
mtDNA136	47.999722	113.933333	-5211	-4995	5211-4995 calBCE (6145±35 BP, PSUAMS-3931)	Mongolia_N	Dornod aimag, Bulgan sum, Norovlin Uul burial
mtDNA137	54.87072222	106.2550556	-5021	-4849	5021-4849 calBCE (6612±23 BP)	Siberia_Cis_Baikal_EN	Lena river
mtDNA138	66.161126	-169.822297	550	1050	1,400-900 ybp	Ekven_EMA	Ekven, Russia
mtDNA139	66.161126	-169.822297	710	990	710-990 calCE (1985±20 BP, PSUAMS-5475)	Beringia_MA	Ekven, Chukotka
mtDNA140	66.161126	-169.822297	810	1050	810-1050 calCE (1895±15 BP, PSUAMS-5474)	Beringia_MA	Ekven, Chukotka
mtDNA141	49.3925	102.7025	-5630	-5483	5630-5483 calBCE (6645±35 BP, UCIAMS-226525, PSUG-5428)	Mongolia_N	Bulgan, Khutag-Undur sum,  Marzyn khutul, Tomb 1-055-1, sceleton 2
mtDNA142	49.53469	103.2825	-5621	-5482	5621-5482 calBCE (6615±25 BP, PSUAMS-8435)	Mongolia_N	Bulgan, Khutag-Undur sum, Egiin-gol river valley, Marzyn Khutul, tomb 1-055-1, sceleton 2
mtDNA143	49.3925	102.7025	-5632	-5484	5632-5484 calBCE (6655±30 BP, UCIAMS-226523, PSUG-5426)	Mongolia_N	Bulgan, Khutag-Undur sum,  Marzyn khutul, Tomb 1-055-1, sceleton 1
mtDNA144	49.3925	102.7025	-5620	-5481	5620-5481 calBCE (6610±30 BP, UCIAMS-226524, PSUG-5427)	Mongolia_N	Bulgan, Khutag-Undur sum,  Marzyn khutul, Tomb 1-055-1, sceleton 4
mtDNA145	47.74671119	40.93505859	700	900	VIII-IX	Khazar	Belokalitvinsky
mtDNA146	48.961111	10.130556	1486	1627	1,486–1,627 calAD	CEU_EM	Ellwangen
mtDNA147	45.65916748	123.7980652	-390	-290	~2300 BP	Asia_East_EIA	Houtaomuga, Jilin
mtDNA148	47.49122489	42.29187012	705	735	first 3rd VIII, not before 705	Khazar	Dubovsky
mtDNA149	45.65916748	123.7980652	-390	-290	~2300 BP	Asia_East_EIA	Houtaomuga, Jilin
mtDNA150	46.8613	119.655	50	250	50-250 CE 	China_Xianbei	MGS
mtDNA151	45.65916748	123.7980652	-3600	-3520	5550-5470 BP	Asia_East_MN	Houtaomuga, Jilin
mtDNA152	46.8613	119.655	81	236	81-236 calCE (1880±30 BP, Beta-500004)	China_IA	ZhaLaiNuoEr
mtDNA153	42.5043431	125.4145019	-1050	-350	1050-350 BCE 	China_BA	LongTouShan
mtDNA154	46.8613	119.655	50	250	50-250 CE 	China_Xianbei	MGS
mtDNA155	45.91	125.9	-6390	-6079	8,340–8,029 calBP	Asia_East_EN	Zhaodong, Northern bank of the Songhua River
mtDNA156	47.8507363	104.0421247	585	660	585-660 AD	China_Xianbei	Zaan khoshuu Site
mtDNA157	47.6459635	102.7645944	590	655	590-655 AD	Rouran	Khermen Tal site
mtDNA158	45.65916748	123.7980652	-760	-470	2720-2430 BP	Asia_East_EIA	Houtaomuga, Jilin
mtDNA159	49.33	119.45	800	1000	800-1000 AD	China_MA	Gangga site
mtDNA160	49.14463	114.877124	1300	1400		Mongol	Tsagaan Chuluut, Dornod 
mtDNA161	46.369478	113.489552	1300	1400		Mongol	Sharga Uul, Sukhbaatar 
mtDNA162	49.67311667	127.885	606	680	606 CE-680 CE	Asia_East_IA	Blagovechensk
mtDNA163	47.854689	104.04602	588	658	588-658 CE	Turkic	Zaan-Khoshuu, Bulgan 
mtDNA164	47.868142	105.2531	1300	1400		Mongol	Argali Mountain, Tuv 
mtDNA165	47.854689	104.04602	588	770		Turkic	Zaan-Khoshuu, Bulgan 
mtDNA166	46.945875	112.062105	1300	1400		Mongol	Khalgan Khoshuu (Zamyn Khashat, Khanan bor), Sukhbaatar 
mtDNA167	47.721545	106.411345	1300	1400		Mongol	Bayan Khairkhan (Bunkhantyn Gatsaa), Tuv 
mtDNA168	44.654209	102.060817	-150	120		Xiongnu	Tevsh Mountain, Uvurkhangai 
mtDNA169	49.96	92.05	-40	109	40 calBCE - 109 calCE (1985±15 BP) [R_combine: (1950±20 BP, PSUAMS-7395); (2024±21 BP, MAMS-41135)]	Xiongnu	Uvs aimag, Ulaangom sum, Chandman Uul, Ulaangom cemetery Grave #44 
mtDNA170	47.059972	91.842502	-150	120		Xiongnu	Khoit Tsenkher (Tarvagatain Am), Khovd 
mtDNA171	49.997104	92.054003	-92	50	92 BC-50 CE	Xiongnu	Chandman Mountain, Uvs 
mtDNA172	47.8130833	108.531944	-200	-91	200-91 BCE	Xiongnu	Jargalantyn Am (Jargalantyn Khondii), Khentii 
mtDNA173	42.78944444	131.2761111	-4989	-4787	4989-4787 calBCE (5985±35 BP, PSUAMS-2114)	Mongolia_MN	Primorsky Krai, Boisman-2
mtDNA174	42.78944444	131.2761111	-4989	-4794	4989-4794 calBCE (5995±35 BP, Poz-83474)	Mongolia_MN	Primorsky Krai, Boisman-2
mtDNA175	42.78944444	131.2761111	-3705	-3633	3705-3633 calBCE (4875±20 BP, PSUAMS-2160)	Mongolia_MN	Primorsky Krai, Boisman-2
mtDNA176	45.65057	80.241573	700	1100	8th-11th c. CE	Steppe_Central_Nomad_MA_Hist	Kayalyk Mausoleum  individual 2
mtDNA177	45.96	125.75	-5217	-4904	7,167–6,854 calBP	Asia_East_MN	Zhaodong, Northern bank of the Songhua River
mtDNA178	49.14463	114.877124	1300	1400		Mongol	Tsagaan Chuluut, Dornod 
mtDNA179	46.8613	119.655	50	250	50-250 CE 	China_Xianbei	MGS
mtDNA180	44.082716	103.60748	1300	1400		Mongol	Shar Tolgoi, Umungobi 
mtDNA181	46.99722222	66.28583333	1200	1600	1200-1600 CE	Mongol	Central steppe
mtDNA182	49.43609	101.460843	1300	1400		Mongol	Mori Baridag, Khuvsgul
mtDNA183	45.354	113.858	1300	1400		Mongol	Lamt Mountain, Sukhbaatar 
mtDNA184	46.369478	113.489552	1300	1400		Mongol	Sharga Uul, Sukhbaatar 
mtDNA185	46.01	125.82	-9651	-9226	11,601–11,176 calBP	Asia_East_EN	Zhaodong, Northern bank of the Songhua River
mtDNA186	42.78944444	131.2761111	-4841	-4706	4841-4706 calBCE (5895±30 BP, PSUAMS-8302)	Mongolia_MN	Primorsky Krai, Boisman-2
mtDNA187	47.799255	102.361242	-150	120		Xiongnu	Tamiryn Ulaan Khoshuu (Burkhan Tolgoi), Arkhangai 
mtDNA188	49.744364	106.669392	1300	1400		Mongol	Karnikovyn Am , Selenge 
mtDNA189	42.074722	76.963889	1161	1272	1161-1272 calCE (833±34 BP, UBA-31218)	Steppe_Central_Nomad_IA	Tian Shan
mtDNA190	45.95	125.83	-12864	-12067	14,814–14,017 calBP	Asia_East_HG	Zhaodong, Northern bank of the Songhua River
mtDNA191	52.49083333	76.83944444	-1610	-1416	1610-1416 calBCE (3225±43 BP, UBA-33602)	Andronovo	Central steppe
mtDNA192	52.6925	62.64722222	1036	1206	1036-1206 calCE (920±25 BP, UBA-31146)	Turkic	Central steppe
mtDNA193	-18.483333	-70.333333	-4354	-4180	4354-4180 calBCE (5480±25 BP, UCIAMS-147105)	America_South_Ancient	Arica, Chile
mtDNA194	34.901389	-120.648056	100	700	100-700 CE	America_North_Ancient	Point Sal, CA
mtDNA195	18.094	-65.789	678	957	678-957 calCE (1208±45 BP, AA-79408)	America_Caribbean_Ancient	Punta Candelero
mtDNA196	57.63	18.28	900	1050	900-1050 CE	Viking	Gotland
mtDNA197	39.4697	-0.3774	1100	1300	1100-1300 CE	Iberia_Muslim	Carrer Sagunto 49, València, València/Valencia, Valencian Community
mtDNA198	57.3501182	17.0758422	700	800	700-800 CE	Viking	Oland
mtDNA199	48.961111	10.130556	1486	1627	1,486–1,627 calAD	CEU_EM	Ellwangen
mtDNA200	61.18	-45.68	900	1200	900-1200 CE	Viking	Eastern Settlement
mtDNA201	48.22281	10.84499	-1946	-1754	1946-1754 calBC	CEU_EBA	Kleinaitingen – Gewerbegebiet Nord
mtDNA202	38.7025	-0.48631	-4000	-3350	4000-3350 BCE	Iberia_MLN	Les Llometes, Alcoi, Alacant/Alicante, Valencian Community
mtDNA203	39.4697	-0.3774	1100	1300	1100-1300 CE	Iberia_Muslim	Carrer Sagunto 49, València, València/Valencia, Valencian Community
mtDNA204	20.13333333	105.9833333	-1876	-1687	1876-1687 calBCE (3445±20 BP, PSUAMS-2409)	Vietnam_N	Man Bac
mtDNA205	27	-107.25	-4000	1500	4000 BCE - 1500 CE	America_Central_Pre_Columbian	northern Mexico (Sierra Tarahumara)
mtDNA206	23.038	-81.497	653	874	653-874 calCE (1289±46 BP, AA-101056)	America_Caribbean_Ancient	Canimar Abajo
mtDNA207	54.98981	73.37441	-300	-100	3rd-2nd c. BCE	Sargat	Mountain Bitiya  #228/21
mtDNA208	49.39	8.57	-5200	-5000	5200-5000 BCE	LBK	Baden-Württemberg, Germany
