key	latitude	longitude	en-US	first_julian_day	last_julian_day	min_size	max_size
mtDNA_Siberia96	53.708561	90.359808	H15b1	1563530	1823072	0	1000
mtDNA_Siberia97	53.156486	90.207811	A8a	1569447	1827016	0	1000
mtDNA_Siberia98	38.718548	61.692287	T2c1a	2076988	2165377	0	1000
mtDNA_Siberia99	53.305983	67.648166	K1b2	977974	1432700	0	1000
mtDNA_Siberia100	53.708561	90.359808	D4	1310198	1654183	0	1000
mtDNA_Siberia101	49.134217	75.851817	R1a1a	1157673	1552500	0	1000
mtDNA_Siberia102	51.809667	94.064647	C4d	2575909	2619739	0	1000
mtDNA_Siberia103	51.774202	94.308568	U5a1f1	2612434	2656263	0	1000
mtDNA_Siberia104	51.809667	94.064647	D4j7	2575909	2619739	0	1000
mtDNA_Siberia105	51.809667	94.064647	HV6	2575909	2619739	0	1000
mtDNA_Siberia106	51.809667	94.064647	HV6	2575909	2619739	0	1000
mtDNA_Siberia107	51.809667	94.064647	D4j7	2575909	2619739	0	1000
mtDNA_Siberia108	51.809667	94.064647	D4j7	2575909	2619739	0	1000
mtDNA_Siberia109	51.809667	94.064647	C4d	2575909	2619739	0	1000
mtDNA_Siberia110	51.809667	94.064647	F1b1b	2575909	2619739	0	1000
mtDNA_Siberia111	51.809667	94.064647	H	2575909	2619739	0	1000
mtDNA_Siberia112	51.809667	94.064647	T2d2	2583214	2627043	0	1000
mtDNA_Siberia113	51.809667	94.064647	T2d2	2575909	2619739	0	1000
mtDNA_Siberia114	51.809667	94.064647	H6a1a1	2586867	2630696	0	1000
mtDNA_Siberia115	51.809667	94.064647	C4a1a3	2586867	2630696	0	1000
mtDNA_Siberia116	51.809667	94.064647	G2a1g	2586867	2630696	0	1000
mtDNA_Siberia117	51.774202	94.308568	U4a1a	2667220	2711049	0	1000
mtDNA_Siberia118	48.832683	83.909744	T	671389	1228311	0	1000
mtDNA_Siberia119	34.7514611	72.4019361	U2e1'2'3	1201502	1581719	0	1000
mtDNA_Siberia120	34.7487639	72.3083583	T2a1b	1068261	1492892	0	1000
mtDNA_Siberia121	34.7487639	72.3083583	U8b1a	1158769	1553230	0	1000
mtDNA_Siberia122	34.7487639	72.3083583	M65a	1158769	1553230	0	1000
mtDNA_Siberia123	34.76584167	72.34913333	M65a	1202598	1582450	0	1000
mtDNA_Siberia124	34.7487639	72.3083583	M	1155262	1550893	0	1000
mtDNA_Siberia125	34.7487639	72.3083583	H14a	1200844	1581281	0	1000
mtDNA_Siberia126	37.4166667	66.8333333	W3a1	808136	1319475	0	1000
mtDNA_Siberia127	34.8048944	72.3181694	U2c1a	1263958	1623357	0	1000
mtDNA_Siberia128	36.1544444	54.3836111	U1a'c	57782	819239	0	1000
mtDNA_Siberia129	30.649857	61.400311	W3a1b	390444	1041014	0	1000
mtDNA_Siberia130	38.1907	62.0343	R5a2b	649474	1213701	0	1000
mtDNA_Siberia131	50.5528285	13.7868857	T2b	19212	793526	0	1000
mtDNA_Siberia132	34.6776028	72.2124806	H	1202598	1582450	0	1000
mtDNA_Siberia133	34.7487639	72.3083583	R30a1b	1158769	1553230	0	1000
mtDNA_Siberia134	34.7658417	72.3491333	H13a2a	1202598	1582450	0	1000
mtDNA_Siberia135	34.7658417	72.3491333	R30b1	1202598	1582450	0	1000
mtDNA_Siberia136	50.5320782	14.070678	H2a1	446546	1078415	0	1000
mtDNA_Siberia137	34.7658417	72.3491333	M30c1	1202598	1582450	0	1000
mtDNA_Siberia138	34.7658417	72.3491333	HV17	1202598	1582450	0	1000
mtDNA_Siberia139	37.1907	61.0343	I1c1	216443	925013	0	1000
mtDNA_Siberia140	37.1907	61.0343	T2g1b	216443	925013	0	1000
