key	value
HAinu495	E-kusna-pet
HAinu496	Meman-pet
HAinu497	Yam-pet
HAinu498	Cisuye-us-i
HAinu499	Iktara
HAinu500	Masar-pet
HAinu501	Rur-mo-ot-pe
HAinu502	I-opi-to
HAinu503	O-tatni-oma-p
HAinu504	Mokoto
HAinu505	(San)?-cip
HAinu506	Muri-i
HAinu507	Num-us-horka-nay
HAinu508	Hup-us-i
HAinu509	Usiya
HAinu510	O-sar-un-nay
HAinu511	Wen-nay
HAinu512	Mauresep
HAinu513	Horka-nay
HAinu514	Set-us-i
HAinu515	U-par-ray
HAinu516	Repun-sirar
HAinu517	Ciray-ot
HAinu518	Nikur-an
HAinu519	Poro-?
HAinu520	Uturu-ci-kus-i
HAinu521	San-nay-putu
HAinu522	Wen-pet
HAinu523	Tup-usi
HAinu524	Iwa-o-nay
HAinu525	Not-or
HAinu526	Keri-oci
HAinu527	Iwaw-pet
HAinu528	Tuwar
HAinu529	To-kor-pet
HAinu530	Onne-pet
HAinu531	Ku-oma-i
HAinu532	Par
HAinu533	O-nis-ka?
HAinu534	Sesek-i
HAinu535	Onne-pet
HAinu536	Sat-humi-i
HAinu537	Sak-ru
HAinu538	Supun-ot-nay
HAinu539	So-us-nay
HAinu540	Teyne-i
HAinu541	Ri-kipir
HAinu542	Tay-oro-oma-pet
HAinu543	Mo-pet
HAinu544	Kotan-pet
HAinu545	Wen-pira
HAinu546	Komke-to
HAinu547	Sumari-nay
HAinu548	Toma-oma-i
HAinu549	Ut
HAinu550	Mosir-un-nay
HAinu551	So-kot
HAinu552	Sar-rupespe
HAinu553	Cuk-pet
HAinu554	Ut
HAinu555	Ceure?
HAinu556	Sar-or
HAinu557	Cep-un-to
HAinu558	Ehanke-sir?
HAinu559	O-u-kot-pe
HAinu560	Piwka
HAinu561	Sarkip
HAinu562	So-e-san-pet
HAinu563	Mo-nup-o-nay
HAinu564	O-terke-ot-pe
HAinu565	O-mu-i
HAinu566	Onne-nay
HAinu567	O-kurmat-oma-i
HAinu568	Ota-kus-pet
HAinu569	Poro-nay
HAinu570	Sak-ru
HAinu571	O-cis-pet
HAinu572	O-toyne-p
HAinu573	Hure-p
HAinu574	Kamuy-ru-e-san-i
HAinu575	Sak-kotan-nay
HAinu576	Par-oma-utnay
HAinu577	O-kito-un-pet
HAinu578	Penke-nay
HAinu579	Ket-o-pet
HAinu580	Top-us-pet
HAinu581	Ota-nupuri
HAinu582	Panke-nay
HAinu583	Ut-nay
HAinu584	Tes-un-i
HAinu585	Pinne-sir
HAinu586	O-nup-un-nay
HAinu587	Penke-pet-ican
HAinu588	Toy-kamu-pet
HAinu589	Matne-sir
HAinu590	Toimaki?
HAinu591	Poro-nutap
HAinu592	Menas-tomari
HAinu593	Panke-to
HAinu594	So-nay
HAinu595	Toy-kamu-pet
HAinu596	Ipe-kor-pet
HAinu597	Nitat-nay
HAinu598	Sar-o-pet
HAinu599	Wakka-sak-nay
HAinu600	Ceppo-oci
HAinu601	To-un-pet
HAinu602	Onne-iwak-i
HAinu603	Yam-wakka-ru
HAinu604	Menas-pet
HAinu605	Kut-ka-an-nay
HAinu606	Sar-oma-pet
HAinu607	O-net-oma-p
HAinu608	Us-tomari
HAinu609	Kari-pet
HAinu610	I-ot-i
HAinu611	Sar-put
HAinu612	Sir-etok
HAinu613	Kap-kay?
HAinu614	Pakkay-pe
HAinu615	O-ni-us-pet
HAinu616	Mas-upopo
HAinu617	Ciray-pet
HAinu618	Yam-wakka-nay
HAinu619	Koy-tuye
HAinu620	Not-sam
HAinu621	So-ya
HAinu622	San-nay
