ja-JP	ko-KR	en-US	longitude	latitude	min_size	max_size
チリペッ	질벧	Cir-Pet	141.025	42.35972222	1	4
チライカリペッ	지래가리벧	Ciray-Kari-Pet	144.9297222	43.10444444	1	4
チライオッ	지래옫	Ciray-Ot	141.6133333	43.32111111	1	4
チライオッ	지래옫	Ciray-Ot	143.8505556	44.03194444	1	4
チライペッ	지래벧	Ciray-Pet	142.0875	45.37944444	1	4
チシムエコ	짓임고	Cis-Imko	139.9994444	41.64861111	1	4
チセソウシペッ	지세소웃벧	Cise-So-Us-Pet	141.3427778	43.69	1	4
チスイェウシイ	지수예웃이	Cisuye-Us-I	143.9836111	43.925	1	4
チウアシペッ	지우앗벧	Ciw-As-Pet	140.0108333	42.68555556	1	4
チウルイ	지우릐	Ciw-Ruy	145.0938889	43.7225	1	4
チウルイトプイ	지우릐도븨	Ciw-Ruy-Topuy	143.3019444	42.56444444	1	4
チウルプ	지우룹	Ciwrup	145.0266667	43.03111111	1	4
チュペック	죽벧	Cuk-Pet	141.7377778	44.41277778	1	4
エクナペッシ	에굿나벧	E-Kusna-Pet	144.6841667	43.90861111	1	4
エピシプオマ	에빗오맙	E-Pis-Oma-P	141.8811111	43.84916667	1	4
エサンイ	에산이	E-San-I	141.1494444	41.78555556	1	4
エサンピタラ	에산비달	E-San-Pitar	143.5191667	43.09333333	1	4
エハンケシリ	에한게실?	Ehanke-Sir?	141.4269444	44.43944444	1	4
エマウリオマレプ	에마우리오마렙	Emawri-Omarep	140.9033333	42.4275	1	4
エプイ	에븨	Epuy	142.7147222	42.18694444	1	4
エラマンテウシ	에라만데웃이	Eramante-Usi	139.9927778	41.54444444	1	4
エルムナイ	에룸내	Erum-Nay	140.9986111	43.20138889	1	4
エサマンイ	에사만이	Esaman-I	142.9252778	42.18333333	1	4
エタイェペッ	에다예벧	Etaye-Pet	141.8427778	43.70583333	1	4
ハルウトル	하루(우도루)?	Haru-(Utoru)?	144.4097222	42.96944444	1	4
ハルタウシナイ	하루다웃내	Haru-Ta-Us-Nay	142.5016667	42.26805556	1	4
ハルウシ	하루웃	Haru-Us	141.1219444	43.15388889	1	4
ハルウシナイ	하루웃내	Haru-Us-Nay	142.2688889	43.75194444	1	4
ハペッシ	핫벧	Has-Pet	141.0477778	42.35527778	1	4
ヘッチェウシイ	헫제웃이	Hetce-Us-I	142.345	43.76055556	1	4
ホロカナイ	홀가내	Horka-Nay	142.1541667	44.00944444	1	4
ホロカナイ	홀가내	Horka-Nay	143.1286111	43.48194444	1	4
フウイプシ	훕웃이	Hup-Us-I	143.7213889	43.98583333	1	4
フプシウナイ	훕웃내	Hup-Us-Nay	144.0988889	43.17694444	1	4
フサルム	훌삼	Hur-Sam	141.7875	42.97416667	1	4
フレナイ	후레내	Hure-Nay	142.3016667	42.72611111	1	4
フレプ	후렙	Hure-P	142.7597222	44.74222222	1	4
フレペッ	후레벧	Hure-Pet	140.6313889	42.00666667	1	4
フレペッ	후레벧	Hure-Pet	142.5247222	43.33305556	1	4
フレピラ	후레비라	Hure-Pira	142.0636111	43.55111111	1	4
フレスマ	후레수마	Hure-Suma	140.4066667	43.15527778	1	4
フシコサッポロ	훗고삳보로	Husko-Satporo	141.3944444	43.08777778	1	4
イイカウシイ	이이가웃이	I-Ika-Us-I	142.5244444	43.87555556	1	4
イカララニ	이갈라니	I-Kar-Rani	142.7327778	42.17833333	1	4
イクシリタモシ	이굿다모실	I-Kus-Ta-Mosir	139.515	42.17138889	1	16
イクサプ	이구삽	I-Kusa-P	140.7030556	41.99083333	1	4
イオピト	이오비도	I-Opi-To	144.2177778	43.96166667	1	4
イオッイ	이옫이	I-Ot-I	141.6863889	45.25972222	1	4
イチャン	이잔	Ican	142.0427778	43.73916667	1	4
イチャンイ	이잔이	Ican-I	145.1152778	43.69055556	1	4
イチャンナイ	이잔내	Ican-Nay	145.0272222	43.13055556	1	4
イチャニ	이자니	Icani	141.5744444	42.88027778	1	4
イクタラ	익다라	Iktara	143.5313889	43.92666667	1	4
イナウ	이나우	Inaw	140.9966667	43.19694444	1	4
イナウウシイ	이나우웃이	Inaw-Us-I	143.6908333	43.25972222	1	4
イペコロペッ	이베골벧	Ipe-Kor-Pet	141.8938889	45.08666667	1	4
イソヤ	이소야	Iso-Ya	140.3272222	42.84416667	1	4
イソポウンナイ	이소보운내	Isopo-Un-Nay	144.5488889	43.37888889	1	4
イワチシ	이와짓	Iwa-Cis	142.3483333	42.735	1	4
イワオナイ	이와오내	Iwa-O-Nay	142.7838889	44.09222222	1	4
イワオイ	이와워이	Iwaw-O-I	141.3688889	43.77333333	1	4
イワウペッ	이와우벧	Iwaw-Pet	145.0502778	44.10388889	1	4
イウｫロシウイ	이월웃이	Iwor-Us-I	144.7191667	43.54333333	1	4
カウシナイ	가웃내	Ka-Us-Nay	141.8272222	43.29361111	1	4
カッコクウンイ	갂옥운이	Kakkok-Un-I	140.9722222	41.90888889	1	4
カマヤ	가마야	Kama-Ya	140.9366667	41.73361111	1	4
カマヤペッ	가마야벧	Kama-Ya-Pet	140.5377778	41.71166667	1	4
カムイ	가믜	Kamuy	142.3369444	43.75916667	1	4
カムイハッタラ	가믜하딸	Kamuy-Hattar	140.5680556	43.01583333	1	4
カムイコタン	가믜고단	Kamuy-Kotan	142.185	43.72277778	1	4
カムイナイ	가믜내	Kamuy-Nay	140.4319444	43.14361111	1	4
カムイルエサンイ	가믜루에산이	Kamuy-Ru-E-San-I	142.1322222	44.74444444	1	4
カプカイ	갑개?	Kap-Kay?	141.0466667	45.30444444	1	4
カパラ	가발	Kapar	142.2238889	42.46888889	1	4
カパラプフ	가발훕	Kapar-Hup	143.6591667	43.07972222	1	4
カパララシラ	가발시랄	Kapar-Sirar	140.3269444	43.22055556	1	4
カリペッ	가리벧	Kari-Pet	142.1627778	45.24861111	1	4
カイェウトゥル	가예우두루	Kaye-Uturu	139.8930556	42.18694444	1	4
ケネニウシイ	게네니웃이	Kene-Ni-Us-I	140.0213889	42.11694444	1	4
ケネポク	게네복	Kene-Pok	145.1055556	43.05	1	4
ケネウオイカ	게느외가	Keneu-Oika	144.8038889	43.50555556	1	4
ケリマプ	게리맙	Keri-Ma-P	142.6225	42.22555556	1	4
ケリオチ	게리오지	Keri-Oci	143.7283333	44.10194444	1	4
ケッオペッ	겓오벧	Ket-O-Pet	142.3480556	44.825	1	4
キオペ	기오베	Ki-O-Pe	140.0036111	41.52416667	1	4
キタプ	기답	Ki-Ta-P	145.1275	43.07916667	1	4
キムウンペッ	김운벧	Kim-Un-Pet	140.9358333	42.79555556	1	4
キナウシイ	기나웃이	Kina-Us-I	141.0691667	41.88583333	1	4
キナウシナイ	기나웃내	Kina-Us-Nay	141.8352778	43.43194444	1	4
キロル	기로루	Kiroru	143.6061111	43.09138889	1	4
キトウシ	기도웃	Kito-Us	143.415	43.34083333	1	4
コムケト	곰게도	Komke-To	143.4522222	44.27777778	1	4
コムプモイ	곰부뫼	Kompu-Moy	145.5463889	43.22555556	1	4
コムプモイ	곰부뫼	Kompu-Moy	144.5311111	42.95444444	1	4
コンポヌプリ	곤보누부리	Konpo-Nupuri	140.5986111	42.79611111	1	4
コッネイ	곧네이	Kot-Ne-I	141.3033333	43.07944444	1	4
コタンナイ	고단내	Kotan-Nay	141.4266667	43.37527778	1	4
コタンペッ	고단벧	Kotan-Pet	141.7136111	44.26222222	1	4
コタンペッ	고단벧	Kotan-Pet	141.4283333	43.35722222	1	4
コタヌカ	고다누가	Kotanu-Ka	145.0302778	43.74916667	1	4
コタヌウシイ	고다누웃이	Kotanu-Us-I	140.4191667	41.53083333	1	4
コイオマイ	괴오마이	Koy-Oma-I	145.7925	43.365	1	4
コイトウエイ	괴두예	Koy-Tuye	141.5397222	42.61861111	1	4
コイトゥイェ	괴두예	Koy-Tuye	141.7547222	45.40583333	1	4
クオナイ	구오내	Ku-O-Nay	140.9552778	42.57888889	1	4
クオピラ	구오비라	Ku-O-Pira	142.1511111	42.60083333	1	4
クオマイ	구오마이	Ku-Oma-I	143.3527778	44.12527778	1	4
クウントゥ	구운두	Ku-Un-Tu	139.8366667	42.22416667	1	4
クチャナイ	구자내	Kuca-Nay	140.3655556	43.33	1	4
クチオロ	구지올	Kuci-Or	144.3730556	43.28166667	1	4
クマウシイ	구마웃이	Kuma-Us-I	139.9855556	42.12916667	1	4
クマウシイ	구마웃이	Kuma-Us-I	142.9516667	43.01527778	1	4
クマウシイ	구마웃이	Kuma-Us-I	144.5322222	43.39277778	1	4
クン(ネ)ヌイ	군(네)늬	Kun(Ne)-Nuy	140.3225	42.43694444	1	4
クンネペッ	군네벧	Kunne-Pet	140.6702778	41.825	1	4
クンネペッ	군네벧	Kunne-Pet	145.0602778	43.79361111	1	4
クンネペッ	군네벧	Kunne-Pet	143.7472222	43.46888889	1	4
クンネスマ	군네수마	Kunne-Suma	140.2894444	42.36777778	1	4
クルマッナイ	굴맏내	Kurmat-Nay	140.3075	42.67083333	1	4
クッカアンナイ	굳가안내	Kut-Ka-An-Nay	141.1372222	45.18638889	1	4
クッチャラ	굳잘	Kutcar	144.3327778	43.55666667	1	4
クッタラシウイ	굳달웃이	Kuttar-Us-I	142.9138889	43.15972222	1	4
クッタラシウイ	굳달웃이	Kuttar-Us-I	141.2152778	42.46222222	1	4
マクカリプ	막가립	Mak-Kari-P	140.8025	42.76638889	1	4
マシウポポ	맛우보보	Mas-Upopo	141.8319444	45.37111111	1	4
マサラペッ	마살벧	Masar-Pet	141.6808333	43.95472222	1	4
マタオッイ	마다옫이	Mata-Ot-I	144.8925	43.55638889	1	4
マッネシリ	맏네실	Matne-Sir	142.2163889	44.92944444	1	4
マウレセプ	마우레셉	Mauresep	143.3383333	44.00666667	1	4
マウオイ	마우오이	Maw-O-I	141.7427778	42.97888889	1	4
マウ(ニ)ウシイオロ	마우(니)웃이오로	Maw(Ni)-Us-I-Oro	142.4058333	42.42	1	4
メム	멤	Mem	143.3686111	42.47722222	1	4
メム	멤	Mem	142.3625	42.67083333	1	4
メム	멤	Mem	141.9283333	43.68444444	1	4
メマンペッ	메만벧	Meman-Pet	144.1708333	43.91333333	1	4
メナシペッ	메낫벧	Menas-Pet	141.8238889	45.17444444	1	4
メナシトマリ	메낫도마리	Menas-Tomari	142.5144444	45.03555556	1	4
メプ	멥	Mep	140.3033333	42.67833333	1	4
メトッ	메돋	Metot	143.3886111	43.31694444	1	4
ミトゥシ	미둣	Mitus	142.5572222	42.24833333	1	4
モイワ	모이와	Mo-Iwa	143.4980556	42.80166667	1	4
モイワ	모이와	Mo-Iwa	140.4519444	43.11333333	1	4
モコチ	모고지	Mo-Koci	142.7805556	42.20611111	1	4
モヌプオナイ	모눕오내	Mo-Nup-O-Nay	142.3233333	44.55861111	1	4
モペチ	모베지	Mo-Peci	140.6036111	41.76527778	1	4
モペッ	모벧	Mo-Pet	143.3630556	44.25166667	1	4
モペッ	모벧	Mo-Pet	142.0736111	42.48	1	4
モラプ	모랍	Mo-Rap	141.3858333	42.72305556	1	4
モライ	모래	Mo-Ray	141.4072222	43.30527778	1	4
モコト	모고도	Mokoto	144.3191667	43.96722222	1	4
モムチャ	몸자	Mom-Ca	140.0191667	41.50222222	1	4
モサ	모사	Mosa	144.9969444	43.61722222	1	4
モサ	모사	Mosa	144.4263889	42.98888889	1	4
モセウシイ	모세웃이	Mose-Us-I	141.8052778	43.11916667	1	4
モセウシイ	모세웃이	Mose-Us-I	141.9633333	43.69444444	1	4
モシリシケオマナイ	모실겟오마내	Mosir-Kes-Oma-Nay	142.3402778	43.36638889	1	4
モシリシケオマナイ	모실겟오마내	Mosir-Kes-Oma-Nay	142.0852778	43.53833333	1	4
モシリウンナイ	모실운내	Mosir-Un-Nay	142.2675	44.35805556	1	4
モイオロ	뫼올	Moy-Or	143.3136111	42.28166667	1	4
モイスッ	뫼숟	Moy-Sut	144.7988889	43.06055556	1	4
モイレトマリ	뫼레도마리	Moyre-Tomari	140.4944444	43.06666667	1	4
ムリイ	무리이	Muri-I	143.3344444	43.97305556	1	4
ナエイ	나에	Naeyまたはnae	141.8833333	43.43027778	1	4
ナイポ	내보	Naypo	141.3855556	43.07555556	1	4
ネシシコウイ	넷고웃이	Nesko-Us-I	141.6738889	42.84416667	1	4
ニチャ	니자	Ni-Ca	142.8608333	42.19361111	1	4
ニコロ	니골	Ni-Kor	143.8994444	43.89833333	1	4
ニオペッ	니오벧	Ni-O-Pet	141.4355556	42.92027778	1	4
ニシタプ	니시답	Ni-Sitap	141.48	42.6025	1	4
ニウンナイ	니운내	Ni-Un-Nay	142.7647222	43.13666667	1	4
ニクルアン	니굴안	Nikur-An	143.9080556	44.04805556	1	4
ニヌムシウペッ	니눔웃벧	Ninum-Us-Pet	144.2152778	43.20527778	1	4
ニプタイ	닙다이?	Nip-Ta-I?	142.1588889	42.63555556	1	4
ニセウ	니세우	Nisew	142.3588889	42.77472222	1	4
ニセイオマプ	니세오맙	Nisey-Oma-P	141.2561111	42.95833333	1	4
ニタッナイ	니닫내	Nitat-Nay	142.2380556	45.09027778	1	4
ニタッオロプオマ	니닫올오맙	Nitat-Or-Oma-P	144.4802778	43.47722222	1	4
ニトゥオマプ	니두오맙	Nitu-Oma-P	142.9244444	43.03222222	1	4
ノカピラ	노가비라	Noka-Pira	143.1933333	43.36583333	1	4
ノナオマイ	노나오마이	Nona-Oma-I	140.3544444	43.28805556	1	4
ノッカ	녿가	Not-Ka	140.4572222	43.3425	1	4
ノッオロ	녿올	Not-Or	144.1186111	44.09388889	1	4
ノッサム	녿삼	Not-Sam	145.8122222	43.38527778	1	4
ノッサム	녿삼	Not-Sam	141.6508333	45.44527778	1	4
ノッカアン	녿가안	Notka-An	142.2588889	43.47472222	1	4
ノッケウ	녿게우	Notkew	145.335	43.59027778	1	4
ノット	노또	Notto	140.3511111	42.8625	1	4
ノヤサラ	노야살	Noya-Sar	142.5052778	42.42055556	1	4
ノヤウイシ	노야웃이	Noya-Us-I	143.4933333	42.81166667	1	4
ヌウシペッ	누웃벧	Nu-Us-Pet	144.8758333	43.37361111	1	4
ヌウシペッ	누웃벧	Nu-Us-Pet	144.6497222	43.475	1	4
ヌカンナイ	누간내	Nukan-Nay	143.3244444	42.78111111	1	4
ヌムオマナイ	눔오마내	Num-Oma-Nay	140.8969444	43.20833333	1	4
ヌムオッペ	눔옫베	Num-Ot-Pe	142.4022222	43.29277778	1	4
ヌウホカナイムシロ	눔웃홀가내	Num-Us-Horka-Nay	142.205	43.97416667	1	4
ヌプシケ	눕겟	Nup-Kes	143.9422222	43.84916667	1	4
ヌプロオオペッ	눕올오벧	Nup-Or-O-Pet	141.5244444	43.09333333	1	4
ヌサペップム	눕삼벧	Nup-Sam-Pet	141.6022222	43.85833333	1	4
ヌプタイ	눕대	Nup-Tay	140.3788889	42.21833333	1	4
ヌプルウトゥ	눕우둘	Nup-Utur	143.4380556	43.01777778	1	4
プヌカ	눕가	Nupka	141.0116667	43.18527778	1	4
ヌプカ	눕가	Nupka	142.7555556	42.24861111	1	4
ヌプカペッ	눕가벧	Nupka-Pet	140.4952778	42.97555556	1	4
ヌカペップ	눕가벧	Nupka-Pet	143.3252778	42.31333333	1	4
ヌプキペッ	눕기벧	Nupki-Pet	142.2630556	42.6725	1	4
ヌプリカウンペッ	누부리가운벧	Nupuri-Ka-Un-Pet	140.8352778	42.89694444	1	4
ヌサオマイ	누사오마이	Nusa-Oma-I	144.3880556	42.97944444	1	4
ヌイェ	누예	Nuye	142.1977778	42.67972222	1	4
オチシペッ	오짓벧	O-Cis-Pet	142.8094444	44.705	1	4
オイチャンオマプ	외잔옴압	O-Ican-Oma-P	144.7172222	42.93694444	1	4
オケトゥウンナイ	오게두운내	O-Ketu-Un-Nay	143.5877778	43.67638889	1	4
オキトウンペッ	오기도운벧	O-Kito-Un-Pet	142.7211111	44.77888889	1	4
オコムシプウペ	오곰부웃베	O-Kompu-Us-Pe	140.9094444	42.38555556	1	4
オクルマッオマイ	오굴맏오마이	O-Kurmat-Oma-I	142.29	44.61444444	1	4
オムイ	오무이	O-Mu-I	142.9638889	44.58277778	1	4
オネッオマプ	오넫오맙	O-Net-Oma-P	141.5897222	45.21666667	1	4
オニウシイ	오니웃이	O-Ni-Us-I	142.6791667	42.19666667	1	4
オニウシペッ	오니웃벧	O-Ni-Us-Pet	142.1155556	45.33111111	1	4
オニシカ	오닛가?	O-Nis-Ka?	141.6577778	44.15527778	1	4
オヌプウンナイ	오눕운내	O-Nup-Un-Nay	141.9197222	44.89805556	1	4
オポロペッ	오보로벧	O-Poro-Pet	144.7030556	43.01472222	1	4
ヲフンカルシベ	오분갈웃베	O-Punkar-Us-Pe	142.2602778	42.39611111	1	4
オリカンペッ	오리간벧	O-Rikan-Pet	140.1602778	42.71583333	1	4
オサナンケプ	오사난겝	O-Sa-Nanke-P	142.1316667	43.73027778	1	4
オサラウンナイ	오살운내	O-Sar-Un-Nay	142.1208333	43.99861111	1	4
オサラシウナイ	오살운내	O-Sar-Us-Nay	143.2847222	42.98361111	1	4
オサッナイ	오삳내	O-Sat-Nay	142.2119444	42.69638889	1	4
オサッナイ	오삳내	O-Sat-Nay	141.8011111	43.4675	1	4
オサッ〈ナイ〉	오삳내	O-Sat-Nay	141.6313889	42.87444444	1	4
オサッペ	오삳베	O-Sat-Pe	141.0216667	41.89	1	4
オシキナウシイ	오시기나웃이	O-Sikina-Us-I	142.5686111	43.56972222	1	4
オシラライカ	오시랄이가	O-Sirar-Ika	141.8902778	43.64722222	1	4
オシララナイ	오시랄내	O-Sirar-Nay	140.6127778	42.11222222	1	4
オシララウンペッ	오시랄운벧	O-Sirar-Un-Pet	143.3169444	42.22361111	1	4
オソキナイ	오소기?내	O-Soki?-Nay	141.7780556	43.40083333	1	4
オスウォプ	오수웝	O-Suwop	143.4380556	43.11805556	1	4
オタッニオマプ	오닫니오맙	O-Tatni-Oma-P	145.1391667	43.965	1	4
オテレケオッペ	오델게옫베	O-Terke-Ot-Pe	142.32	44.55888889	1	4
オテシペッ	오뎃벧	O-Tes-Pet	140.4255556	42.18972222	1	4
オトイネプ	오되넵	O-Toyne-P	142.2602778	44.72722222	1	4
オトゥイェポク	오듸에복	O-Tuye-Pok	142.0961111	43.68638889	1	4
オウコッ	오우곧	O-U-Kot	144.4102778	42.96222222	1	4
オウコッペ	오우곧베	O-U-Kot-Pe	143.1191667	44.47138889	1	4
オヤウシイ	오야웃이	O-Ya-Us-I	140.9272222	41.74027778	1	4
オホウッナイ	옿오욷내	Oho-Utnay	143.6483333	42.68722222	1	4
オイカオマイ	외가오마이	Oika-Oma-I	143.4522222	42.59888889	1	4
オッカイタムラチャパ	옦애담잘바	Okkay-Tam-Carpa	141.3961111	43.11555556	1	4
オンネイワクイ	온네이왁이	Onne-Iwak-I	141.3088889	45.13888889	1	4
オンネキキン	온네기긴	Onne-Kikin	144.0330556	43.64305556	1	4
オンネナイ	온네내	Onne-Nay	142.3052778	44.59833333	1	4
オンネペッ	온네벧	Onne-Pet	142.2744444	44.17472222	1	4
オンネペッ	온네벧	Onne-Pet	145.0808333	44.12222222	1	4
オンネト	온네도	Onne-To	145.5044444	43.2775	1	4
オンネヤウシペッ	온네야웃벧	Onne-Ya-Us-Pet	144.8411111	43.29638889	1	4
オンネユ	온네유	Onne-Yu	143.5072222	43.75555556	1	4
オオホナイ	오오호내	Ooho-Nay	141.9486111	43.70638889	1	4
オプシケ	옵겟	Op-Kes	140.6447222	42.59055556	1	4
オロウェンシリペッ	오로웬실벧	Oro-Wen-Sirpet	140.9886111	42.74638889	1	4
オソコッロ	오솔곧	Osor-Kot	141.4316667	43.36305556	1	4
オタ	오다	Ota	139.7847222	42.28111111	1	4
オタエトゥ	오다에두	Ota-Etu	145.22	43.55583333	1	4
オタクシペッ	오다굿벧	Ota-Kus-Pet	141.8172222	44.63583333	1	4
オタモイ	오다뫼	Ota-Moy	140.96	43.22388889	1	4
オタノシキ	오다놋기	Ota-Noski	144.2730556	43.01083333	1	4
オタノシキ	오다놋기	Ota-Noski	141.5413889	43.85333333	1	4
オタヌプリ	오다누부리	Ota-Nupuri	142.4758333	44.84361111	1	4
オタペッ	오다벧	Ota-Pet	143.1619444	41.99805556	1	4
オタルオマイ	오다루오마이	Ota-Ru-Oma-I	141.4277778	42.59777778	1	4
オタスッ	오다숟	Ota-Sut	140.3061111	42.77694444	1	4
オトケプ	오돕게?	Otop-Ke?	143.1869444	43.00805556	1	4
オヤフル	오야훌	Oya-Hur	141.3544444	43.18333333	1	4
オヤコッ	오야곧	Oya-Kot	144.3105556	43.57833333	1	4
オヨチ	오요지	Oyoci	143.6480556	43.37888889	1	4
パッカイペ	바깨베	Pakkay-Pe	141.6211111	45.31083333	1	4
パナウンクルヤソッケ	바나운구루야솓게	Pana-Un-Kuru-Ya-Sotke	141.305	43.17555556	1	4
パンケナイ	반게내	Panke-Nay	142.4869444	44.85638889	1	4
パンケシリルプウトゥオマ	반게실우둘오맙	Panke-Sir-Utur-Oma-P	141.9202778	43.84555556	1	4
パンケト	반게도	Panke-To	141.7530556	45.03694444	1	4
パンケユ	반게유	Panke-Yu	141.0258333	42.58861111	1	4
パラ	발	Par	143.6916667	44.14972222	1	4
パラオマウッナイ	발오마욷내	Par-Oma-Utnay	141.7922222	44.77027778	1	4
パラコッ	바라곧	Para-Kot	139.9861111	41.60444444	1	4
パラオタ	바라오다	Para-Ota	139.98	42.68777778	1	4
パラト	바라도	Para-To	141.3538889	43.16472222	1	4
ハシベツ	밧벧	Pas-Pet	141.5502778	43.85944444	1	4
パシルク	밧굴	Paskur	144.0155556	42.94055556	1	4
ペペルイ	베베릐	Pe-Pe-Ruy	142.5191667	43.37722222	1	4
ペルア	베루아?	Pe-Rua?	144.4333333	43.555	1	4
ペカンペウシイ	베간베웃이	Pekanpe-Us-I	144.8319444	43.21111111	1	4
ペケペッレ	베겔벧	Peker-Pet	142.8927778	43.005	1	4
ペケペッレ	베겔벧	Peker-Pet	140.5944444	41.8675	1	4
ペンケナイ	벤게내	Penke-Nay	142.515	44.785	1	4
ペンケペッイチャン	벤게벧이잔	Penke-Pet-Ican	142.3319444	44.90722222	1	4
ペシポキ	벳보기	Pes-Poki	141.1991667	43.13638889	1	4
シペトゥカリ	벳두가리	Pes-Tukari	141.4880556	43.83527778	1	4
ペッカイ	벧개	Pet-Kay	145.1130556	43.38638889	1	4
ペッペッ	벧벧	Pet-Pet	141.6758333	42.78777778	1	4
ペッポ	벧보	Pet-Po	144.4775	42.99277778	1	4
ペットゥカリ	벧두가리	Pet-Tukari	141.4377778	43.39555556	1	4
ペッウッカ	벧욷가	Pet-Utka	145.4236111	43.22055556	1	4
ピポオロ	비보올	Pi-Po-Or	143.3091667	42.25305556	1	4
ピプイ	비븨	Pi-Puy	141.2163889	42.73527778	1	4
ピサンペッ	비산벧	Pi-San-Pet	141.3783333	43.55861111	1	4
ピヤ	비야	Pi-Ya	140.3077778	42.8275	1	4
ピンネシリ	빈네실	Pinne-Sir	142.2133333	44.8775	1	4
ピパイロペッ	비바이로벧	Pipa-Iro-Pet	143.0163889	42.86611111	1	4
ピパセイ	비바세	Pipa-Sey	145.0830556	43.05833333	1	4
ピパウシイ	비바웃이	Pipa-Us-I	142.4388889	43.55666667	1	4
シピパウイ	비바웃이	Pipa-Us-I	141.8377778	43.80111111	1	4
ピパウシ	비바웃이	Pipa-Us-I	142.9727778	43.03777778	1	4
ピオリロ	빌올	Pir-Or	143.2755556	42.28694444	1	4
ピラカウンコタン	비라가운고단	Pira-Ka-Un-Kotan	142.0413889	42.52527778	1	4
ピラケシ	비라겟	Pira-Kes	141.3680556	43.03416667	1	4
ピラケシ	비라겟	Pira-Kes	142.1266667	43.5425	1	4
