key	latitude	longitude
TAinu152	40.63472222	140.4555556
TAinu153	40.65805556	141.1766667
TAinu154	40.67972222	140.5994444
TAinu155	40.68888889	141.2575
TAinu156	40.69777778	140.6127778
TAinu157	40.7075	140.8466667
TAinu158	40.71055556	140.7258333
TAinu159	40.73222222	140.3119444
TAinu160	40.74111111	140.7402778
TAinu161	40.75777778	141.2830556
TAinu162	40.75805556	140.6422222
TAinu163	40.81	140.6911111
TAinu164	40.82222222	140.7472222
TAinu165	40.86444444	141.1286111
TAinu166	40.87416667	141.3127778
TAinu167	40.88833333	140.6641667
TAinu168	40.92611111	140.9558333
TAinu169	41.22527778	141.2994444
TAinu170	41.22638889	140.3508333
TAinu171	41.22944444	140.9830556
TAinu172	41.39611111	141.4416667
TAinu173	41.41222222	140.85
TAinu174	41.52666667	140.9075
