key	ja-JP	ko-KR	en-US	latitude	longitude
SAinu124	レフンソウヤ	레푼소야	Rep-un-soya	46.4807	141.8202
SAinu125	ニナウシ	니나우시	Ninausi	46.4937	143.5439
SAinu126	モシラルシナイ	시라루시내	Sirar-usi-nay	46.4941	141.8261
SAinu127	ニナウシ	니나우시	Nina-usi	46.4981	143.5357
SAinu128	トーブツ	토풑	To-put	46.5078	143.3078
SAinu129	ホンノボリ	폰누푸리	Pon-nupuri	46.509	143.383
SAinu130	シブシナイボ	싶시내포	Sipsinaypo	46.5136	141.8173
SAinu131	ヌッチケイ	누찌케	Nuccikey	46.5159	143.301
SAinu132	ニナウシ	니나우시	Ninausi	46.5175	143.5017
SAinu133	トマリケシ	토마리켓	Tomari-kes	46.5229	143.5307
SAinu134	アトワ	오토와	Otowa	46.5268	141.8157
SAinu135	シブナイ	시부내	Sibunay	46.5272	142.3813
SAinu136	ペンケチライウンナイ	펜케치라윤내	Penkecirayunnay	46.5285	141.9299
SAinu137	チライウンナイ	치라윤내	Cirayunnay	46.5356	141.8899
SAinu138	ニイナウシ	니나우시	Ninausi	46.5421	143.5051
SAinu139	シブナイ	시부내	Sibunay	46.5464	142.39
SAinu140	ウイニ	의니	Uini	46.5478	141.8146
SAinu141	ヨヨクシ	요욬시	Yoyoksi	46.5503	143.2567
SAinu142	イカツキナイ	이카투키내	Ikatukinay	46.5507	142.3907
SAinu143	ニホトマリ	니오토마리	Ni-o-tomari	46.5562	143.5271
SAinu144	アラクリ	알쿠리	Arkuri	46.567	143.2337
SAinu145	ナイポロ	내포오로	Nay-po-oro	46.5681	141.8264
SAinu146	シイナイ	시내	Si-nay	46.5693	141.8237
SAinu147	ナイホ	내포	Nay-po	46.5763	141.8213
SAinu148	ナイポロ	내포오로	Nay-po-oro	46.5766	141.8206
SAinu149	ワアイ	왜	Way	46.5784	143.2148
SAinu150	ポロナイポ	포로내포	Poro-nay-po	46.5859	142.4047
SAinu151	ナイトモ	내토모	Naytomo	46.5862	143.2003
SAinu152	ホラフニ	홀후니	Horhuni	46.5968	143.1771
SAinu153	カマトマリ	카마토마리	Kamatomari	46.5979	143.0914
SAinu154	ヲコバチ	오코바치	Okobaci	46.5984	143.0726
SAinu155	キナウシエントモ	키나우시엔토모	Kinausientomo	46.6004	141.8109
SAinu156	ケヌシナイボ	케누시내보	Kenusinaybo	46.6012	141.8141
SAinu157	レブン	레푼	Repun	46.6019	143.1178
SAinu158	ヘフレナイ	헤후레내	Hehurenay	46.6031	142.4143
SAinu159	アルトタンナイ	알토탄내	Artotannay	46.6035	141.8236
SAinu160	ウシネコロ	우시네코로	Usinekoro	46.6036	141.825
SAinu161	レブンケベツ	레푼케펱	Repunkepet	46.6046	143.0354
SAinu162	トイクシ	퇴쿠시	Toykusi	46.605	142.7847
SAinu163	ナイポロ	내포오로	Nay-po-oro	46.6058	142.7977
SAinu164	ソーヤ	소야	So-ya	46.6065	142.9741
SAinu165	ソウヤ	소야	Soya	46.6085	142.976
SAinu166	ペフレナイ	페후레내	Pe-hure-nay	46.6088	142.4192
SAinu167	エソンコオマナイ	에손코오마내	Esonkoomanay	46.6108	143.0109
SAinu168	ハチコベツ	하치코펱	Haciko-pet	46.6109	142.9998
SAinu169	オコシナイボ	오코시내보	Okosinaybo	46.6126	141.8377
SAinu170	オホエトマリ	오회토마리	Ohoetomari	46.614	142.8264
SAinu171	エントモカ	엔토모카	Entomoka	46.6151	142.7669
SAinu172	オタサン	오타삼	Ota-sam	46.6178	142.9451
SAinu173	オタイレンコ	오태렌코	Otayrenko	46.6203	142.9351
SAinu174	テシヤナイボ	테시야내보	Tesiyanaybo	46.6206	142.8578
SAinu175	ポントー	폰토	Pon-to	46.6208	143.1289
