Z	X	Y	String
5	2	22	584849.470177 -1573000.000000 584849.470177 -1461500.000000
5	2	23	641005.184833 -1573000.000000 641005.184833 -1461500.000000
5	2	24	683923.597945 -1573000.000000 683923.597945 -1461500.000000
5	2	25	722344.540544 -1573000.000000 722344.540544 -1461500.000000
5	2	26	752949.766348 -1573000.000000 752949.766348 -1461500.000000
5	2	27	780343.161072 -1573000.000000 780343.161072 -1461500.000000
5	2	28	801043.368586 -1573000.000000 801043.368586 -1461500.000000
5	2	29	815523.470774 -1573000.000000 815523.470774 -1461500.000000
5	2	30	832134.240789 -1573000.000000 832134.240789 -1461500.000000
5	2	31	843228.899863 -1573000.000000 843228.899863 -1461500.000000
5	3	0	-843228.899863 -1461500.000000 -843228.899863 -1350000.000000
5	3	1	-832134.240789 -1461500.000000 -832134.240789 -1350000.000000
5	3	2	-815523.470774 -1461500.000000 -815523.470774 -1350000.000000
5	3	3	-801043.368586 -1461500.000000 -801043.368586 -1350000.000000
5	3	4	-780343.161072 -1461500.000000 -780343.161072 -1350000.000000
5	3	5	-752949.766348 -1461500.000000 -752949.766348 -1350000.000000
5	3	6	-722344.540544 -1461500.000000 -722344.540544 -1350000.000000
5	3	7	-683923.597945 -1461500.000000 -683923.597945 -1350000.000000
5	3	8	-641005.184833 -1461500.000000 -641005.184833 -1350000.000000
5	3	9	-584849.470177 -1461500.000000 -584849.470177 -1350000.000000
5	3	10	-522858.008799 -1461500.000000 -522858.008799 -1350000.000000
5	3	11	-450520.528033 -1461500.000000 -450520.528033 -1350000.000000
5	3	12	-363552.400879 -1461500.000000 -363552.400879 -1350000.000000
5	3	13	-270332.852824 -1461500.000000 -270332.852824 -1350000.000000
5	3	14	-163810.290762 -1461500.000000 -163810.290762 -1350000.000000
5	3	15	-53657.548949 -1461500.000000 -53657.548949 -1350000.000000
5	3	16	53657.548949 -1461500.000000 53657.548949 -1350000.000000
5	3	17	163810.290762 -1461500.000000 163810.290762 -1350000.000000
5	3	18	270332.852824 -1461500.000000 270332.852824 -1350000.000000
5	3	19	363552.400879 -1461500.000000 363552.400879 -1350000.000000
5	3	20	450520.528033 -1461500.000000 450520.528033 -1350000.000000
5	3	21	522858.008799 -1461500.000000 522858.008799 -1350000.000000
5	3	22	584849.470177 -1461500.000000 584849.470177 -1350000.000000
5	3	23	641005.184833 -1461500.000000 641005.184833 -1350000.000000
5	3	24	683923.597945 -1461500.000000 683923.597945 -1350000.000000
5	3	25	722344.540544 -1461500.000000 722344.540544 -1350000.000000
5	3	26	752949.766348 -1461500.000000 752949.766348 -1350000.000000
5	3	27	780343.161072 -1461500.000000 780343.161072 -1350000.000000
5	3	28	801043.368586 -1461500.000000 801043.368586 -1350000.000000
5	3	29	815523.470774 -1461500.000000 815523.470774 -1350000.000000
5	3	30	832134.240789 -1461500.000000 832134.240789 -1350000.000000
5	3	31	843228.899863 -1461500.000000 843228.899863 -1350000.000000
5	4	0	-843228.899863 -1350000.000000 -843228.899863 -1234500.000000
5	4	1	-832134.240789 -1350000.000000 -832134.240789 -1234500.000000
5	4	2	-815523.470774 -1350000.000000 -815523.470774 -1234500.000000
5	4	3	-801043.368586 -1350000.000000 -801043.368586 -1234500.000000
5	4	4	-780343.161072 -1350000.000000 -780343.161072 -1234500.000000
5	4	5	-752949.766348 -1350000.000000 -752949.766348 -1234500.000000
5	4	6	-722344.540544 -1350000.000000 -722344.540544 -1234500.000000
5	4	7	-683923.597945 -1350000.000000 -683923.597945 -1234500.000000
5	4	8	-641005.184833 -1350000.000000 -641005.184833 -1234500.000000
5	4	9	-584849.470177 -1350000.000000 -584849.470177 -1234500.000000
5	4	10	-522858.008799 -1350000.000000 -522858.008799 -1234500.000000
5	4	11	-450520.528033 -1350000.000000 -450520.528033 -1234500.000000
5	4	12	-363552.400879 -1350000.000000 -363552.400879 -1234500.000000
5	4	13	-270332.852824 -1350000.000000 -270332.852824 -1234500.000000
5	4	14	-163810.290762 -1350000.000000 -163810.290762 -1234500.000000
5	4	15	-53657.548949 -1350000.000000 -53657.548949 -1234500.000000
5	4	16	53657.548949 -1350000.000000 53657.548949 -1234500.000000
5	4	17	163810.290762 -1350000.000000 163810.290762 -1234500.000000
5	4	18	270332.852824 -1350000.000000 270332.852824 -1234500.000000
5	4	19	363552.400879 -1350000.000000 363552.400879 -1234500.000000
5	4	20	450520.528033 -1350000.000000 450520.528033 -1234500.000000
5	4	21	522858.008799 -1350000.000000 522858.008799 -1234500.000000
5	4	22	584849.470177 -1350000.000000 584849.470177 -1234500.000000
5	4	23	641005.184833 -1350000.000000 641005.184833 -1234500.000000
5	4	24	683923.597945 -1350000.000000 683923.597945 -1234500.000000
5	4	25	722344.540544 -1350000.000000 722344.540544 -1234500.000000
5	4	26	752949.766348 -1350000.000000 752949.766348 -1234500.000000
5	4	27	780343.161072 -1350000.000000 780343.161072 -1234500.000000
5	4	28	801043.368586 -1350000.000000 801043.368586 -1234500.000000
5	4	29	815523.470774 -1350000.000000 815523.470774 -1234500.000000
5	4	30	832134.240789 -1350000.000000 832134.240789 -1234500.000000
5	4	31	843228.899863 -1350000.000000 843228.899863 -1234500.000000
5	5	0	-843228.899863 -1234500.000000 -843228.899863 -1123000.000000
5	5	1	-832134.240789 -1234500.000000 -832134.240789 -1123000.000000
5	5	2	-815523.470774 -1234500.000000 -815523.470774 -1123000.000000
5	5	3	-801043.368586 -1234500.000000 -801043.368586 -1123000.000000
5	5	4	-780343.161072 -1234500.000000 -780343.161072 -1123000.000000
5	5	5	-752949.766348 -1234500.000000 -752949.766348 -1123000.000000
5	5	6	-722344.540544 -1234500.000000 -722344.540544 -1123000.000000
5	5	7	-683923.597945 -1234500.000000 -683923.597945 -1123000.000000
5	5	8	-641005.184833 -1234500.000000 -641005.184833 -1123000.000000
5	5	9	-584849.470177 -1234500.000000 -584849.470177 -1123000.000000
5	5	10	-522858.008799 -1234500.000000 -522858.008799 -1123000.000000
5	5	11	-450520.528033 -1234500.000000 -450520.528033 -1123000.000000
5	5	12	-363552.400879 -1234500.000000 -363552.400879 -1123000.000000
5	5	13	-270332.852824 -1234500.000000 -270332.852824 -1123000.000000
5	5	14	-163810.290762 -1234500.000000 -163810.290762 -1123000.000000
5	5	15	-53657.548949 -1234500.000000 -53657.548949 -1123000.000000
5	5	16	53657.548949 -1234500.000000 53657.548949 -1123000.000000
5	5	17	163810.290762 -1234500.000000 163810.290762 -1123000.000000
5	5	18	270332.852824 -1234500.000000 270332.852824 -1123000.000000
5	5	19	363552.400879 -1234500.000000 363552.400879 -1123000.000000
5	5	20	450520.528033 -1234500.000000 450520.528033 -1123000.000000
5	5	21	522858.008799 -1234500.000000 522858.008799 -1123000.000000
5	5	22	584849.470177 -1234500.000000 584849.470177 -1123000.000000
5	5	23	641005.184833 -1234500.000000 641005.184833 -1123000.000000
5	5	24	683923.597945 -1234500.000000 683923.597945 -1123000.000000
5	5	25	722344.540544 -1234500.000000 722344.540544 -1123000.000000
5	5	26	752949.766348 -1234500.000000 752949.766348 -1123000.000000
5	5	27	780343.161072 -1234500.000000 780343.161072 -1123000.000000
5	5	28	801043.368586 -1234500.000000 801043.368586 -1123000.000000
5	5	29	815523.470774 -1234500.000000 815523.470774 -1123000.000000
5	5	30	832134.240789 -1234500.000000 832134.240789 -1123000.000000
5	5	31	843228.899863 -1234500.000000 843228.899863 -1123000.000000
5	6	0	-843228.899863 -1123000.000000 -843228.899863 -1011500.000000
5	6	1	-832134.240789 -1123000.000000 -832134.240789 -1011500.000000
5	6	2	-815523.470774 -1123000.000000 -815523.470774 -1011500.000000
5	6	3	-801043.368586 -1123000.000000 -801043.368586 -1011500.000000
5	6	4	-780343.161072 -1123000.000000 -780343.161072 -1011500.000000
5	6	5	-752949.766348 -1123000.000000 -752949.766348 -1011500.000000
5	6	6	-722344.540544 -1123000.000000 -722344.540544 -1011500.000000
5	6	7	-683923.597945 -1123000.000000 -683923.597945 -1011500.000000
5	6	8	-641005.184833 -1123000.000000 -641005.184833 -1011500.000000
5	6	9	-584849.470177 -1123000.000000 -584849.470177 -1011500.000000
5	6	10	-522858.008799 -1123000.000000 -522858.008799 -1011500.000000
5	6	11	-450520.528033 -1123000.000000 -450520.528033 -1011500.000000
5	6	12	-363552.400879 -1123000.000000 -363552.400879 -1011500.000000
5	6	13	-270332.852824 -1123000.000000 -270332.852824 -1011500.000000
5	6	14	-163810.290762 -1123000.000000 -163810.290762 -1011500.000000
5	6	15	-53657.548949 -1123000.000000 -53657.548949 -1011500.000000
5	6	16	53657.548949 -1123000.000000 53657.548949 -1011500.000000
5	6	17	163810.290762 -1123000.000000 163810.290762 -1011500.000000
5	6	18	270332.852824 -1123000.000000 270332.852824 -1011500.000000
5	6	19	363552.400879 -1123000.000000 363552.400879 -1011500.000000
5	6	20	450520.528033 -1123000.000000 450520.528033 -1011500.000000
5	6	21	522858.008799 -1123000.000000 522858.008799 -1011500.000000
5	6	22	584849.470177 -1123000.000000 584849.470177 -1011500.000000
5	6	23	641005.184833 -1123000.000000 641005.184833 -1011500.000000
5	6	24	683923.597945 -1123000.000000 683923.597945 -1011500.000000
5	6	25	722344.540544 -1123000.000000 722344.540544 -1011500.000000
5	6	26	752949.766348 -1123000.000000 752949.766348 -1011500.000000
5	6	27	780343.161072 -1123000.000000 780343.161072 -1011500.000000
5	6	28	801043.368586 -1123000.000000 801043.368586 -1011500.000000
5	6	29	815523.470774 -1123000.000000 815523.470774 -1011500.000000
5	6	30	832134.240789 -1123000.000000 832134.240789 -1011500.000000
5	6	31	843228.899863 -1123000.000000 843228.899863 -1011500.000000
5	7	0	-843228.899863 -1011500.000000 -843228.899863 -900000.000000
5	7	1	-832134.240789 -1011500.000000 -832134.240789 -900000.000000
5	7	2	-815523.470774 -1011500.000000 -815523.470774 -900000.000000
5	7	3	-801043.368586 -1011500.000000 -801043.368586 -900000.000000
5	7	4	-780343.161072 -1011500.000000 -780343.161072 -900000.000000
5	7	5	-752949.766348 -1011500.000000 -752949.766348 -900000.000000
5	7	6	-722344.540544 -1011500.000000 -722344.540544 -900000.000000
5	7	7	-683923.597945 -1011500.000000 -683923.597945 -900000.000000
5	7	8	-641005.184833 -1011500.000000 -641005.184833 -900000.000000
5	7	9	-584849.470177 -1011500.000000 -584849.470177 -900000.000000
5	7	10	-522858.008799 -1011500.000000 -522858.008799 -900000.000000
5	7	11	-450520.528033 -1011500.000000 -450520.528033 -900000.000000
5	7	12	-363552.400879 -1011500.000000 -363552.400879 -900000.000000
5	7	13	-270332.852824 -1011500.000000 -270332.852824 -900000.000000
5	7	14	-163810.290762 -1011500.000000 -163810.290762 -900000.000000
5	7	15	-53657.548949 -1011500.000000 -53657.548949 -900000.000000
5	7	16	53657.548949 -1011500.000000 53657.548949 -900000.000000
5	7	17	163810.290762 -1011500.000000 163810.290762 -900000.000000
5	7	18	270332.852824 -1011500.000000 270332.852824 -900000.000000
5	7	19	363552.400879 -1011500.000000 363552.400879 -900000.000000
5	7	20	450520.528033 -1011500.000000 450520.528033 -900000.000000
5	7	21	522858.008799 -1011500.000000 522858.008799 -900000.000000
5	7	22	584849.470177 -1011500.000000 584849.470177 -900000.000000
5	7	23	641005.184833 -1011500.000000 641005.184833 -900000.000000
5	7	24	683923.597945 -1011500.000000 683923.597945 -900000.000000
5	7	25	722344.540544 -1011500.000000 722344.540544 -900000.000000
5	7	26	752949.766348 -1011500.000000 752949.766348 -900000.000000
5	7	27	780343.161072 -1011500.000000 780343.161072 -900000.000000
5	7	28	801043.368586 -1011500.000000 801043.368586 -900000.000000
5	7	29	815523.470774 -1011500.000000 815523.470774 -900000.000000
5	7	30	832134.240789 -1011500.000000 832134.240789 -900000.000000
5	7	31	843228.899863 -1011500.000000 843228.899863 -900000.000000
5	8	0	-843228.899863 -900000.000000 -843228.899863 -784500.000000
5	8	1	-832134.240789 -900000.000000 -832134.240789 -784500.000000
5	8	2	-815523.470774 -900000.000000 -815523.470774 -784500.000000
5	8	3	-801043.368586 -900000.000000 -801043.368586 -784500.000000
5	8	4	-780343.161072 -900000.000000 -780343.161072 -784500.000000
5	8	5	-752949.766348 -900000.000000 -752949.766348 -784500.000000
5	8	6	-722344.540544 -900000.000000 -722344.540544 -784500.000000
5	8	7	-683923.597945 -900000.000000 -683923.597945 -784500.000000
5	8	8	-641005.184833 -900000.000000 -641005.184833 -784500.000000
5	8	9	-584849.470177 -900000.000000 -584849.470177 -784500.000000
5	8	10	-522858.008799 -900000.000000 -522858.008799 -784500.000000
5	8	11	-450520.528033 -900000.000000 -450520.528033 -784500.000000
5	8	12	-363552.400879 -900000.000000 -363552.400879 -784500.000000
5	8	13	-270332.852824 -900000.000000 -270332.852824 -784500.000000
5	8	14	-163810.290762 -900000.000000 -163810.290762 -784500.000000
5	8	15	-53657.548949 -900000.000000 -53657.548949 -784500.000000
5	8	16	53657.548949 -900000.000000 53657.548949 -784500.000000
5	8	17	163810.290762 -900000.000000 163810.290762 -784500.000000
5	8	18	270332.852824 -900000.000000 270332.852824 -784500.000000
5	8	19	363552.400879 -900000.000000 363552.400879 -784500.000000
5	8	20	450520.528033 -900000.000000 450520.528033 -784500.000000
5	8	21	522858.008799 -900000.000000 522858.008799 -784500.000000
5	8	22	584849.470177 -900000.000000 584849.470177 -784500.000000
5	8	23	641005.184833 -900000.000000 641005.184833 -784500.000000
5	8	24	683923.597945 -900000.000000 683923.597945 -784500.000000
5	8	25	722344.540544 -900000.000000 722344.540544 -784500.000000
5	8	26	752949.766348 -900000.000000 752949.766348 -784500.000000
5	8	27	780343.161072 -900000.000000 780343.161072 -784500.000000
5	8	28	801043.368586 -900000.000000 801043.368586 -784500.000000
5	8	29	815523.470774 -900000.000000 815523.470774 -784500.000000
5	8	30	832134.240789 -900000.000000 832134.240789 -784500.000000
5	8	31	843228.899863 -900000.000000 843228.899863 -784500.000000
5	9	0	-843228.899863 -784500.000000 -843228.899863 -673000.000000
5	9	1	-832134.240789 -784500.000000 -832134.240789 -673000.000000
5	9	2	-815523.470774 -784500.000000 -815523.470774 -673000.000000
5	9	3	-801043.368586 -784500.000000 -801043.368586 -673000.000000
5	9	4	-780343.161072 -784500.000000 -780343.161072 -673000.000000
5	9	5	-752949.766348 -784500.000000 -752949.766348 -673000.000000
5	9	6	-722344.540544 -784500.000000 -722344.540544 -673000.000000
5	9	7	-683923.597945 -784500.000000 -683923.597945 -673000.000000
5	9	8	-641005.184833 -784500.000000 -641005.184833 -673000.000000
5	9	9	-584849.470177 -784500.000000 -584849.470177 -673000.000000
5	9	10	-522858.008799 -784500.000000 -522858.008799 -673000.000000
5	9	11	-450520.528033 -784500.000000 -450520.528033 -673000.000000
5	9	12	-363552.400879 -784500.000000 -363552.400879 -673000.000000
5	9	13	-270332.852824 -784500.000000 -270332.852824 -673000.000000
5	9	14	-163810.290762 -784500.000000 -163810.290762 -673000.000000
5	9	15	-53657.548949 -784500.000000 -53657.548949 -673000.000000
5	9	16	53657.548949 -784500.000000 53657.548949 -673000.000000
5	9	17	163810.290762 -784500.000000 163810.290762 -673000.000000
5	9	18	270332.852824 -784500.000000 270332.852824 -673000.000000
5	9	19	363552.400879 -784500.000000 363552.400879 -673000.000000
5	9	20	450520.528033 -784500.000000 450520.528033 -673000.000000
5	9	21	522858.008799 -784500.000000 522858.008799 -673000.000000
5	9	22	584849.470177 -784500.000000 584849.470177 -673000.000000
5	9	23	641005.184833 -784500.000000 641005.184833 -673000.000000
5	9	24	683923.597945 -784500.000000 683923.597945 -673000.000000
5	9	25	722344.540544 -784500.000000 722344.540544 -673000.000000
5	9	26	752949.766348 -784500.000000 752949.766348 -673000.000000
5	9	27	780343.161072 -784500.000000 780343.161072 -673000.000000
5	9	28	801043.368586 -784500.000000 801043.368586 -673000.000000
5	9	29	815523.470774 -784500.000000 815523.470774 -673000.000000
5	9	30	832134.240789 -784500.000000 832134.240789 -673000.000000
5	9	31	843228.899863 -784500.000000 843228.899863 -673000.000000
5	10	0	-843228.899863 -673000.000000 -843228.899863 -561500.000000
5	10	1	-832134.240789 -673000.000000 -832134.240789 -561500.000000
5	10	2	-815523.470774 -673000.000000 -815523.470774 -561500.000000
5	10	3	-801043.368586 -673000.000000 -801043.368586 -561500.000000
5	10	4	-780343.161072 -673000.000000 -780343.161072 -561500.000000
5	10	5	-752949.766348 -673000.000000 -752949.766348 -561500.000000
5	10	6	-722344.540544 -673000.000000 -722344.540544 -561500.000000
5	10	7	-683923.597945 -673000.000000 -683923.597945 -561500.000000
5	10	8	-641005.184833 -673000.000000 -641005.184833 -561500.000000
5	10	9	-584849.470177 -673000.000000 -584849.470177 -561500.000000
5	10	10	-522858.008799 -673000.000000 -522858.008799 -561500.000000
5	10	11	-450520.528033 -673000.000000 -450520.528033 -561500.000000
5	10	12	-363552.400879 -673000.000000 -363552.400879 -561500.000000
5	10	13	-270332.852824 -673000.000000 -270332.852824 -561500.000000
5	10	14	-163810.290762 -673000.000000 -163810.290762 -561500.000000
5	10	15	-53657.548949 -673000.000000 -53657.548949 -561500.000000
5	10	16	53657.548949 -673000.000000 53657.548949 -561500.000000
5	10	17	163810.290762 -673000.000000 163810.290762 -561500.000000
5	10	18	270332.852824 -673000.000000 270332.852824 -561500.000000
5	10	19	363552.400879 -673000.000000 363552.400879 -561500.000000
5	10	20	450520.528033 -673000.000000 450520.528033 -561500.000000
5	10	21	522858.008799 -673000.000000 522858.008799 -561500.000000
5	10	22	584849.470177 -673000.000000 584849.470177 -561500.000000
5	10	23	641005.184833 -673000.000000 641005.184833 -561500.000000
5	10	24	683923.597945 -673000.000000 683923.597945 -561500.000000
5	10	25	722344.540544 -673000.000000 722344.540544 -561500.000000
5	10	26	752949.766348 -673000.000000 752949.766348 -561500.000000
5	10	27	780343.161072 -673000.000000 780343.161072 -561500.000000
5	10	28	801043.368586 -673000.000000 801043.368586 -561500.000000
5	10	29	815523.470774 -673000.000000 815523.470774 -561500.000000
5	10	30	832134.240789 -673000.000000 832134.240789 -561500.000000
5	10	31	843228.899863 -673000.000000 843228.899863 -561500.000000
5	11	0	-843228.899863 -561500.000000 -843228.899863 -450000.000000
5	11	1	-832134.240789 -561500.000000 -832134.240789 -450000.000000
5	11	2	-815523.470774 -561500.000000 -815523.470774 -450000.000000
5	11	3	-801043.368586 -561500.000000 -801043.368586 -450000.000000
5	11	4	-780343.161072 -561500.000000 -780343.161072 -450000.000000
5	11	5	-752949.766348 -561500.000000 -752949.766348 -450000.000000
5	11	6	-722344.540544 -561500.000000 -722344.540544 -450000.000000
5	11	7	-683923.597945 -561500.000000 -683923.597945 -450000.000000
5	11	8	-641005.184833 -561500.000000 -641005.184833 -450000.000000
5	11	9	-584849.470177 -561500.000000 -584849.470177 -450000.000000
5	11	10	-522858.008799 -561500.000000 -522858.008799 -450000.000000
5	11	11	-450520.528033 -561500.000000 -450520.528033 -450000.000000
5	11	12	-363552.400879 -561500.000000 -363552.400879 -450000.000000
5	11	13	-270332.852824 -561500.000000 -270332.852824 -450000.000000
5	11	14	-163810.290762 -561500.000000 -163810.290762 -450000.000000
5	11	15	-53657.548949 -561500.000000 -53657.548949 -450000.000000
5	11	16	53657.548949 -561500.000000 53657.548949 -450000.000000
5	11	17	163810.290762 -561500.000000 163810.290762 -450000.000000
5	11	18	270332.852824 -561500.000000 270332.852824 -450000.000000
5	11	19	363552.400879 -561500.000000 363552.400879 -450000.000000
5	11	20	450520.528033 -561500.000000 450520.528033 -450000.000000
5	11	21	522858.008799 -561500.000000 522858.008799 -450000.000000
5	11	22	584849.470177 -561500.000000 584849.470177 -450000.000000
5	11	23	641005.184833 -561500.000000 641005.184833 -450000.000000
5	11	24	683923.597945 -561500.000000 683923.597945 -450000.000000
5	11	25	722344.540544 -561500.000000 722344.540544 -450000.000000
5	11	26	752949.766348 -561500.000000 752949.766348 -450000.000000
5	11	27	780343.161072 -561500.000000 780343.161072 -450000.000000
5	11	28	801043.368586 -561500.000000 801043.368586 -450000.000000
5	11	29	815523.470774 -561500.000000 815523.470774 -450000.000000
5	11	30	832134.240789 -561500.000000 832134.240789 -450000.000000
5	11	31	843228.899863 -561500.000000 843228.899863 -450000.000000
5	12	0	-843228.899863 -450000.000000 -843228.899863 -334500.000000
5	12	1	-832134.240789 -450000.000000 -832134.240789 -334500.000000
5	12	2	-815523.470774 -450000.000000 -815523.470774 -334500.000000
5	12	3	-801043.368586 -450000.000000 -801043.368586 -334500.000000
5	12	4	-780343.161072 -450000.000000 -780343.161072 -334500.000000
5	12	5	-752949.766348 -450000.000000 -752949.766348 -334500.000000
5	12	6	-722344.540544 -450000.000000 -722344.540544 -334500.000000
5	12	7	-683923.597945 -450000.000000 -683923.597945 -334500.000000
5	12	8	-641005.184833 -450000.000000 -641005.184833 -334500.000000
5	12	9	-584849.470177 -450000.000000 -584849.470177 -334500.000000
5	12	10	-522858.008799 -450000.000000 -522858.008799 -334500.000000
5	12	11	-450520.528033 -450000.000000 -450520.528033 -334500.000000
5	12	12	-363552.400879 -450000.000000 -363552.400879 -334500.000000
5	12	13	-270332.852824 -450000.000000 -270332.852824 -334500.000000
5	12	14	-163810.290762 -450000.000000 -163810.290762 -334500.000000
5	12	15	-53657.548949 -450000.000000 -53657.548949 -334500.000000
5	12	16	53657.548949 -450000.000000 53657.548949 -334500.000000
5	12	17	163810.290762 -450000.000000 163810.290762 -334500.000000
5	12	18	270332.852824 -450000.000000 270332.852824 -334500.000000
5	12	19	363552.400879 -450000.000000 363552.400879 -334500.000000
5	12	20	450520.528033 -450000.000000 450520.528033 -334500.000000
5	12	21	522858.008799 -450000.000000 522858.008799 -334500.000000
5	12	22	584849.470177 -450000.000000 584849.470177 -334500.000000
5	12	23	641005.184833 -450000.000000 641005.184833 -334500.000000
