latitude	longitude	en-US	first_julian_day	last_julian_day	min_size	max_size
35.51375301	133.9934929	N9b3	1628562	1866426	0	1000
33.20574526	129.6760548	M7a1a4	1590047	1840749	0	1000
33.20574526	129.6760548	D4a1	1590047	1840749	0	1000
29.153034	129.211569	M7a1a*	1054674	1483834	0	1000
33.54216351	129.9131573	M7a1a6	1299022	1646733	0	1000
30.42412178	130.9675103	B4f*	1684718	1903863	0	1000
26.32392629	127.7588327	M7a1	1915259	2057557	0	1000
26.32392629	127.7588327	(M)	2125419	2197664	0	1000
26.325555	127.756388	M7a1	1960622	2087799	0	1000
26.325555	127.756388	M7a1	2027023	2132067	0	1000
26.325555	127.756388	M7b1a1a1	2128487	2199710	0	1000
26.325555	127.756388	(B4a)	1807001	1985385	0	1000
35.44323951	132.7081765	M7a1a1a	1479817	1767263	0	1000
35.44323951	132.7081765	D4g1*	1758862	1953293	0	1000
35.44323951	132.7081765	N9a2a1	1758862	1953293	0	1000
35.44323951	132.7081765	M7a1a1a	1854556	2017088	0	1000
35.44323951	132.7081765	D4b1a1a	1942214	2075527	0	1000
35.44323951	132.7081765	M7a1a1a	1758862	1953293	0	1000
35.21845286	136.8512911	D4g1b	1305596	1651115	0	1000
35.21845286	136.8512911	B4c1a1a1a	1305596	1651115	0	1000
32.04945531	130.7861246	M7a1a2	1841407	2008323	0	1000
31.446388	130.906388	M7a1a7	1757693	1952514	0	1000
31.446388	130.906388	D4a1c	1757693	1952514	0	1000
38.619444	141.005	N9b1	1158769	1553230	0	1000
35.06764605	133.8979913	D4g1c	1728547	1933083	0	1000
35.06764605	133.8979913	B4c1a1a	1777855	1965954	0	1000
35.06764605	133.8979913	M7a1a7	1754479	1950371	0	1000
35.06764605	133.8979913	D5c1a	1757036	1952075	0	1000
34.780277	133.581666	B4b1a1	1732199	1935518	0	1000
34.780277	133.581666	M7b1a1a1	1738408	1939657	0	1000
34.780277	133.581666	M7b1a1a1	1736217	1938196	0	1000
34.780277	133.581666	D4g1	1721972	1928700	0	1000
34.76215887	134.0398086	M7a1a1a	1744106	1943456	0	1000
34.76215887	134.0398086	M7a1a7	1744106	1943456	0	1000
34.62154801	133.7126263	D4i	1804152	1983486	0	1000
34.700854	133.864194	B4c1a1c	1757036	1952075	0	1000
34.672564	133.68691	N9b1	1739504	1940388	0	1000
34.4874157	135.4766534	D4g1b	1776759	1965224	0	1000
26.37042602	127.7350225	M7a1a	1253001	1616052	0	1000
26.37042602	127.7350225	M7a1a*	1330798	1667917	0	1000
27.67267175	128.9633669	M7a1a	1177396	1565649	0	1000
27.67541096	128.9889168	M7a1a*	1404212	1716859	0	1000
27.67541096	128.9889168	M7a1a8	1387776	1705902	0	1000
27.67541096	128.9889168	M7a1a*	1259575	1620435	0	1000
27.76416345	128.9085876	M7a1a*	877167	1365496	0	1000
30.819444	131.037777	N9a2c	2245730	2277872	0	1000
30.819444	131.037777	B5b2b	2245730	2277872	0	1000
30.819444	131.037777	M9a1a1a	2245730	2277872	0	1000
32.086111	130.345555	M7a1a*	720478	1261036	0	1000
32.086111	130.345555	M7a1a2	720478	1261036	0	1000
