key	longitude	latitude	overall_length	texture	first_year	last_year
DolmenKR142	122.158	39.5152	50	Dolmen	-700	-200
DolmenKR143	122.433	39.5034	50	Dolmen	-700	-200
DolmenKR144	127.436	39.5009	50	Dolmen	-700	-200
DolmenKR145	122.224	39.4975	50	Dolmen	-700	-200
DolmenKR146	122.664	39.4916	50	Dolmen	-700	-200
DolmenKR147	122.29	39.4916	50	Dolmen	-700	-200
DolmenKR148	122.147	39.4916	50	Dolmen	-700	-200
DolmenKR149	121.641	39.4916	50	Dolmen	-700	-200
DolmenKR150	121.575	39.4916	50	Dolmen	-700	-200
DolmenKR151	122.356	39.468	50	Dolmen	-700	-200
DolmenKR152	122.257	39.468	50	Dolmen	-700	-200
DolmenKR153	121.575	39.468	50	Dolmen	-700	-200
DolmenKR154	121.674	39.4621	50	Dolmen	-700	-200
DolmenKR155	121.487	39.4562	50	Dolmen	-700	-200
DolmenKR156	121.531	39.4444	50	Dolmen	-700	-200
DolmenKR157	125.58	39.4442	50	Dolmen	-700	-200
DolmenKR158	122.257	39.4385	50	Dolmen	-700	-200
DolmenKR159	121.443	39.4385	50	Dolmen	-700	-200
DolmenKR160	127.22	39.4253	50	Dolmen	-700	-200
DolmenKR161	122.312	39.4208	50	Dolmen	-700	-200
DolmenKR162	121.487	39.4208	50	Dolmen	-700	-200
DolmenKR163	125.668	39.4127	50	Dolmen	-700	-200
DolmenKR164	126.572	39.4001	50	Dolmen	-700	-200
DolmenKR165	127.268	39.3875	50	Dolmen	-700	-200
DolmenKR166	126.508	39.3749	50	Dolmen	-700	-200
DolmenKR167	125.652	39.3623	50	Dolmen	-700	-200
DolmenKR168	125.924	39.3623	50	Dolmen	-700	-200
DolmenKR169	126.412	39.3371	50	Dolmen	-700	-200
DolmenKR170	126.068	39.3308	50	Dolmen	-700	-200
DolmenKR171	125.892	39.3308	50	Dolmen	-700	-200
DolmenKR172	126.492	39.3182	50	Dolmen	-700	-200
DolmenKR173	126.212	39.3182	50	Dolmen	-700	-200
DolmenKR174	126.14	39.2993	50	Dolmen	-700	-200
DolmenKR175	126.276	39.2867	50	Dolmen	-700	-200
DolmenKR176	126.188	39.2804	50	Dolmen	-700	-200
DolmenKR177	126.428	39.2741	50	Dolmen	-700	-200
DolmenKR178	126.092	39.2678	50	Dolmen	-700	-200
DolmenKR179	126.004	39.2552	50	Dolmen	-700	-200
DolmenKR180	126.204	39.2489	50	Dolmen	-700	-200
DolmenKR181	126.268	39.2363	50	Dolmen	-700	-200
DolmenKR182	126.148	39.2363	50	Dolmen	-700	-200
DolmenKR183	126.188	39.2048	50	Dolmen	-700	-200
DolmenKR184	126.076	39.2048	50	Dolmen	-700	-200
DolmenKR185	125.708	39.1985	50	Dolmen	-700	-200
DolmenKR186	125.86	39.1859	50	Dolmen	-700	-200
DolmenKR187	126.132	39.1796	50	Dolmen	-700	-200
DolmenKR188	125.7	39.1544	50	Dolmen	-700	-200
DolmenKR189	125.764	39.1544	50	Dolmen	-700	-200
DolmenKR190	125.852	39.1355	50	Dolmen	-700	-200
DolmenKR191	125.404	39.1355	50	Dolmen	-700	-200
DolmenKR192	125.716	39.0788	50	Dolmen	-700	-200
DolmenKR193	125.572	39.0788	50	Dolmen	-700	-200
DolmenKR194	125.548	39.0599	50	Dolmen	-700	-200
DolmenKR195	125.492	39.0599	50	Dolmen	-700	-200
DolmenKR196	125.428	39.0599	50	Dolmen	-700	-200
DolmenKR197	125.548	39.0095	50	Dolmen	-700	-200
DolmenKR198	126.004	39.0032	50	Dolmen	-700	-200
DolmenKR199	125.476	38.9969	50	Dolmen	-700	-200
DolmenKR200	125.94	38.9843	50	Dolmen	-700	-200
DolmenKR201	127.086	38.972	50	Dolmen	-700	-200
DolmenKR202	127.482	38.972	50	Dolmen	-700	-200
DolmenKR203	125.876	38.9528	50	Dolmen	-700	-200
DolmenKR204	125.972	38.9528	50	Dolmen	-700	-200
DolmenKR205	126.21	38.9432	50	Dolmen	-700	-200
DolmenKR206	127.044	38.9384	50	Dolmen	-700	-200
DolmenKR207	127.164	38.9339	50	Dolmen	-700	-200
DolmenKR208	125.78	38.9276	50	Dolmen	-700	-200
DolmenKR209	127.588	38.915	50	Dolmen	-700	-200
DolmenKR210	126.222	38.9096	50	Dolmen	-700	-200
DolmenKR211	125.692	38.9087	50	Dolmen	-700	-200
DolmenKR212	125.94	38.9087	50	Dolmen	-700	-200
DolmenKR213	126.188	38.9087	50	Dolmen	-700	-200
DolmenKR214	126.276	38.9	50	Dolmen	-700	-200
DolmenKR215	125.82	38.8961	50	Dolmen	-700	-200
DolmenKR216	127.108	38.8961	50	Dolmen	-700	-200
DolmenKR217	125.444	38.8835	50	Dolmen	-700	-200
DolmenKR218	125.892	38.8835	50	Dolmen	-700	-200
DolmenKR219	126.258	38.8808	50	Dolmen	-700	-200
DolmenKR220	125.356	38.8772	50	Dolmen	-700	-200
DolmenKR221	125.996	38.8772	50	Dolmen	-700	-200
DolmenKR222	126.228	38.8772	50	Dolmen	-700	-200
DolmenKR223	125.94	38.8709	50	Dolmen	-700	-200
DolmenKR224	126.268	38.8709	50	Dolmen	-700	-200
DolmenKR225	125.844	38.8583	50	Dolmen	-700	-200
DolmenKR226	126.258	38.8424	50	Dolmen	-700	-200
DolmenKR227	125.204	38.8331	50	Dolmen	-700	-200
DolmenKR228	126.244	38.8331	50	Dolmen	-700	-200
DolmenKR229	126.306	38.8232	50	Dolmen	-700	-200
DolmenKR230	125.788	38.8205	50	Dolmen	-700	-200
DolmenKR231	125.452	38.8142	50	Dolmen	-700	-200
DolmenKR232	126.004	38.8142	50	Dolmen	-700	-200
DolmenKR233	125.372	38.8079	50	Dolmen	-700	-200
DolmenKR234	126.244	38.8016	50	Dolmen	-700	-200
DolmenKR235	126.276	38.7992	50	Dolmen	-700	-200
DolmenKR236	125.876	38.7953	50	Dolmen	-700	-200
