Z	Y	Distance X	Distance Y	Area XY
16	32464	611.239	607.151	371114.3701
16	32463	611.237	607.149	371111.9333
16	32462	611.236	607.147	371110.1037
16	32461	611.234	607.146	371108.2782
16	32460	611.232	607.144	371105.8414
16	32459	611.231	607.142	371104.0118
16	32458	611.229	607.141	371102.1863
16	32457	611.227	607.139	371099.7496
16	32456	611.225	607.137	371097.3128
16	32455	611.224	607.136	371096.0945
16	32454	611.222	607.134	371093.6577
16	32453	611.22	607.132	371091.221
16	32452	611.218	607.13	371088.7843
16	32451	611.217	607.129	371087.566
16	32450	611.215	607.127	371085.1293
16	32449	611.213	607.125	371082.6926
16	32448	611.211	607.124	371080.8672
16	32447	611.21	607.122	371079.0376
16	32446	611.208	607.12	371076.601
16	32445	611.206	607.118	371074.1643
16	32444	611.204	607.116	371071.7277
16	32443	611.202	607.115	371069.9022
16	32442	611.201	607.113	371068.0727
16	32441	611.199	607.111	371065.6361
16	32440	611.197	607.109	371063.1995
16	32439	611.195	607.108	371061.3741
16	32438	611.193	607.106	371058.9375
16	32437	611.191	607.104	371056.5009
16	32436	611.19	607.102	371054.6714
16	32435	611.188	607.1	371052.2348
16	32434	611.186	607.099	371050.4094
16	32433	611.184	607.097	371047.9728
16	32432	611.182	607.095	371045.5363
16	32431	611.18	607.093	371043.0997
16	32430	611.178	607.091	371040.6632
16	32429	611.177	607.089	371038.8338
16	32428	611.175	607.087	371036.3972
16	32427	611.173	607.086	371034.5719
16	32426	611.171	607.084	371032.1354
16	32425	611.169	607.082	371029.6989
16	32424	611.167	607.08	371027.2624
16	32423	611.165	607.078	371024.8259
16	32422	611.163	607.076	371022.3894
16	32421	611.161	607.074	371019.9529
16	32420	611.159	607.072	371017.5164
16	32419	611.157	607.071	371015.6911
16	32418	611.155	607.069	371013.2547
16	32417	611.153	607.067	371010.8183
16	32416	611.151	607.065	371008.3818
16	32415	611.15	607.063	371006.5525
16	32414	611.148	607.061	371004.116
16	32413	611.146	607.059	371001.6796
16	32412	611.144	607.057	370999.2432
16	32411	611.142	607.055	370996.8068
16	32410	611.14	607.053	370994.3704
16	32409	611.138	607.051	370991.934
16	32408	611.136	607.049	370989.4977
16	32407	611.134	607.047	370987.0613
16	32406	611.132	607.045	370984.6249
16	32405	611.13	607.043	370982.1886
16	32404	611.128	607.041	370979.7522
16	32403	611.126	607.039	370977.3159
16	32402	611.124	607.037	370974.8796
16	32401	611.121	607.035	370971.8362
16	32400	611.119	607.033	370969.3999
16	32399	611.117	607.031	370966.9636
16	32398	611.115	607.029	370964.5273
16	32397	611.113	607.027	370962.0911
16	32396	611.111	607.025	370959.6548
16	32395	611.109	607.023	370957.2185
16	32394	611.107	607.021	370954.7822
16	32393	611.105	607.019	370952.346
16	32392	611.103	607.017	370949.9098
16	32391	611.101	607.015	370947.4735
16	32390	611.099	607.013	370945.0373
16	32389	611.097	607.011	370942.6011
16	32388	611.094	607.009	370939.5578
16	32387	611.092	607.007	370937.1216
16	32386	611.09	607.005	370934.6855
16	32385	611.088	607.003	370932.2493
16	32384	611.086	607.001	370929.8131
16	32383	611.084	606.998	370926.7658
16	32382	611.082	606.996	370924.3297
16	32381	611.079	606.994	370921.2865
16	32380	611.077	606.992	370918.8504
16	32379	611.075	606.99	370916.4143
16	32378	611.073	606.988	370913.9781
16	32377	611.071	606.986	370911.542
16	32376	611.069	606.984	370909.1059
16	32375	611.066	606.981	370905.4517
16	32374	611.064	606.979	370903.0157
16	32373	611.062	606.977	370900.5796
16	32372	611.06	606.975	370898.1435
16	32371	611.058	606.973	370895.7074
16	32370	611.055	606.971	370892.6644
16	32369	611.053	606.968	370889.6173
16	32368	611.051	606.966	370887.1813
16	32367	611.049	606.964	370884.7452
16	32366	611.047	606.962	370882.3092
16	32365	611.044	606.96	370879.2662
16	32364	611.042	606.958	370876.8302
16	32363	611.04	606.955	370873.7832
16	32362	611.038	606.953	370871.3472
16	32361	611.035	606.951	370868.3043
16	32360	611.033	606.949	370865.8683
16	32359	611.031	606.946	370862.8213
16	32358	611.028	606.944	370859.7784
16	32357	611.026	606.942	370857.3425
16	32356	611.024	606.94	370854.9066
16	32355	611.022	606.937	370851.8596
16	32354	611.019	606.935	370848.8168
16	32353	611.017	606.933	370846.3809
16	32352	611.015	606.931	370843.945
16	32351	611.012	606.928	370840.2911
16	32350	611.01	606.926	370837.8553
16	32349	611.008	606.924	370835.4194
16	32348	611.005	606.922	370832.3766
16	32347	611.003	606.919	370829.3298
16	32346	611.001	606.917	370826.8939
16	32345	610.998	606.915	370823.8512
16	32344	610.996	606.912	370820.8044
16	32343	610.994	606.91	370818.3685
16	32342	610.991	606.908	370815.3258
16	32341	610.989	606.905	370812.279
16	32340	610.986	606.903	370809.2364
16	32339	610.984	606.901	370806.8006
16	32338	610.982	606.898	370803.7538
16	32337	610.979	606.896	370800.7112
16	32336	610.977	606.894	370798.2754
16	32335	610.974	606.891	370794.6218
16	32334	610.972	606.889	370792.1861
16	32333	610.97	606.887	370789.7504
16	32332	610.967	606.884	370786.0968
16	32331	610.965	606.882	370783.6611
16	32330	610.962	606.879	370780.0076
16	32329	610.96	606.877	370777.5719
16	32328	610.957	606.875	370774.5294
16	32327	610.955	606.872	370771.4828
16	32326	610.953	606.87	370769.0471
16	32325	610.95	606.867	370765.3937
16	32324	610.948	606.865	370762.958
16	32323	610.945	606.863	370759.9155
16	32322	610.943	606.86	370756.869
16	32321	610.94	606.858	370753.8265
16	32320	610.938	606.855	370750.78
16	32319	610.935	606.853	370747.7376
16	32318	610.933	606.85	370744.6911
16	32317	610.93	606.848	370741.6486
16	32316	610.928	606.845	370738.6022
16	32315	610.925	606.843	370735.5598
16	32314	610.923	606.84	370732.5133
16	32313	610.92	606.838	370729.471
16	32312	610.917	606.836	370726.4286
16	32311	610.915	606.833	370723.3822
16	32310	610.912	606.83	370719.729
16	32309	610.91	606.828	370717.2935
16	32308	610.907	606.826	370714.2512
16	32307	610.905	606.823	370711.2048
16	32306	610.902	606.82	370707.5516
16	32305	610.9	606.818	370705.1162
16	32304	610.897	606.815	370701.4631
16	32303	610.894	606.813	370698.4208
16	32302	610.892	606.81	370695.3745
16	32301	610.889	606.808	370692.3323
16	32300	610.887	606.805	370689.286
16	32299	610.884	606.803	370686.2439
16	32298	610.881	606.8	370682.5908
16	32297	610.879	606.798	370680.1554
16	32296	610.876	606.795	370676.5024
16	32295	610.874	606.792	370673.4562
16	32294	610.871	606.79	370670.4141
16	32293	610.868	606.787	370666.7611
16	32292	610.866	606.785	370664.3258
16	32291	610.863	606.782	370660.6729
16	32290	610.86	606.779	370657.0199
16	32289	610.858	606.777	370654.5847
16	32288	610.855	606.774	370650.9318
16	32287	610.852	606.772	370647.8897
16	32286	610.85	606.769	370644.8437
16	32285	610.847	606.766	370641.1908
16	32284	610.844	606.764	370638.1488
16	32283	610.842	606.761	370635.1028
16	32282	610.839	606.758	370631.45
16	32281	610.836	606.756	370628.408
16	32280	610.833	606.753	370624.7552
16	32279	610.831	606.75	370621.7093
16	32278	610.828	606.748	370618.6673
16	32277	610.825	606.745	370615.0146
16	32276	610.822	606.742	370611.3619
16	32275	610.82	606.74	370608.9268
16	32274	610.817	606.737	370605.2741
16	32273	610.814	606.734	370601.6215
16	32272	610.811	606.732	370598.5797
16	32271	610.809	606.729	370595.5338
16	32270	610.806	606.726	370591.8812
16	32269	610.803	606.723	370588.2286
16	32268	610.8	606.721	370585.1868
16	32267	610.798	606.718	370582.141
16	32266	610.795	606.715	370578.4884
16	32265	610.792	606.713	370575.4467
16	32264	610.789	606.71	370571.7942
16	32263	610.786	606.707	370568.1417
16	32262	610.784	606.704	370565.0959
16	32261	610.781	606.702	370562.0543
16	32260	610.778	606.699	370558.4018
16	32259	610.775	606.696	370554.7494
16	32258	610.772	606.693	370551.097
16	32257	610.769	606.69	370547.4446
16	32256	610.767	606.688	370545.0097
16	32255	610.764	606.685	370541.3573
16	32254	610.761	606.682	370537.705
16	32253	610.758	606.679	370534.0527
16	32252	610.755	606.676	370530.4004
16	32251	610.752	606.674	370527.3588
16	32250	610.749	606.671	370523.7066
16	32249	610.747	606.668	370520.661
16	32248	610.744	606.665	370517.0088
16	32247	610.741	606.662	370513.3565
16	32246	610.738	606.659	370509.7043
16	32245	610.735	606.657	370506.6629
16	32244	610.732	606.654	370503.0107
16	32243	610.729	606.651	370499.3586
16	32242	610.726	606.648	370495.7064
16	32241	610.723	606.645	370492.0543
16	32240	610.72	606.642	370488.4022
16	32239	610.717	606.639	370484.7502
16	32238	610.714	606.636	370481.0981
16	32237	610.711	606.634	370478.0568
16	32236	610.708	606.631	370474.4047
16	32235	610.706	606.628	370471.3594
16	32234	610.703	606.625	370467.7074
16	32233	610.7	606.622	370464.0554
16	32232	610.697	606.619	370460.4034
16	32231	610.694	606.616	370456.7515
16	32230	610.691	606.613	370453.0996
16	32229	610.688	606.61	370449.4477
16	32228	610.685	606.607	370445.7958
16	32227	610.682	606.604	370442.1439
16	32226	610.679	606.601	370438.4921
16	32225	610.676	606.598	370434.8402
16	32224	610.673	606.595	370431.1884
16	32223	610.67	606.592	370427.5366
16	32222	610.666	606.59	370423.8889
16	32221	610.663	606.587	370420.2372
16	32220	610.66	606.584	370416.5854
16	32219	610.657	606.581	370412.9337
16	32218	610.654	606.578	370409.282
16	32217	610.651	606.575	370405.6303
16	32216	610.648	606.572	370401.9787
16	32215	610.645	606.569	370398.327
16	32214	610.642	606.566	370394.6754
16	32213	610.639	606.562	370390.4131
16	32212	610.636	606.56	370387.3722
16	32211	610.633	606.556	370383.1099
16	32210	610.63	606.553	370379.4584
16	32209	610.627	606.55	370375.8069
16	32208	610.623	606.547	370371.5488
16	32207	610.62	606.544	370367.8973
16	32206	610.617	606.541	370364.2458
16	32205	610.614	606.538	370360.5943
16	32204	610.611	606.535	370356.9429
16	32203	610.608	606.532	370353.2915
16	32202	610.605	606.529	370349.64
16	32201	610.601	606.526	370345.3821
16	32200	610.598	606.523	370341.7308
16	32199	610.595	606.52	370338.0794
16	32198	610.592	606.516	370333.8175
16	32197	610.589	606.513	370330.1662
16	32196	610.586	606.51	370326.5149
16	32195	610.582	606.507	370322.2571
16	32194	610.579	606.504	370318.6058
16	32193	610.576	606.501	370314.9546
16	32192	610.573	606.498	370311.3034
16	32191	610.57	606.495	370307.6522
16	32190	610.566	606.491	370302.7839
16	32189	610.563	606.488	370299.1327
16	32188	610.56	606.485	370295.4816
16	32187	610.557	606.482	370291.8305
16	32186	610.554	606.479	370288.1794
16	32185	610.55	606.476	370283.9218
16	32184	610.547	606.472	370279.6602
16	32183	610.544	606.469	370276.0091
16	32182	610.541	606.466	370272.3581
16	32181	610.537	606.463	370268.1006
16	32180	610.534	606.46	370264.4496
16	32179	610.531	606.456	370260.1881
16	32178	610.527	606.453	370255.9307
16	32177	610.524	606.45	370252.2798
16	32176	610.521	606.447	370248.6289
16	32175	610.518	606.444	370244.978
16	32174	610.514	606.44	370240.1102
16	32173	610.511	606.437	370236.4593
16	32172	610.508	606.434	370232.8085
16	32171	610.504	606.431	370228.5512
16	32170	610.501	606.427	370224.2899
16	32169	610.498	606.424	370220.6392
16	32168	610.494	606.421	370216.382
16	32167	610.491	606.418	370212.7312
16	32166	610.488	606.414	370208.47
16	32165	610.484	606.411	370204.2129
16	32164	610.481	606.408	370200.5622
16	32163	610.478	606.404	370196.3011
16	32162	610.474	606.401	370192.0441
16	32161	610.471	606.398	370188.3935
16	32160	610.467	606.394	370183.526
16	32159	610.464	606.391	370179.8754
16	32158	610.461	606.388	370176.2249
16	32157	610.457	606.384	370171.3575
16	32156	610.454	606.381	370167.707
16	32155	610.45	606.378	370163.4501
16	32154	610.447	606.374	370159.1892
16	32153	610.444	606.371	370155.5387
16	32152	610.44	606.368	370151.2819
16	32151	610.437	606.364	370147.0211
16	32150	610.433	606.361	370142.7643
16	32149	610.43	606.358	370139.1139
16	32148	610.426	606.354	370134.2468
16	32147	610.423	606.351	370130.5965
16	32146	610.42	606.348	370126.9462
16	32145	610.416	606.344	370122.0791
16	32144	610.413	606.341	370118.4288
16	32143	610.409	606.337	370113.5618
16	32142	610.406	606.334	370109.9116
16	32141	610.402	606.33	370105.0447
16	32140	610.399	606.327	370101.3945
16	32139	610.395	606.324	370097.138
16	32138	610.392	606.32	370092.8774
