key	value
Roma504	Byzantine fortress at Timgad
Roma505	Lambafundi
Roma506	Chullu
Roma507	"Byzantine fortress	 Ammaedara"
Roma508	Ammaedara
Roma509	*Cellae Picentinae Vicus?
Roma510	Bennafa
Roma511	Untitled
Roma512	Masclianae
Roma513	Agbia
Roma514	Henchir-Ain-ez-Zaouia
Roma515	Thugga/Tokai?
Roma516	Thubursicu Bure
Roma518	Untitled
Roma519	Thizika
Roma520	*Matar
Roma521	Thizika
Roma522	*Matar
Roma523	Uzalis
Roma524	Thizika
Roma525	*Matar
Roma526	Thigibba Bure
Roma527	Bordj-Mohammed-ben-Sultan
Roma528	Uchi Maius
Roma529	Ain Ouassel
Roma530	*Geumi
Roma531	Thimida Bure
Roma532	Henchir-Ain-ez-Zaouia
Roma533	Henchir Hnich
Roma534	Henchir-Ain-ez-Zaouia
Roma535	Aunobari
Roma536	*Geumi
Roma537	Bordj-Mohammed-ben-Sultan
Roma538	Uchi Maius
Roma539	Ain Ouassel
Roma540	Thimida Bure
Roma541	Thigibba Bure
Roma542	Aunobari
Roma543	Agbia
Roma544	Henchir-Ain-ez-Zaouia
Roma545	Thugga/Tokai?
Roma546	*Geumi
Roma547	Thubursicu Bure
Roma549	*Geumi
Roma550	Aunobari
Roma552	Thugga/Tokai?
Roma553	Henchir-Ain-ez-Zaouia
Roma554	Thubursicu Bure
Roma555	Agbia
Roma556	Ain Ouassel
Roma557	Aunobari
Roma558	*Geumi
Roma559	Henchir-Ain-ez-Zaouia
Roma560	Agbia
Roma561	Thugga/Tokai?
Roma562	Thubursicu Bure
Roma565	Thinissut
Roma566	Pupput
Roma567	Untitled
Roma571	Zama Regia/Zama *Maior
Roma585	Sicca Veneria
Roma589	Assuras
Roma590	Untitled
Roma591	Thysdrus
Roma592	Untitled
Roma593	Tac(...)
Roma594	Thac(...)
Roma595	Agbia
Roma596	Aunobari
Roma597	Henchir-Ain-ez-Zaouia
Roma598	Thugga/Tokai?
Roma599	*Geumi
Roma600	Ad Speculum?
Roma601	Ad Turres?/Paratouron
Roma602	Henchir-el-Ksour
Roma603	Turratenses
Roma604	Theveste
Roma605	Theveste Roman Bridge
Roma606	Untitled
Roma607	Untitled
Roma608	Untitled
Roma609	Tac(...)
Roma610	Thac(...)
Roma611	Thugga/Tokai?
Roma612	Henchir-Ain-ez-Zaouia
Roma613	Aunobari
Roma614	Agbia
Roma615	Ad Molas?
Roma616	Madauros
Roma617	Pupput
Roma618	Thinissut
Roma620	"Byzantine fortress	 Ammaedara"
Roma621	Ammaedara
Roma622	Obba
Roma623	Siguese
Roma629	Onellaba?/Odiana
Roma642	Untitled
Roma643	Novae Aquilianae?
Roma644	Kef-er-Rechga
Roma645	Avensa
Roma646	Picus
Roma647	Thagari Maius
Roma648	Thuburbo Maius
Roma649	Gor(...)
Roma650	Gor(...)
Roma651	Thagari Maius
Roma652	Thuburbo Maius
Roma653	Henchir-el-Oust
Roma654	Henchir-Bou-Houia
Roma655	Henchir Hnich
Roma656	Musti
Roma657	Tac(...)
Roma658	Thac(...)
Roma659	*Geumi
Roma660	Aunobari
Roma661	Ausigda?
Roma662	Kainopolis
Roma663	Ausigda?
Roma664	Kainopolis
Roma665	Phykous
Roma666	Euesperides
Roma667	Berenice
Roma668	So-called Area A in Berenike
Roma669	Zaviet Msus
Roma670	el-Benia
Roma671	Euesperides
Roma672	So-called Area A in Berenike
Roma673	Berenice
Roma679	Abrotonum/Sabratha
Roma680	Vicus M(...)nus?
Roma681	Mesphe
Roma682	Ponte Zitha
Roma683	Meninx (settlement)
Roma684	Tabuinati
Roma685	Ras el-Ain Tlalet
Roma686	Tabalati?
Roma687	Cidamus
Roma688	Old Town of Ghadamès
Roma689	Baracum?
Roma690	Hydreuma to epi tou Paneiou
Roma691	Nechesia?
Roma692	Deir Umm Diqal
Roma693	Umm Huyut
Roma694	Klaudianon
Roma695	Badia'
Roma696	Wadi Belih
Roma697	Deir Sugheir Wadi Ma'amal
Roma698	Abu Hegilig South
Roma699	Cabalsi
Roma700	Abu Ghalqa
Roma701	Aelana/Aila
Roma702	Kheleifeh
Roma703	Semna
Roma704	Deir Semna
Roma705	Abu Garahish
Roma706	Abu Garahish
Roma707	Semna
Roma708	Deir Semna
Roma709	Makhareg
Roma710	Apollonopolis Magna
Roma711	Athribis/Triph(i)eion
Roma712	Bompae
Roma713	Panopolis/Schmin
Roma714	Thmoo
Roma715	Bompae
Roma716	Panopolis/Schmin
Roma717	Thmoo
Roma718	Paraetonium/Ammonia
Roma719	Derras
Roma721	Qasr Hadie
Roma722	Myos Hormos?
Roma723	Nazareth
Roma724	Reina
Roma725	Yiftahel
Roma726	Nawā
Roma727	Ḥiṭṭīn
Roma728	Arbēla
Roma729	Kȧbul
Roma730	Sepphoris/Diocaesarea
Roma731	Arumâ
Roma733	Iotapata
Roma734	Chorsia
Roma735	Hippos
Roma736	Apheka
Roma737	Apheka
Roma738	Hippos
Roma739	Chorsia
Roma740	Gennesar
Roma741	Heptapegon
Roma742	Chorazin
Roma743	Kefar Nahum/Kapharnaoum
Roma744	Khirbet ed Dikke
Roma746	Kefar 'Aqabia
Roma747	Chasp(h)o
Roma748	Kochaba/Choba
Roma749	Tell el-Hayyat
Roma751	Tell Abu en-Ni'aj
Roma752	Pella/Berenice/Philippeia
Roma753	Kinneret
Roma754	Gennesar
Roma755	Heptapegon
Roma756	Akchabare
Roma757	Chorazin
Roma758	Kefar Nahum/Kapharnaoum
Roma759	Khirbet ed Dikke
Roma761	Tyrus/Col. Septimia Severa
Roma762	Pella/Berenice/Philippeia
Roma763	Tell Abu en-Ni'aj
Roma764	Tell el-Hayyat
Roma766	Tirat Zevi
Roma767	Salem/Salumias
Roma768	'Ain Ghazal
Roma769	Amman/Philadelpheia
